Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-ah93156-il-200000
Airfoil,ah93156-il
Reynolds number,200000
Ncrit,9
Mach,0
Max Cl/Cd,72.104
Max Cl/Cd alpha,8
Url,http://airfoiltools.com/polar/csv?polar=xf-ah93156-il-200000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-11.250,-0.1327,0.09473,0.09076,-0.1098,0.8884,0.0659
-11.000,-0.1503,0.09002,0.08608,-0.1144,0.8839,0.0683
-10.750,-0.1826,0.08347,0.07959,-0.1220,0.8790,0.0690
-10.500,-0.2075,0.07846,0.07455,-0.1255,0.8738,0.0691
-10.250,-0.1630,0.07748,0.07361,-0.1192,0.8729,0.0713
-10.000,-0.1515,0.07577,0.07188,-0.1181,0.8699,0.0732
-9.750,-0.1560,0.07216,0.06827,-0.1198,0.8667,0.0743
-9.500,-0.1724,0.06742,0.06356,-0.1230,0.8628,0.0757
-9.250,-0.1946,0.06336,0.05948,-0.1240,0.8580,0.0765
-9.000,-0.2202,0.06019,0.05624,-0.1224,0.8533,0.0779
-8.750,-0.2477,0.05796,0.05386,-0.1188,0.8495,0.0794
-8.500,-0.3425,0.04302,0.03770,-0.1086,0.8430,0.0462
-8.250,-0.3419,0.03982,0.03425,-0.1059,0.8399,0.0453
-8.000,-0.3387,0.03690,0.03098,-0.1030,0.8371,0.0447
-7.750,-0.3317,0.03441,0.02808,-0.1002,0.8346,0.0447
-7.500,-0.3224,0.03290,0.02622,-0.0978,0.8307,0.0458
-7.250,-0.3095,0.03196,0.02489,-0.0955,0.8274,0.0469
-7.000,-0.2936,0.02936,0.02197,-0.0940,0.8247,0.0478
-6.750,-0.2716,0.02776,0.02026,-0.0934,0.8225,0.0494
-6.500,-0.2483,0.02683,0.01920,-0.0927,0.8206,0.0514
-6.250,-0.2281,0.02635,0.01859,-0.0917,0.8179,0.0543
-6.000,-0.2102,0.02597,0.01805,-0.0903,0.8140,0.0565
-5.750,-0.1872,0.02471,0.01669,-0.0898,0.8110,0.0592
-5.500,-0.1634,0.02410,0.01610,-0.0893,0.8085,0.0630
-5.250,-0.1381,0.02365,0.01553,-0.0888,0.8066,0.0678
-5.000,-0.1127,0.02274,0.01462,-0.0884,0.8050,0.0727
-4.750,-0.0978,0.02277,0.01469,-0.0866,0.8009,0.0781
-4.500,-0.0834,0.02266,0.01457,-0.0847,0.7963,0.0844
-4.250,-0.0637,0.02237,0.01431,-0.0835,0.7935,0.0930
-4.000,-0.0413,0.02190,0.01389,-0.0826,0.7914,0.1059
-3.750,-0.0170,0.02141,0.01343,-0.0819,0.7897,0.1256
-3.500,-0.0103,0.02160,0.01379,-0.0790,0.7846,0.1476
-3.250,-0.0024,0.02157,0.01399,-0.0761,0.7793,0.1908
-3.000,0.0119,0.02074,0.01379,-0.0741,0.7765,0.3190
-2.750,0.0199,0.01944,0.01354,-0.0706,0.7745,0.5537
-2.500,0.0425,0.02000,0.01501,-0.0660,0.7734,0.8039
-2.250,0.0220,0.02136,0.01639,-0.0584,0.7632,0.8302
-2.000,0.0411,0.02196,0.01689,-0.0553,0.7606,0.8615
-1.750,0.0701,0.02242,0.01724,-0.0538,0.7592,0.8839
-1.500,0.0762,0.02320,0.01797,-0.0494,0.7538,0.9009
-1.250,0.1804,0.02301,0.01754,-0.0611,0.7581,0.9192
