Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-arad13-il-500000
Airfoil,arad13-il
Reynolds number,500000
Ncrit,9
Mach,0
Max Cl/Cd,78.6087
Max Cl/Cd alpha,7.25
Url,http://airfoiltools.com/polar/csv?polar=xf-arad13-il-500000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-12.750,-0.9499,0.04584,0.04240,-0.0528,1.0000,0.0209
-12.500,-0.9653,0.04131,0.03758,-0.0528,1.0000,0.0209
-12.250,-0.9635,0.03824,0.03428,-0.0524,1.0000,0.0211
-12.000,-0.9549,0.03573,0.03157,-0.0520,1.0000,0.0213
-11.750,-0.9425,0.03348,0.02910,-0.0515,1.0000,0.0215
-11.500,-0.9269,0.03151,0.02694,-0.0510,1.0000,0.0218
-11.250,-0.9093,0.02964,0.02486,-0.0506,1.0000,0.0221
-11.000,-0.8898,0.02794,0.02294,-0.0502,1.0000,0.0225
-10.750,-0.8685,0.02641,0.02118,-0.0499,1.0000,0.0228
-10.500,-0.8455,0.02515,0.01969,-0.0496,1.0000,0.0232
-10.250,-0.8235,0.02352,0.01796,-0.0493,1.0000,0.0236
-10.000,-0.7985,0.02261,0.01703,-0.0492,1.0000,0.0241
-9.750,-0.7726,0.02183,0.01620,-0.0490,1.0000,0.0246
-9.500,-0.7464,0.02103,0.01532,-0.0489,1.0000,0.0252
-9.250,-0.7198,0.02026,0.01441,-0.0488,1.0000,0.0260
-9.000,-0.6931,0.01944,0.01345,-0.0487,1.0000,0.0268
-8.750,-0.6666,0.01864,0.01267,-0.0487,1.0000,0.0276
-8.500,-0.6392,0.01810,0.01212,-0.0486,1.0000,0.0285
-8.250,-0.6116,0.01750,0.01144,-0.0485,1.0000,0.0295
-8.000,-0.5845,0.01680,0.01066,-0.0484,1.0000,0.0306
-7.750,-0.5576,0.01626,0.01016,-0.0483,1.0000,0.0318
-7.500,-0.5315,0.01585,0.00972,-0.0480,1.0000,0.0333
-7.250,-0.4986,0.01525,0.00908,-0.0490,0.9952,0.0350
-7.000,-0.4617,0.01484,0.00868,-0.0509,0.9856,0.0370
-6.750,-0.4262,0.01438,0.00816,-0.0524,0.9727,0.0395
-6.500,-0.3937,0.01411,0.00789,-0.0531,0.9557,0.0419
-6.250,-0.3660,0.01378,0.00750,-0.0527,0.9357,0.0444
-6.000,-0.3400,0.01357,0.00726,-0.0518,0.9150,0.0468
-5.750,-0.3137,0.01331,0.00690,-0.0511,0.8956,0.0495
-5.500,-0.2868,0.01310,0.00665,-0.0505,0.8773,0.0522
-5.250,-0.2593,0.01288,0.00635,-0.0501,0.8600,0.0554
-5.000,-0.2314,0.01271,0.00613,-0.0497,0.8432,0.0587
-4.750,-0.2030,0.01249,0.00585,-0.0495,0.8267,0.0623
-4.500,-0.1743,0.01235,0.00567,-0.0494,0.8106,0.0662
-4.250,-0.1455,0.01213,0.00541,-0.0493,0.7950,0.0704
-4.000,-0.1165,0.01203,0.00523,-0.0492,0.7791,0.0749
-3.750,-0.0876,0.01182,0.00500,-0.0492,0.7626,0.0800
-3.500,-0.0584,0.01171,0.00480,-0.0491,0.7461,0.0855
-3.250,-0.0291,0.01157,0.00464,-0.0492,0.7302,0.0920
-3.000,0.0004,0.01141,0.00447,-0.0493,0.7151,0.0994
-2.750,0.0299,0.01132,0.00433,-0.0493,0.7005,0.1072
-2.500,0.0594,0.01123,0.00422,-0.0494,0.6861,0.1158
-2.250,0.0889,0.01113,0.00410,-0.0496,0.6716,0.1252
-2.000,0.1187,0.01105,0.00399,-0.0497,0.6570,0.1347
-1.750,0.1484,0.01099,0.00391,-0.0499,0.6428,0.1450
-1.500,0.1780,0.01091,0.00382,-0.0500,0.6286,0.1566
-1.000,0.2374,0.01080,0.00367,-0.0504,0.5993,0.1827
-0.750,0.2671,0.01073,0.00362,-0.0506,0.5852,0.2004
-0.500,0.2968,0.01064,0.00357,-0.0508,0.5716,0.2250
-0.250,0.3264,0.01052,0.00353,-0.0511,0.5570,0.2658
0.000,0.3556,0.01005,0.00351,-0.0516,0.5419,0.4112
0.250,0.3802,0.00891,0.00358,-0.0510,0.5281,0.7781
0.500,0.3990,0.00847,0.00350,-0.0479,0.5150,0.9582
0.750,0.4357,0.00843,0.00335,-0.0496,0.4981,1.0000
1.000,0.4650,0.00858,0.00337,-0.0498,0.4814,1.0000
1.250,0.4942,0.00873,0.00340,-0.0499,0.4646,1.0000
1.500,0.5235,0.00890,0.00344,-0.0501,0.4474,1.0000
1.750,0.5528,0.00907,0.00350,-0.0503,0.4289,1.0000
2.000,0.5820,0.00926,0.00357,-0.0505,0.4094,1.0000
2.250,0.6111,0.00947,0.00366,-0.0507,0.3897,1.0000
2.500,0.6402,0.00969,0.00376,-0.0508,0.3698,1.0000
2.750,0.6691,0.00994,0.00388,-0.0510,0.3494,1.0000
3.000,0.6979,0.01020,0.00401,-0.0512,0.3302,1.0000
3.250,0.7267,0.01046,0.00416,-0.0514,0.3133,1.0000
3.500,0.7555,0.01073,0.00433,-0.0516,0.2982,1.0000
3.750,0.7841,0.01100,0.00450,-0.0518,0.2844,1.0000
4.000,0.8125,0.01131,0.00470,-0.0519,0.2717,1.0000
4.250,0.8413,0.01153,0.00488,-0.0521,0.2613,1.0000
4.500,0.8697,0.01181,0.00509,-0.0523,0.2517,1.0000
4.750,0.8981,0.01208,0.00530,-0.0524,0.2424,1.0000
5.000,0.9264,0.01235,0.00551,-0.0525,0.2346,1.0000
5.250,0.9546,0.01262,0.00573,-0.0527,0.2271,1.0000
5.500,0.9825,0.01292,0.00599,-0.0528,0.2202,1.0000
5.750,1.0107,0.01316,0.00621,-0.0529,0.2140,1.0000
6.000,1.0381,0.01351,0.00649,-0.0529,0.2077,1.0000
6.250,1.0660,0.01375,0.00675,-0.0530,0.2028,1.0000
6.500,1.0937,0.01403,0.00700,-0.0531,0.1975,1.0000
6.750,1.1204,0.01442,0.00733,-0.0530,0.1922,1.0000
7.000,1.1479,0.01469,0.00762,-0.0531,0.1883,1.0000
7.250,1.1752,0.01495,0.00789,-0.0531,0.1839,1.0000
7.500,1.2016,0.01531,0.00821,-0.0530,0.1794,1.0000
7.750,1.2276,0.01573,0.00861,-0.0528,0.1753,1.0000
8.000,1.2546,0.01598,0.00890,-0.0528,0.1720,1.0000
8.250,1.2809,0.01630,0.00923,-0.0527,0.1682,1.0000
8.500,1.3059,0.01674,0.00963,-0.0525,0.1642,1.0000
8.750,1.3310,0.01716,0.01006,-0.0522,0.1607,1.0000
9.000,1.3569,0.01745,0.01040,-0.0520,0.1578,1.0000
9.250,1.3821,0.01781,0.01078,-0.0518,0.1545,1.0000
9.500,1.4057,0.01829,0.01123,-0.0513,0.1509,1.0000
9.750,1.4286,0.01882,0.01176,-0.0508,0.1477,1.0000
10.000,1.4533,0.01914,0.01215,-0.0505,0.1451,1.0000
10.250,1.4769,0.01953,0.01258,-0.0500,0.1421,1.0000
10.500,1.4989,0.02002,0.01306,-0.0494,0.1391,1.0000
10.750,1.5176,0.02076,0.01378,-0.0482,0.1357,1.0000
11.000,1.5404,0.02111,0.01422,-0.0477,0.1337,1.0000
11.250,1.5618,0.02155,0.01472,-0.0469,0.1311,1.0000
11.500,1.5814,0.02206,0.01526,-0.0459,0.1285,1.0000
11.750,1.5979,0.02275,0.01594,-0.0445,0.1259,1.0000
12.000,1.6115,0.02359,0.01681,-0.0427,0.1234,1.0000
12.250,1.6281,0.02413,0.01744,-0.0412,0.1215,1.0000
12.500,1.6405,0.02481,0.01819,-0.0392,0.1195,1.0000
12.750,1.6518,0.02562,0.01906,-0.0372,0.1174,1.0000
13.000,1.6613,0.02664,0.02011,-0.0352,0.1154,1.0000
13.250,1.6669,0.02805,0.02152,-0.0331,0.1132,1.0000
13.500,1.6779,0.02918,0.02274,-0.0318,0.1116,1.0000
13.750,1.6900,0.03027,0.02394,-0.0307,0.1098,1.0000
14.000,1.7009,0.03152,0.02528,-0.0298,0.1080,1.0000
14.250,1.7098,0.03299,0.02680,-0.0288,0.1062,1.0000
14.500,1.7161,0.03476,0.02861,-0.0279,0.1045,1.0000
14.750,1.7179,0.03700,0.03087,-0.0269,0.1026,1.0000
15.000,1.7259,0.03875,0.03274,-0.0264,0.1012,1.0000
15.250,1.7336,0.04060,0.03470,-0.0261,0.0997,1.0000
15.500,1.7396,0.04266,0.03685,-0.0258,0.0982,1.0000
15.750,1.7439,0.04494,0.03921,-0.0256,0.0967,1.0000
16.000,1.7454,0.04754,0.04186,-0.0255,0.0952,1.0000
16.250,1.7434,0.05052,0.04488,-0.0254,0.0937,1.0000
16.500,1.7412,0.05354,0.04797,-0.0252,0.0923,1.0000
16.750,1.7426,0.05635,0.05092,-0.0255,0.0912,1.0000
17.000,1.7423,0.05938,0.05407,-0.0259,0.0900,1.0000
17.250,1.7409,0.06264,0.05743,-0.0264,0.0887,1.0000
17.500,1.7382,0.06612,0.06101,-0.0271,0.0874,1.0000
17.750,1.7337,0.06988,0.06483,-0.0280,0.0862,1.0000
18.000,1.7273,0.07385,0.06885,-0.0288,0.0850,1.0000
18.250,1.7209,0.07769,0.07272,-0.0294,0.0836,1.0000
18.500,1.7152,0.08191,0.07710,-0.0307,0.0828,1.0000
18.750,1.7086,0.08628,0.08160,-0.0321,0.0817,1.0000
19.000,1.7012,0.09077,0.08620,-0.0336,0.0806,1.0000
19.250,1.6934,0.09535,0.09089,-0.0353,0.0795,1.0000
