Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-as5046-il-500000
Airfoil,as5046-il
Reynolds number,500000
Ncrit,9
Mach,0
Max Cl/Cd,77.7006
Max Cl/Cd alpha,4.75
Url,http://airfoiltools.com/polar/csv?polar=xf-as5046-il-500000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-15.750,-0.3638,0.14905,0.14686,-0.0203,1.0000,0.0190
-15.500,-0.3635,0.14624,0.14406,-0.0216,1.0000,0.0196
-15.250,-0.5521,0.16094,0.15849,-0.0057,1.0000,0.0178
-12.750,-0.4559,0.08608,0.08334,-0.0541,0.8196,0.0237
-12.500,-0.5002,0.07479,0.07191,-0.0600,0.8176,0.0230
-12.250,-0.5428,0.06570,0.06264,-0.0638,0.8142,0.0225
-12.000,-0.5746,0.05908,0.05585,-0.0657,0.8096,0.0224
-11.750,-0.6013,0.05366,0.05026,-0.0665,0.8047,0.0224
-11.500,-0.6239,0.04911,0.04552,-0.0667,0.8001,0.0224
-11.250,-0.6420,0.04530,0.04156,-0.0664,0.7960,0.0225
-11.000,-0.6580,0.04190,0.03801,-0.0658,0.7918,0.0226
-10.750,-0.6712,0.03899,0.03493,-0.0648,0.7876,0.0229
-10.500,-0.6825,0.03640,0.03214,-0.0635,0.7837,0.0234
-9.500,-0.7440,0.03188,0.02552,-0.0521,0.7761,0.0176
-9.250,-0.7169,0.02951,0.02318,-0.0521,0.7735,0.0162
-9.000,-0.6954,0.02731,0.02076,-0.0515,0.7710,0.0157
-8.750,-0.6724,0.02555,0.01879,-0.0510,0.7685,0.0156
-8.500,-0.6474,0.02370,0.01672,-0.0504,0.7661,0.0151
-8.250,-0.6227,0.02224,0.01510,-0.0497,0.7638,0.0148
-8.000,-0.5991,0.02120,0.01402,-0.0492,0.7615,0.0149
-7.750,-0.5764,0.02030,0.01308,-0.0486,0.7593,0.0151
-7.500,-0.5543,0.01948,0.01224,-0.0481,0.7571,0.0154
-7.250,-0.5325,0.01871,0.01143,-0.0475,0.7550,0.0158
-7.000,-0.5106,0.01800,0.01067,-0.0470,0.7530,0.0162
-6.750,-0.4883,0.01734,0.00995,-0.0466,0.7510,0.0167
-6.500,-0.4649,0.01683,0.00937,-0.0463,0.7488,0.0172
-6.250,-0.4445,0.01588,0.00841,-0.0459,0.7469,0.0180
-6.000,-0.4206,0.01529,0.00783,-0.0458,0.7450,0.0189
-5.750,-0.3953,0.01484,0.00735,-0.0458,0.7431,0.0203
-5.500,-0.3706,0.01426,0.00676,-0.0458,0.7412,0.0223
-5.250,-0.3443,0.01386,0.00633,-0.0459,0.7393,0.0249
-5.000,-0.3183,0.01337,0.00582,-0.0460,0.7373,0.0297
-4.750,-0.2936,0.01255,0.00519,-0.0461,0.7353,0.0693
-4.500,-0.2757,0.00987,0.00396,-0.0473,0.7334,0.3932
-4.250,-0.2489,0.00911,0.00391,-0.0480,0.7317,0.5618
-4.000,-0.2192,0.00928,0.00412,-0.0482,0.7299,0.5978
-3.750,-0.1895,0.00953,0.00435,-0.0484,0.7277,0.6163
-3.500,-0.1602,0.00988,0.00471,-0.0484,0.7256,0.6298
-3.250,-0.1310,0.01020,0.00501,-0.0484,0.7233,0.6403
-3.000,-0.1018,0.01045,0.00524,-0.0484,0.7211,0.6469
-2.750,-0.0715,0.01061,0.00528,-0.0489,0.7189,0.6526
-2.500,-0.0427,0.01068,0.00534,-0.0490,0.7168,0.6558
-2.250,-0.0136,0.01081,0.00546,-0.0492,0.7146,0.6589
-2.000,0.0158,0.01085,0.00550,-0.0495,0.7120,0.6622
-1.750,0.0454,0.01087,0.00549,-0.0499,0.7091,0.6657
-1.500,0.0754,0.01089,0.00545,-0.0505,0.7060,0.6688
-1.250,0.1047,0.01083,0.00535,-0.0508,0.7029,0.6711
-1.000,0.1339,0.01086,0.00535,-0.0510,0.6998,0.6731
-0.750,0.1629,0.01086,0.00536,-0.0513,0.6964,0.6751
-0.500,0.1921,0.01084,0.00535,-0.0515,0.6926,0.6775
-0.250,0.2216,0.01083,0.00532,-0.0519,0.6891,0.6802
0.000,0.2514,0.01083,0.00527,-0.0523,0.6859,0.6828
0.250,0.2815,0.01086,0.00524,-0.0529,0.6829,0.6848
0.500,0.3111,0.01081,0.00519,-0.0534,0.6792,0.6865
0.750,0.3400,0.01068,0.00510,-0.0536,0.6746,0.6881
