Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-avistar-il-50000
Airfoil,avistar-il
Reynolds number,50000
Ncrit,9
Mach,0
Max Cl/Cd,30.5094
Max Cl/Cd alpha,8.5
Url,http://airfoiltools.com/polar/csv?polar=xf-avistar-il-50000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-9.750,-0.3746,0.12139,0.11397,-0.0203,1.0000,0.3257
-9.500,-0.3386,0.11538,0.10793,-0.0199,1.0000,0.3353
-9.250,-0.3455,0.11328,0.10591,-0.0199,1.0000,0.3470
-9.000,-0.3505,0.11186,0.10457,-0.0193,1.0000,0.3616
-8.750,-0.3230,0.10682,0.09953,-0.0192,1.0000,0.3704
-8.500,-0.3287,0.10474,0.09754,-0.0185,1.0000,0.3839
-8.250,-0.3455,0.10413,0.09706,-0.0171,1.0000,0.3998
-8.000,-0.3090,0.09898,0.09187,-0.0170,1.0000,0.4125
-7.750,-0.3042,0.09619,0.08915,-0.0161,1.0000,0.4253
-7.500,-0.3120,0.09438,0.08746,-0.0143,1.0000,0.4401
-7.250,-0.3319,0.09397,0.08721,-0.0110,1.0000,0.4565
-7.000,-0.3085,0.08947,0.08272,-0.0111,1.0000,0.4607
-6.750,-0.3091,0.08717,0.08051,-0.0092,1.0000,0.4661
-6.000,-0.5950,0.06721,0.06073,-0.0156,1.0000,0.2312
-5.750,-0.6153,0.05934,0.05222,-0.0166,1.0000,0.1931
-5.500,-0.6168,0.05455,0.04687,-0.0154,1.0000,0.1760
-5.250,-0.6133,0.05089,0.04252,-0.0137,1.0000,0.1650
-5.000,-0.6025,0.04812,0.03949,-0.0122,1.0000,0.1614
-4.750,-0.5907,0.04547,0.03639,-0.0106,1.0000,0.1573
-4.500,-0.5773,0.04370,0.03374,-0.0086,1.0000,0.1518
-4.250,-0.5591,0.04170,0.03151,-0.0076,1.0000,0.1502
-4.000,-0.5405,0.03991,0.02951,-0.0066,1.0000,0.1486
-3.750,-0.5215,0.03841,0.02776,-0.0056,1.0000,0.1474
-3.500,-0.5023,0.03721,0.02630,-0.0046,1.0000,0.1475
-3.250,-0.4830,0.03626,0.02509,-0.0037,1.0000,0.1488
-3.000,-0.4634,0.03549,0.02407,-0.0028,1.0000,0.1503
-2.750,-0.4434,0.03483,0.02321,-0.0021,1.0000,0.1514
-2.500,-0.4225,0.03400,0.02241,-0.0016,1.0000,0.1530
-2.250,-0.3794,0.03347,0.02193,-0.0049,0.9935,0.1572
-2.000,-0.3285,0.03335,0.02171,-0.0096,0.9833,0.1664
-1.750,-0.2823,0.03305,0.02149,-0.0136,0.9729,0.1771
-1.500,-0.2440,0.03281,0.02129,-0.0163,0.9621,0.1921
-1.250,-0.2071,0.03229,0.02118,-0.0189,0.9520,0.2355
-1.000,-0.0493,0.03178,0.02356,-0.0377,0.9489,1.0000
-0.750,-0.0216,0.03220,0.02365,-0.0396,0.9364,1.0000
-0.500,0.0161,0.03281,0.02392,-0.0430,0.9258,1.0000
-0.250,0.0324,0.03330,0.02419,-0.0425,0.9133,1.0000
0.000,0.0555,0.03395,0.02461,-0.0431,0.9023,1.0000
0.250,0.0871,0.03465,0.02510,-0.0450,0.8924,1.0000
0.500,0.0992,0.03539,0.02567,-0.0436,0.8821,1.0000
0.750,0.1344,0.03618,0.02628,-0.0459,0.8731,1.0000
1.000,0.1416,0.03701,0.02698,-0.0437,0.8632,1.0000
1.250,0.1742,0.03786,0.02770,-0.0455,0.8548,1.0000
1.500,0.1825,0.03880,0.02853,-0.0435,0.8456,1.0000
1.750,0.2118,0.03968,0.02931,-0.0446,0.8367,1.0000
2.000,0.2241,0.04070,0.03024,-0.0433,0.8279,1.0000
2.250,0.2510,0.04160,0.03107,-0.0440,0.8182,1.0000
2.500,0.2656,0.04262,0.03202,-0.0429,0.8082,1.0000
2.750,0.3051,0.04339,0.03275,-0.0451,0.7972,1.0000
3.000,0.3104,0.04444,0.03376,-0.0426,0.7852,1.0000
3.250,0.3435,0.04525,0.03454,-0.0438,0.7735,1.0000
3.500,0.3681,0.04608,0.03536,-0.0438,0.7613,1.0000
3.750,0.3803,0.04719,0.03645,-0.0423,0.7488,1.0000
4.000,0.4151,0.04791,0.03718,-0.0434,0.7370,1.0000
4.250,0.4384,0.04878,0.03807,-0.0432,0.7243,1.0000
4.500,0.4490,0.05001,0.03931,-0.0415,0.7108,1.0000
4.750,0.4733,0.05093,0.04028,-0.0413,0.6978,1.0000
5.000,0.5216,0.05106,0.04050,-0.0434,0.6861,1.0000
5.250,0.5263,0.05254,0.04200,-0.0412,0.6710,1.0000
5.500,0.5366,0.05400,0.04351,-0.0397,0.6566,1.0000
5.750,0.5544,0.05523,0.04480,-0.0388,0.6426,1.0000
6.000,0.5885,0.05576,0.04542,-0.0391,0.6303,1.0000
6.250,0.6099,0.05684,0.04659,-0.0385,0.6171,1.0000
6.500,0.6103,0.05911,0.04891,-0.0367,0.6027,1.0000
6.750,0.6195,0.06110,0.05095,-0.0356,0.5901,1.0000
7.000,0.6615,0.06122,0.05124,-0.0361,0.5806,1.0000
7.250,0.6427,0.06507,0.05508,-0.0340,0.5676,1.0000
7.500,0.6558,0.06669,0.05678,-0.0329,0.5543,1.0000
