Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-bqm34-il-500000
Airfoil,bqm34-il
Reynolds number,500000
Ncrit,9
Mach,0
Max Cl/Cd,56.7251
Max Cl/Cd alpha,4.75
Url,http://airfoiltools.com/polar/csv?polar=xf-bqm34-il-500000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-13.750,-0.9473,0.06937,0.06635,-0.0260,1.0000,0.0152
-13.500,-0.9680,0.06219,0.05896,-0.0312,1.0000,0.0151
-13.250,-0.9842,0.05670,0.05330,-0.0347,1.0000,0.0150
-13.000,-1.0117,0.05039,0.04678,-0.0374,1.0000,0.0152
-12.750,-1.0279,0.04625,0.04243,-0.0382,1.0000,0.0152
-12.500,-1.0356,0.04354,0.03953,-0.0377,1.0000,0.0151
-12.250,-1.0538,0.03986,0.03563,-0.0361,1.0000,0.0152
-12.000,-1.0624,0.03742,0.03299,-0.0335,1.0000,0.0152
-11.750,-1.0701,0.03500,0.03039,-0.0303,1.0000,0.0154
-11.500,-1.0699,0.03303,0.02827,-0.0276,1.0000,0.0156
-11.250,-1.0627,0.03143,0.02654,-0.0256,1.0000,0.0158
-11.000,-1.0537,0.02976,0.02471,-0.0237,1.0000,0.0160
-10.750,-1.0418,0.02836,0.02317,-0.0220,1.0000,0.0163
-10.500,-1.0281,0.02704,0.02169,-0.0205,1.0000,0.0167
-10.250,-1.0134,0.02565,0.02015,-0.0189,1.0000,0.0171
-10.000,-0.9970,0.02444,0.01880,-0.0175,1.0000,0.0176
-9.750,-0.9800,0.02322,0.01742,-0.0161,1.0000,0.0181
-9.500,-0.9616,0.02217,0.01622,-0.0148,1.0000,0.0186
-9.250,-0.9431,0.02109,0.01499,-0.0135,1.0000,0.0191
-9.000,-0.9275,0.01955,0.01339,-0.0119,1.0000,0.0201
-8.750,-0.9071,0.01892,0.01274,-0.0109,1.0000,0.0210
-8.500,-0.8866,0.01825,0.01201,-0.0097,1.0000,0.0221
-8.250,-0.8658,0.01759,0.01126,-0.0085,1.0000,0.0232
-8.000,-0.8450,0.01694,0.01052,-0.0073,1.0000,0.0240
-7.750,-0.8287,0.01576,0.00931,-0.0055,1.0000,0.0257
-7.500,-0.8077,0.01524,0.00877,-0.0044,1.0000,0.0273
-7.250,-0.7862,0.01477,0.00825,-0.0032,1.0000,0.0290
-7.000,-0.7667,0.01408,0.00751,-0.0017,1.0000,0.0312
-6.750,-0.7459,0.01357,0.00701,-0.0005,1.0000,0.0338
-6.500,-0.7241,0.01320,0.00660,0.0006,1.0000,0.0364
-6.250,-0.7046,0.01258,0.00596,0.0022,1.0000,0.0398
-6.000,-0.6832,0.01221,0.00560,0.0034,1.0000,0.0439
-5.750,-0.6626,0.01177,0.00514,0.0047,1.0000,0.0486
-5.500,-0.6418,0.01139,0.00478,0.0061,1.0000,0.0546
-5.250,-0.6218,0.01098,0.00441,0.0075,1.0000,0.0627
-5.000,-0.6017,0.01062,0.00409,0.0090,1.0000,0.0732
-4.750,-0.5822,0.01027,0.00380,0.0105,1.0000,0.0882
-4.500,-0.5616,0.00992,0.00356,0.0117,0.9997,0.1102
-4.250,-0.5244,0.00946,0.00330,0.0093,0.9960,0.1514
-4.000,-0.4883,0.00896,0.00304,0.0072,0.9916,0.2031
-3.750,-0.4526,0.00845,0.00281,0.0052,0.9867,0.2662
-3.500,-0.4164,0.00791,0.00259,0.0030,0.9823,0.3444
-3.250,-0.3829,0.00742,0.00240,0.0016,0.9755,0.4211
-3.000,-0.3457,0.00702,0.00227,-0.0006,0.9712,0.4898
-2.750,-0.3125,0.00674,0.00216,-0.0017,0.9628,0.5417
-2.500,-0.2761,0.00651,0.00206,-0.0034,0.9561,0.5843
-2.250,-0.2446,0.00634,0.00199,-0.0040,0.9441,0.6177
-2.000,-0.2135,0.00621,0.00192,-0.0045,0.9311,0.6464
-1.750,-0.1841,0.00611,0.00186,-0.0045,0.9163,0.6706
-1.500,-0.1563,0.00605,0.00181,-0.0042,0.9002,0.6923
-1.250,-0.1296,0.00600,0.00177,-0.0036,0.8834,0.7117
-1.000,-0.1034,0.00597,0.00173,-0.0029,0.8666,0.7297
-0.750,-0.0774,0.00595,0.00171,-0.0022,0.8499,0.7471
-0.500,-0.0514,0.00594,0.00169,-0.0015,0.8333,0.7641
-0.250,-0.0257,0.00594,0.00168,-0.0008,0.8166,0.7817
0.000,0.0000,0.00594,0.00168,0.0000,0.7993,0.7993
0.250,0.0257,0.00594,0.00168,0.0008,0.7816,0.8165
0.500,0.0514,0.00594,0.00169,0.0015,0.7641,0.8333
0.750,0.0773,0.00595,0.00171,0.0023,0.7471,0.8500
1.000,0.1034,0.00597,0.00173,0.0030,0.7297,0.8666
1.250,0.1296,0.00600,0.00177,0.0036,0.7118,0.8834
1.500,0.1563,0.00605,0.00181,0.0042,0.6923,0.9002
1.750,0.1841,0.00611,0.00186,0.0045,0.6705,0.9164
2.000,0.2134,0.00621,0.00192,0.0045,0.6462,0.9311
2.250,0.2445,0.00635,0.00199,0.0040,0.6173,0.9441
2.500,0.2761,0.00651,0.00206,0.0035,0.5839,0.9561
2.750,0.3125,0.00674,0.00216,0.0017,0.5420,0.9628
3.000,0.3457,0.00702,0.00227,0.0006,0.4902,0.9712
3.250,0.3830,0.00741,0.00240,-0.0016,0.4214,0.9755
3.750,0.4526,0.00846,0.00280,-0.0052,0.2657,0.9867
4.000,0.4884,0.00896,0.00304,-0.0072,0.2028,0.9917
4.250,0.5244,0.00946,0.00329,-0.0093,0.1511,0.9960
4.500,0.5617,0.00992,0.00356,-0.0117,0.1103,0.9998
4.750,0.5820,0.01026,0.00380,-0.0104,0.0884,1.0000
5.000,0.6015,0.01062,0.00408,-0.0089,0.0733,1.0000
5.250,0.6216,0.01098,0.00440,-0.0075,0.0627,1.0000
5.500,0.6417,0.01139,0.00478,-0.0060,0.0545,1.0000
5.750,0.6624,0.01177,0.00514,-0.0047,0.0485,1.0000
6.000,0.6830,0.01221,0.00560,-0.0033,0.0440,1.0000
6.250,0.7044,0.01258,0.00596,-0.0021,0.0399,1.0000
6.500,0.7240,0.01320,0.00660,-0.0006,0.0364,1.0000
6.750,0.7459,0.01357,0.00701,0.0005,0.0338,1.0000
7.000,0.7667,0.01408,0.00751,0.0018,0.0312,1.0000
7.250,0.7862,0.01477,0.00825,0.0032,0.0290,1.0000
7.500,0.8077,0.01523,0.00877,0.0044,0.0273,1.0000
7.750,0.8287,0.01575,0.00930,0.0055,0.0256,1.0000
8.000,0.8444,0.01703,0.01061,0.0074,0.0239,1.0000
8.250,0.8659,0.01758,0.01125,0.0085,0.0231,1.0000
8.500,0.8867,0.01824,0.01199,0.0097,0.0220,1.0000
8.750,0.9072,0.01893,0.01274,0.0109,0.0210,1.0000
9.000,0.9274,0.01960,0.01344,0.0119,0.0201,1.0000
9.250,0.9434,0.02107,0.01497,0.0135,0.0191,1.0000
9.500,0.9615,0.02223,0.01628,0.0148,0.0186,1.0000
9.750,0.9800,0.02325,0.01745,0.0161,0.0181,1.0000
10.000,0.9972,0.02444,0.01879,0.0175,0.0176,1.0000
10.250,1.0135,0.02568,0.02019,0.0189,0.0171,1.0000
10.500,1.0284,0.02702,0.02167,0.0204,0.0167,1.0000
10.750,1.0416,0.02847,0.02330,0.0220,0.0164,1.0000
11.000,1.0538,0.02982,0.02477,0.0237,0.0160,1.0000
11.250,1.0631,0.03143,0.02654,0.0255,0.0158,1.0000
11.500,1.0707,0.03298,0.02820,0.0275,0.0155,1.0000
11.750,1.0707,0.03500,0.03038,0.0302,0.0153,1.0000
12.000,1.0635,0.03737,0.03293,0.0334,0.0152,1.0000
12.250,1.0535,0.03998,0.03575,0.0360,0.0152,1.0000
12.500,1.0303,0.04424,0.04027,0.0377,0.0150,1.0000
12.750,1.0218,0.04711,0.04331,0.0379,0.0151,1.0000
13.000,1.0015,0.05185,0.04827,0.0368,0.0150,1.0000
13.250,0.9808,0.05734,0.05396,0.0342,0.0150,1.0000
13.500,0.9548,0.06453,0.06136,0.0296,0.0150,1.0000
13.750,0.9431,0.07055,0.06759,0.0247,0.0154,1.0000
