Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-bw3-il-200000
Airfoil,bw3-il
Reynolds number,200000
Ncrit,9
Mach,0
Max Cl/Cd,74.6642
Max Cl/Cd alpha,4
Url,http://airfoiltools.com/polar/csv?polar=xf-bw3-il-200000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-8.500,-0.3722,0.11339,0.10954,-0.0175,1.0000,0.0406
-8.250,-0.3786,0.11276,0.10898,-0.0186,1.0000,0.0408
-8.000,-0.3829,0.11164,0.10792,-0.0202,1.0000,0.0409
-7.750,-0.3702,0.10560,0.10188,-0.0177,1.0000,0.0413
-7.500,-0.3619,0.10201,0.09832,-0.0166,1.0000,0.0419
-7.250,-0.3577,0.09950,0.09584,-0.0158,1.0000,0.0426
-7.000,-0.3519,0.09699,0.09338,-0.0160,1.0000,0.0434
-6.750,-0.3455,0.09448,0.09091,-0.0165,1.0000,0.0449
-6.500,-0.3388,0.09203,0.08850,-0.0178,1.0000,0.0466
-6.250,-0.3268,0.09069,0.08720,-0.0245,1.0000,0.0480
-6.000,-0.3141,0.08936,0.08589,-0.0319,1.0000,0.0483
-5.750,-0.3194,0.08576,0.08237,-0.0268,1.0000,0.0486
-5.500,-0.3235,0.08323,0.07989,-0.0227,1.0000,0.0489
-5.250,-0.3178,0.08059,0.07728,-0.0215,0.9993,0.0494
-5.000,-0.2873,0.07688,0.07354,-0.0264,0.9963,0.0509
-4.750,-0.2510,0.07307,0.06969,-0.0335,0.9924,0.0532
-4.500,-0.1795,0.06804,0.06447,-0.0535,0.9876,0.0568
-4.250,-0.1634,0.06428,0.06074,-0.0526,0.9833,0.0578
-4.000,-0.1329,0.06105,0.05748,-0.0564,0.9785,0.0596
-3.750,-0.0909,0.05757,0.05393,-0.0634,0.9740,0.0629
-3.500,-0.0219,0.05303,0.04912,-0.0787,0.9678,0.0661
-3.250,0.0020,0.04953,0.04564,-0.0797,0.9643,0.0671
-3.000,0.0316,0.04691,0.04300,-0.0821,0.9576,0.0693
-2.750,0.1108,0.04449,0.04006,-0.0956,0.9543,0.0760
-2.500,0.1313,0.03998,0.03565,-0.0966,0.9485,0.0770
-2.250,0.1624,0.03735,0.03303,-0.0987,0.9444,0.0787
-2.000,0.2230,0.03583,0.03104,-0.1056,0.9418,0.0877
-1.750,0.2526,0.03178,0.02694,-0.1078,0.9360,0.0889
-1.500,0.2844,0.02952,0.02471,-0.1096,0.9320,0.0914
-1.250,0.3341,0.02740,0.02212,-0.1138,0.9292,0.1018
-1.000,0.3685,0.02510,0.01991,-0.1162,0.9261,0.1053
-0.750,0.4076,0.02339,0.01795,-0.1185,0.9198,0.1173
-0.500,0.4520,0.02173,0.01609,-0.1221,0.9159,0.1307
-0.250,0.5009,0.02016,0.01446,-0.1270,0.9123,0.1482
0.000,0.2553,0.01655,0.01279,-0.0537,0.9023,0.1463
0.250,0.5876,0.01811,0.01215,-0.1341,0.8935,0.2047
0.750,0.6617,0.01598,0.00933,-0.1362,0.8712,0.1604
1.000,0.6967,0.01542,0.00856,-0.1372,0.8609,0.1530
1.250,0.7247,0.01497,0.00800,-0.1369,0.8491,0.1503
1.500,0.7522,0.01474,0.00769,-0.1364,0.8375,0.1519
1.750,0.7810,0.01450,0.00737,-0.1361,0.8254,0.1529
2.000,0.8078,0.01424,0.00703,-0.1353,0.8096,0.1530
2.250,0.8327,0.01402,0.00675,-0.1340,0.7916,0.1539
2.500,0.8574,0.01385,0.00652,-0.1327,0.7732,0.1555
2.750,0.8820,0.01361,0.00627,-0.1314,0.7528,0.1585
3.000,0.9073,0.01340,0.00608,-0.1304,0.7323,0.1608
3.250,0.9320,0.01327,0.00593,-0.1292,0.7079,0.1632
3.500,0.9559,0.01320,0.00584,-0.1277,0.6794,0.1657
3.750,0.9793,0.01321,0.00578,-0.1263,0.6426,0.1688
4.000,1.0005,0.01340,0.00576,-0.1243,0.5835,0.1722
4.250,1.0159,0.01405,0.00588,-0.1213,0.4663,0.1772
4.500,1.0181,0.01602,0.00664,-0.1163,0.2574,0.1812
4.750,1.0254,0.01829,0.00784,-0.1128,0.0912,0.1853
5.000,1.0504,0.01903,0.00862,-0.1124,0.0786,0.1916
5.250,1.0722,0.02004,0.00964,-0.1112,0.0719,0.2008
5.500,1.0980,0.02074,0.01045,-0.1109,0.0677,0.2165
5.750,1.1829,0.02274,0.01342,-0.1254,0.0593,1.0000
6.000,1.2046,0.02365,0.01433,-0.1239,0.0578,1.0000
6.250,1.2264,0.02468,0.01537,-0.1225,0.0559,1.0000
