Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-c5a-il-200000
Airfoil,c5a-il
Reynolds number,200000
Ncrit,9
Mach,0
Max Cl/Cd,44.9015
Max Cl/Cd alpha,4.25
Url,http://airfoiltools.com/polar/csv?polar=xf-c5a-il-200000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-11.500,-0.4737,0.10165,0.09808,-0.0401,1.0000,0.0843
-11.250,-0.4824,0.09710,0.09355,-0.0410,1.0000,0.0869
-8.500,-0.9040,0.04178,0.03514,-0.0133,1.0000,0.0455
-8.250,-0.8938,0.03742,0.03060,-0.0114,1.0000,0.0432
-8.000,-0.8824,0.03399,0.02671,-0.0087,1.0000,0.0407
-7.750,-0.8678,0.03144,0.02362,-0.0061,1.0000,0.0390
-7.500,-0.8492,0.02976,0.02171,-0.0046,1.0000,0.0388
-7.250,-0.8297,0.02823,0.02009,-0.0034,1.0000,0.0396
-7.000,-0.8097,0.02697,0.01873,-0.0023,1.0000,0.0404
-6.750,-0.7887,0.02573,0.01739,-0.0011,1.0000,0.0409
-6.500,-0.7675,0.02455,0.01612,0.0000,1.0000,0.0412
-6.250,-0.7468,0.02350,0.01501,0.0012,1.0000,0.0418
-6.000,-0.7267,0.02255,0.01402,0.0025,1.0000,0.0426
-5.750,-0.7071,0.02168,0.01312,0.0039,1.0000,0.0438
-5.500,-0.6878,0.02091,0.01230,0.0052,1.0000,0.0450
-5.250,-0.6686,0.02013,0.01149,0.0065,1.0000,0.0465
-5.000,-0.6507,0.01909,0.01049,0.0077,1.0000,0.0499
-4.750,-0.6304,0.01851,0.00989,0.0087,1.0000,0.0543
-4.500,-0.6100,0.01775,0.00913,0.0095,1.0000,0.0603
-4.250,-0.5883,0.01708,0.00850,0.0102,1.0000,0.0730
-4.000,-0.5679,0.01435,0.00739,0.0094,1.0000,0.3435
-3.750,-0.5458,0.01329,0.00742,0.0098,1.0000,0.5642
-3.500,-0.5233,0.01332,0.00763,0.0108,1.0000,0.6240
-3.250,-0.5010,0.01348,0.00784,0.0118,1.0000,0.6638
-3.000,-0.4684,0.01379,0.00817,0.0109,0.9973,0.6952
-2.750,-0.4297,0.01423,0.00861,0.0089,0.9929,0.7224
-2.500,-0.3944,0.01465,0.00907,0.0077,0.9878,0.7448
-2.250,-0.3586,0.01499,0.00938,0.0061,0.9837,0.7597
-2.000,-0.3252,0.01515,0.00948,0.0048,0.9786,0.7694
-1.750,-0.2880,0.01541,0.00973,0.0028,0.9753,0.7790
-1.500,-0.2588,0.01555,0.00984,0.0025,0.9692,0.7909
-1.250,-0.2235,0.01579,0.01007,0.0010,0.9649,0.8017
-1.000,-0.1925,0.01591,0.01019,0.0003,0.9592,0.8101
-0.750,-0.1581,0.01598,0.01024,-0.0012,0.9538,0.8181
-0.500,-0.1193,0.01609,0.01034,-0.0036,0.9505,0.8250
-0.250,-0.0942,0.01611,0.01037,-0.0031,0.9426,0.8333
0.000,-0.0580,0.01615,0.01042,-0.0048,0.9382,0.8410
0.250,-0.0271,0.01614,0.01044,-0.0054,0.9313,0.8489
0.500,0.0097,0.01599,0.01030,-0.0071,0.9243,0.8559
0.750,0.0456,0.01584,0.01018,-0.0084,0.9178,0.8619
1.000,0.0795,0.01565,0.01000,-0.0097,0.9100,0.8695
1.250,0.1200,0.01541,0.00982,-0.0118,0.9063,0.8742
1.500,0.1478,0.01515,0.00961,-0.0115,0.8956,0.8815
1.750,0.1962,0.01459,0.00909,-0.0150,0.8914,0.8865
2.000,0.2270,0.01411,0.00868,-0.0147,0.8799,0.8922
2.250,0.2674,0.01349,0.00811,-0.0164,0.8708,0.8981
2.500,0.3080,0.01287,0.00755,-0.0180,0.8614,0.9031
2.750,0.3409,0.01239,0.00712,-0.0181,0.8463,0.9087
3.000,0.3743,0.01197,0.00673,-0.0186,0.8291,0.9157
3.250,0.4049,0.01168,0.00647,-0.0184,0.8035,0.9211
3.500,0.4384,0.01146,0.00623,-0.0189,0.7721,0.9272
3.750,0.4697,0.01136,0.00605,-0.0191,0.7337,0.9338
4.000,0.5011,0.01144,0.00598,-0.0193,0.6796,0.9392
4.250,0.5240,0.01167,0.00595,-0.0180,0.6156,0.9477
4.500,0.5482,0.01222,0.00608,-0.0171,0.5216,0.9539
4.750,0.5614,0.01317,0.00633,-0.0145,0.3760,0.9633
5.000,0.5801,0.01458,0.00693,-0.0137,0.2222,0.9712
5.250,0.6079,0.01582,0.00766,-0.0147,0.1428,0.9769
5.500,0.6395,0.01686,0.00849,-0.0162,0.1128,0.9826
5.750,0.6754,0.01759,0.00919,-0.0184,0.1006,0.9872
6.000,0.7107,0.01837,0.00992,-0.0206,0.0931,0.9922
6.250,0.7472,0.01909,0.01064,-0.0229,0.0877,0.9967
6.500,0.7753,0.02009,0.01157,-0.0237,0.0834,1.0000
6.750,0.7824,0.02047,0.01201,-0.0202,0.0814,1.0000
7.000,0.7891,0.02081,0.01241,-0.0165,0.0793,1.0000
