Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-clarkk-il-500000
Airfoil,clarkk-il
Reynolds number,500000
Ncrit,9
Mach,0
Max Cl/Cd,102.728
Max Cl/Cd alpha,4.75
Url,http://airfoiltools.com/polar/csv?polar=xf-clarkk-il-500000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-10.500,-0.4311,0.09364,0.09115,-0.0488,1.0000,0.0418
-10.250,-0.4287,0.09033,0.08786,-0.0478,1.0000,0.0422
-10.000,-0.4206,0.08862,0.08616,-0.0469,1.0000,0.0424
-9.750,-0.4140,0.08684,0.08440,-0.0463,1.0000,0.0428
-9.500,-0.4106,0.08489,0.08248,-0.0458,1.0000,0.0432
-9.250,-0.4124,0.08269,0.08031,-0.0452,1.0000,0.0437
-9.000,-0.4233,0.08046,0.07813,-0.0436,1.0000,0.0442
-8.750,-0.4893,0.05452,0.05148,-0.0789,0.9852,0.0483
-8.500,-0.4800,0.04547,0.04221,-0.0842,0.9825,0.0490
-8.250,-0.4556,0.04335,0.04017,-0.0852,0.9784,0.0496
-8.000,-0.4270,0.04169,0.03855,-0.0871,0.9756,0.0503
-7.750,-0.3988,0.03939,0.03615,-0.0899,0.9731,0.0515
-7.500,-0.3736,0.03813,0.03413,-0.0924,0.9679,0.0558
-7.250,-0.3619,0.03231,0.02790,-0.0933,0.9603,0.0569
-7.000,-0.3331,0.02983,0.02552,-0.0947,0.9571,0.0578
-6.750,-0.3099,0.02827,0.02393,-0.0947,0.9505,0.0588
-6.500,-0.2855,0.02684,0.02239,-0.0948,0.9440,0.0601
-6.250,-0.2613,0.02583,0.02115,-0.0945,0.9376,0.0626
-6.000,-0.2424,0.02433,0.01914,-0.0934,0.9288,0.0661
-5.750,-0.2175,0.02250,0.01737,-0.0934,0.9228,0.0674
-5.500,-0.1940,0.02139,0.01621,-0.0929,0.9145,0.0690
-5.250,-0.1683,0.02058,0.01525,-0.0926,0.9082,0.0714
-5.000,-0.1461,0.01954,0.01391,-0.0918,0.8991,0.0771
-4.750,-0.1201,0.01830,0.01269,-0.0917,0.8926,0.0791
-4.500,-0.0949,0.01762,0.01195,-0.0912,0.8839,0.0822
-4.250,-0.0702,0.01658,0.01075,-0.0910,0.8768,0.0903
-4.000,-0.0442,0.01593,0.01009,-0.0906,0.8682,0.0941
-3.750,-0.0167,0.01571,0.00973,-0.0902,0.8608,0.0975
-3.500,0.0156,0.01477,0.00828,-0.0889,0.8528,0.0638
-3.250,0.0427,0.01399,0.00742,-0.0886,0.8451,0.0634
-3.000,0.0697,0.01346,0.00683,-0.0883,0.8367,0.0635
-2.750,0.0969,0.01286,0.00618,-0.0880,0.8289,0.0631
-2.500,0.1239,0.01238,0.00566,-0.0877,0.8204,0.0629
-2.250,0.1511,0.01197,0.00521,-0.0873,0.8123,0.0629
-2.000,0.1780,0.01160,0.00483,-0.0870,0.8035,0.0630
-1.750,0.2051,0.01129,0.00447,-0.0867,0.7953,0.0631
-1.500,0.2320,0.01100,0.00418,-0.0864,0.7861,0.0634
-1.250,0.2592,0.01081,0.00394,-0.0861,0.7778,0.0640
-1.000,0.2863,0.01064,0.00377,-0.0858,0.7679,0.0646
-0.750,0.3132,0.01043,0.00353,-0.0855,0.7590,0.0649
-0.500,0.3395,0.01009,0.00319,-0.0851,0.7489,0.0655
-0.250,0.3659,0.00985,0.00293,-0.0847,0.7383,0.0662
0.000,0.3923,0.00967,0.00271,-0.0843,0.7263,0.0670
0.250,0.4189,0.00954,0.00255,-0.0839,0.7135,0.0680
0.500,0.4458,0.00943,0.00243,-0.0836,0.7020,0.0691
0.750,0.4729,0.00936,0.00234,-0.0833,0.6916,0.0706
1.000,0.4999,0.00933,0.00226,-0.0830,0.6806,0.0726
1.250,0.5270,0.00930,0.00221,-0.0828,0.6687,0.0743
1.500,0.5541,0.00929,0.00217,-0.0825,0.6574,0.0763
1.750,0.5809,0.00930,0.00214,-0.0822,0.6456,0.0806
2.000,0.6074,0.00923,0.00214,-0.0818,0.6325,0.1074
2.250,0.6326,0.00887,0.00221,-0.0815,0.6193,0.2731
2.500,0.6537,0.00798,0.00234,-0.0806,0.6069,0.6329
2.750,0.6985,0.00735,0.00256,-0.0836,0.5917,0.9937
3.000,0.7313,0.00749,0.00261,-0.0847,0.5761,1.0000
3.250,0.7553,0.00764,0.00269,-0.0839,0.5614,1.0000
3.500,0.7794,0.00780,0.00278,-0.0831,0.5470,1.0000
3.750,0.8035,0.00797,0.00288,-0.0822,0.5320,1.0000
4.000,0.8275,0.00816,0.00300,-0.0814,0.5160,1.0000
4.250,0.8516,0.00835,0.00313,-0.0806,0.4994,1.0000
4.500,0.8758,0.00855,0.00327,-0.0799,0.4830,1.0000
4.750,0.8999,0.00876,0.00343,-0.0791,0.4657,1.0000
5.000,0.9236,0.00900,0.00360,-0.0783,0.4448,1.0000
5.250,0.9462,0.00932,0.00379,-0.0773,0.4202,1.0000
5.500,0.9691,0.00963,0.00400,-0.0764,0.3938,1.0000
5.750,0.9915,0.00999,0.00425,-0.0754,0.3686,1.0000
6.000,1.0138,0.01036,0.00451,-0.0745,0.3439,1.0000
6.250,1.0359,0.01076,0.00479,-0.0735,0.3197,1.0000
6.500,1.0575,0.01119,0.00510,-0.0725,0.2954,1.0000
6.750,1.0794,0.01161,0.00542,-0.0715,0.2747,1.0000
7.000,1.1017,0.01199,0.00574,-0.0707,0.2576,1.0000
7.250,1.1239,0.01238,0.00607,-0.0698,0.2417,1.0000
7.500,1.1458,0.01278,0.00641,-0.0688,0.2264,1.0000
7.750,1.1676,0.01319,0.00676,-0.0679,0.2127,1.0000
8.000,1.1891,0.01360,0.00713,-0.0669,0.1986,1.0000
8.250,1.2102,0.01404,0.00752,-0.0659,0.1818,1.0000
8.500,1.2289,0.01463,0.00797,-0.0646,0.1564,1.0000
8.750,1.2401,0.01572,0.00872,-0.0622,0.1037,1.0000
9.000,1.2424,0.01730,0.00991,-0.0584,0.0525,1.0000
9.250,1.2536,0.01823,0.01077,-0.0559,0.0412,1.0000
9.500,1.2668,0.01904,0.01157,-0.0537,0.0369,1.0000
9.750,1.2807,0.01981,0.01239,-0.0518,0.0342,1.0000
10.000,1.2944,0.02059,0.01321,-0.0499,0.0322,1.0000
10.250,1.3039,0.02166,0.01431,-0.0475,0.0304,1.0000
10.500,1.3151,0.02263,0.01536,-0.0455,0.0293,1.0000
10.750,1.3271,0.02357,0.01637,-0.0437,0.0283,1.0000
11.000,1.3375,0.02464,0.01750,-0.0418,0.0273,1.0000
11.250,1.3460,0.02588,0.01880,-0.0399,0.0264,1.0000
11.500,1.3490,0.02757,0.02053,-0.0377,0.0255,1.0000
11.750,1.3523,0.02932,0.02237,-0.0356,0.0248,1.0000
12.000,1.3619,0.03063,0.02377,-0.0343,0.0242,1.0000
12.250,1.3693,0.03217,0.02539,-0.0329,0.0236,1.0000
12.500,1.3752,0.03388,0.02718,-0.0316,0.0230,1.0000
12.750,1.3800,0.03575,0.02911,-0.0303,0.0225,1.0000
13.000,1.3835,0.03778,0.03121,-0.0292,0.0220,1.0000
13.250,1.3848,0.04009,0.03359,-0.0281,0.0216,1.0000
13.500,1.3822,0.04282,0.03638,-0.0269,0.0211,1.0000
13.750,1.3780,0.04576,0.03939,-0.0257,0.0208,1.0000
14.000,1.3830,0.04790,0.04164,-0.0252,0.0205,1.0000
14.250,1.3867,0.05023,0.04407,-0.0247,0.0201,1.0000
14.500,1.3894,0.05272,0.04666,-0.0243,0.0197,1.0000
14.750,1.3917,0.05532,0.04935,-0.0241,0.0193,1.0000
15.000,1.3932,0.05805,0.05218,-0.0239,0.0189,1.0000
15.250,1.3943,0.06089,0.05510,-0.0239,0.0186,1.0000
15.500,1.3950,0.06383,0.05811,-0.0240,0.0183,1.0000
15.750,1.3954,0.06684,0.06118,-0.0241,0.0180,1.0000
16.000,1.3953,0.06986,0.06426,-0.0241,0.0178,1.0000
16.250,1.3952,0.07280,0.06724,-0.0240,0.0175,1.0000
16.500,1.3955,0.07532,0.06980,-0.0227,0.0171,1.0000
16.750,1.3937,0.07894,0.07357,-0.0236,0.0170,1.0000
17.000,1.3912,0.08268,0.07744,-0.0244,0.0168,1.0000
17.250,1.3883,0.08651,0.08141,-0.0254,0.0167,1.0000
17.500,1.3848,0.09047,0.08550,-0.0264,0.0165,1.0000
17.750,1.3806,0.09460,0.08977,-0.0276,0.0163,1.0000
18.000,1.3759,0.09886,0.09416,-0.0289,0.0161,1.0000
18.250,1.3705,0.10329,0.09871,-0.0305,0.0159,1.0000
18.500,1.3647,0.10786,0.10341,-0.0322,0.0158,1.0000
18.750,1.3588,0.11256,0.10823,-0.0342,0.0156,1.0000
