Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-clarkysm-il-500000
Airfoil,clarkysm-il
Reynolds number,500000
Ncrit,9
Mach,0
Max Cl/Cd,101.561
Max Cl/Cd alpha,3.5
Url,http://airfoiltools.com/polar/csv?polar=xf-clarkysm-il-500000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-10.750,-0.3683,0.10567,0.10330,-0.0408,1.0000,0.0293
-10.500,-0.6823,0.04568,0.04313,-0.0696,0.9978,0.0189
-10.250,-0.6978,0.03453,0.03111,-0.0784,0.9877,0.0191
-10.000,-0.6810,0.03037,0.02639,-0.0811,0.9839,0.0194
-9.750,-0.6692,0.02674,0.02230,-0.0813,0.9776,0.0198
-9.500,-0.6439,0.02477,0.02018,-0.0825,0.9743,0.0203
-9.250,-0.6129,0.02362,0.01892,-0.0842,0.9723,0.0209
-9.000,-0.5809,0.02233,0.01745,-0.0859,0.9708,0.0216
-8.750,-0.5598,0.02133,0.01629,-0.0852,0.9643,0.0223
-8.500,-0.5290,0.02029,0.01503,-0.0863,0.9615,0.0232
-8.250,-0.4985,0.01871,0.01323,-0.0876,0.9595,0.0242
-8.000,-0.4640,0.01788,0.01238,-0.0894,0.9582,0.0253
-7.750,-0.4280,0.01708,0.01148,-0.0914,0.9570,0.0264
-7.500,-0.4049,0.01642,0.01071,-0.0905,0.9503,0.0274
-7.250,-0.3725,0.01571,0.00986,-0.0915,0.9472,0.0285
-7.000,-0.3400,0.01473,0.00887,-0.0928,0.9446,0.0303
-6.750,-0.3048,0.01425,0.00834,-0.0944,0.9423,0.0322
-6.500,-0.2811,0.01388,0.00787,-0.0934,0.9346,0.0337
-6.250,-0.2516,0.01304,0.00701,-0.0939,0.9301,0.0360
-6.000,-0.2205,0.01267,0.00661,-0.0945,0.9255,0.0385
-5.750,-0.1950,0.01233,0.00620,-0.0939,0.9178,0.0408
-5.500,-0.1654,0.01182,0.00569,-0.0943,0.9127,0.0443
-5.250,-0.1400,0.01160,0.00542,-0.0936,0.9048,0.0476
-5.000,-0.1130,0.01112,0.00492,-0.0934,0.8982,0.0517
-4.750,-0.0864,0.01094,0.00471,-0.0930,0.8906,0.0560
-4.500,-0.0603,0.01058,0.00432,-0.0925,0.8832,0.0609
-4.250,-0.0337,0.01041,0.00412,-0.0922,0.8756,0.0661
-4.000,-0.0079,0.01011,0.00380,-0.0916,0.8677,0.0722
-3.750,0.0184,0.00995,0.00361,-0.0911,0.8597,0.0783
-3.500,0.0442,0.00969,0.00334,-0.0906,0.8515,0.0861
-3.250,0.0702,0.00956,0.00317,-0.0900,0.8430,0.0934
-3.000,0.0960,0.00932,0.00294,-0.0895,0.8348,0.1052
-2.750,0.1207,0.00911,0.00278,-0.0887,0.8256,0.1199
-2.500,0.1464,0.00889,0.00259,-0.0881,0.8161,0.1435
-2.250,0.1702,0.00865,0.00246,-0.0872,0.8045,0.1833
