Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-cp-100-050-gn-200000-n1
Airfoil,cp-100-050-gn
Reynolds number,200000
Ncrit,1
Mach,0
Max Cl/Cd,38.3029
Max Cl/Cd alpha,6.25
Url,http://airfoiltools.com/polar/csv?polar=xf-cp-100-050-gn-200000-n1

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-10.000,-0.0223,0.11159,0.10643,-0.1252,0.8939,0.0185
-9.750,-0.0122,0.10915,0.10398,-0.1266,0.8904,0.0187
-9.500,-0.0007,0.10663,0.10144,-0.1284,0.8869,0.0189
-9.250,0.0117,0.10401,0.09880,-0.1304,0.8835,0.0191
-9.000,0.0248,0.10139,0.09616,-0.1326,0.8806,0.0193
-8.750,0.0351,0.09908,0.09384,-0.1339,0.8770,0.0195
-8.500,0.0450,0.09675,0.09151,-0.1351,0.8727,0.0200
-8.250,0.0572,0.09453,0.08928,-0.1367,0.8685,0.0205
-8.000,0.0700,0.09219,0.08692,-0.1385,0.8648,0.0209
-7.750,0.0812,0.08992,0.08464,-0.1399,0.8611,0.0213
-7.500,0.0905,0.08786,0.08258,-0.1407,0.8564,0.0215
-7.250,0.1010,0.08572,0.08043,-0.1418,0.8515,0.0217
-7.000,0.1126,0.08360,0.07828,-0.1431,0.8473,0.0218
-6.750,0.1213,0.08148,0.07616,-0.1438,0.8430,0.0223
-6.500,0.1291,0.07958,0.07427,-0.1441,0.8376,0.0226
-6.250,0.1387,0.07778,0.07247,-0.1447,0.8325,0.0231
-6.000,0.1485,0.07591,0.07058,-0.1453,0.8279,0.0235
-5.750,0.1535,0.07430,0.06900,-0.1448,0.8225,0.0239
-5.500,0.1586,0.07266,0.06736,-0.1443,0.8167,0.0241
-5.250,0.1638,0.07099,0.06569,-0.1439,0.8114,0.0244
-5.000,0.1678,0.06944,0.06415,-0.1432,0.8063,0.0246
-4.750,0.1750,0.06777,0.06248,-0.1432,0.8006,0.0247
-4.500,0.1840,0.06584,0.06054,-0.1439,0.7954,0.0252
-4.250,0.1941,0.06410,0.05880,-0.1444,0.7907,0.0258
-4.000,0.2038,0.06247,0.05718,-0.1446,0.7855,0.0262
-3.750,0.2157,0.06069,0.05539,-0.1454,0.7802,0.0266
-3.500,0.2304,0.05879,0.05347,-0.1467,0.7757,0.0268
-3.250,0.2426,0.05704,0.05172,-0.1473,0.7710,0.0271
-3.000,0.2569,0.05522,0.04989,-0.1482,0.7658,0.0273
-2.750,0.2740,0.05330,0.04794,-0.1496,0.7609,0.0276
-2.500,0.2927,0.05118,0.04579,-0.1515,0.7566,0.0283
-2.250,0.3102,0.04950,0.04410,-0.1525,0.7520,0.0289
-2.000,0.3300,0.04776,0.04233,-0.1538,0.7471,0.0294
-1.750,0.3521,0.04592,0.04046,-0.1555,0.7427,0.0297
