Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-cp-180-050-gn-1000000
Airfoil,cp-180-050-gn
Reynolds number,1000000
Ncrit,9
Mach,0
Max Cl/Cd,52.2793
Max Cl/Cd alpha,2.5
Url,http://airfoiltools.com/polar/csv?polar=xf-cp-180-050-gn-1000000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-15.000,0.5214,0.11449,0.11181,-0.2813,0.9074,0.0119
-14.750,0.5224,0.11305,0.11038,-0.2798,0.9042,0.0120
-14.500,0.5293,0.11117,0.10849,-0.2803,0.9016,0.0120
-14.250,0.5401,0.10863,0.10592,-0.2823,0.8995,0.0121
-14.000,0.5563,0.10625,0.10350,-0.2856,0.8977,0.0121
-13.750,0.5769,0.10384,0.10106,-0.2901,0.8959,0.0123
-13.500,0.5836,0.10250,0.09971,-0.2901,0.8934,0.0126
-13.250,0.5821,0.10163,0.09886,-0.2874,0.8901,0.0130
-13.000,0.5875,0.10021,0.09743,-0.2870,0.8872,0.0132
-12.750,0.5991,0.09824,0.09544,-0.2886,0.8849,0.0140
-12.500,0.6154,0.09589,0.09305,-0.2917,0.8828,0.0143
-12.250,0.6362,0.09313,0.09024,-0.2964,0.8807,0.0144
-12.000,0.6320,0.09237,0.08951,-0.2929,0.8776,0.0144
-11.750,0.6498,0.07421,0.07144,-0.2802,0.8610,0.0146
-11.500,0.6532,0.07298,0.07022,-0.2790,0.8580,0.0148
-11.250,0.6608,0.07158,0.06881,-0.2790,0.8555,0.0152
-11.000,0.6719,0.06975,0.06695,-0.2802,0.8530,0.0156
-10.750,0.6883,0.06752,0.06467,-0.2831,0.8506,0.0162
-10.500,0.6821,0.06690,0.06409,-0.2790,0.8476,0.0164
-10.250,0.6784,0.06593,0.06313,-0.2757,0.8441,0.0168
-10.000,0.6774,0.06470,0.06190,-0.2734,0.8408,0.0170
-9.750,0.6863,0.06297,0.06014,-0.2740,0.8382,0.0171
-8.750,0.6963,0.07485,0.07191,-0.2832,0.8388,0.0173
-8.500,0.7136,0.07319,0.07020,-0.2856,0.8361,0.0175
-8.250,0.7081,0.07271,0.06975,-0.2815,0.8330,0.0176
-8.000,0.7019,0.07227,0.06934,-0.2771,0.8294,0.0179
-7.750,0.7003,0.07152,0.06859,-0.2742,0.8259,0.0180
-7.500,0.7072,0.07033,0.06738,-0.2736,0.8229,0.0185
-7.250,0.7237,0.06866,0.06566,-0.2759,0.8200,0.0192
-7.000,0.6979,0.06919,0.06627,-0.2661,0.8160,0.0190
-6.750,0.6857,0.06888,0.06600,-0.2603,0.8120,0.0195
-6.500,0.6817,0.06820,0.06530,-0.2569,0.8084,0.0197
-6.250,0.6893,0.06691,0.06397,-0.2571,0.8049,0.0199
-6.000,0.6638,0.06736,0.06450,-0.2478,0.8009,0.0199
-5.750,0.6509,0.06708,0.06425,-0.2421,0.7967,0.0199
-5.500,0.6513,0.06606,0.06322,-0.2402,0.7931,0.0199
-5.250,0.6643,0.06399,0.06111,-0.2412,0.7902,0.0200
-5.000,0.6620,0.06317,0.06032,-0.2381,0.7871,0.0201
-4.750,0.6485,0.06295,0.06015,-0.2321,0.7831,0.0202
-4.500,0.6482,0.06220,0.05940,-0.2294,0.7796,0.0203
-4.250,0.6583,0.06095,0.05813,-0.2294,0.7766,0.0206
-4.000,0.6799,0.05918,0.05631,-0.2324,0.7738,0.0209
-3.750,0.6699,0.05885,0.05604,-0.2273,0.7703,0.0212
-3.500,0.6685,0.05811,0.05532,-0.2245,0.7667,0.0216
-3.250,0.6760,0.05690,0.05411,-0.2239,0.7635,0.0222
-3.000,0.6942,0.05514,0.05231,-0.2260,0.7606,0.0226
-2.750,0.7313,0.05276,0.04986,-0.2332,0.7579,0.0228
-2.250,0.7372,0.05055,0.04771,-0.2295,0.7514,0.0229
-2.000,0.7482,0.04936,0.04652,-0.2292,0.7484,0.0231
-1.750,0.7699,0.04794,0.04507,-0.2314,0.7457,0.0234
-1.500,0.8007,0.04623,0.04331,-0.2357,0.7433,0.0239
-1.250,0.8364,0.04438,0.04142,-0.2412,0.7410,0.0249
-1.000,0.8519,0.04332,0.04038,-0.2420,0.7381,0.0256
-0.750,0.8935,0.04166,0.03869,-0.2491,0.7356,0.0258
-0.500,0.9340,0.03989,0.03689,-0.2557,0.7332,0.0259
-0.250,0.9541,0.03839,0.03537,-0.2569,0.7306,0.0261
0.000,0.9885,0.03703,0.03398,-0.2613,0.7284,0.0264
0.250,1.0339,0.03546,0.03234,-0.2681,0.7263,0.0270
0.500,1.0778,0.03401,0.03087,-0.2746,0.7243,0.0283
0.750,1.1376,0.03269,0.02949,-0.2848,0.7221,0.0289
1.000,1.1874,0.03125,0.02802,-0.2925,0.7196,0.0290
1.250,1.1984,0.03050,0.02724,-0.2911,0.7126,0.0291
1.500,1.2375,0.02942,0.02609,-0.2957,0.7087,0.0295
1.750,1.2600,0.02909,0.02579,-0.2968,0.7050,0.0299
2.000,1.2969,0.02834,0.02502,-0.3009,0.7017,0.0310
2.250,1.3482,0.02765,0.02422,-0.3079,0.6955,0.0319
2.500,1.4037,0.02685,0.02333,-0.3158,0.6914,0.0320
6.500,1.3567,0.05898,0.05236,-0.2558,0.0215,0.0358
6.750,1.3750,0.05995,0.05333,-0.2558,0.0200,0.0362
7.000,1.3953,0.06098,0.05434,-0.2560,0.0193,0.0369
7.250,1.4178,0.06210,0.05545,-0.2566,0.0188,0.0384
7.500,1.4506,0.06343,0.05667,-0.2586,0.0185,0.0394
7.750,1.4702,0.06449,0.05772,-0.2589,0.0182,0.0399
8.000,1.4853,0.06579,0.05902,-0.2582,0.0180,0.0403
8.250,1.5019,0.06712,0.06036,-0.2577,0.0179,0.0409
8.500,1.5192,0.06859,0.06181,-0.2573,0.0177,0.0420
8.750,1.5487,0.06998,0.06306,-0.2588,0.0176,0.0445
9.000,1.5600,0.07164,0.06475,-0.2575,0.0174,0.0451
9.250,1.5725,0.07329,0.06641,-0.2564,0.0172,0.0461
9.500,1.5931,0.07494,0.06791,-0.2561,0.0171,0.0493
9.750,1.6056,0.07681,0.06981,-0.2554,0.0169,0.0505
10.000,1.6147,0.07879,0.07183,-0.2539,0.0167,0.0514
10.250,1.6257,0.08074,0.07377,-0.2526,0.0165,0.0534
10.500,1.6374,0.08290,0.07584,-0.2516,0.0163,0.0568
10.750,1.6446,0.08520,0.07819,-0.2500,0.0162,0.0580
11.000,1.6522,0.08748,0.08050,-0.2485,0.0160,0.0604
11.250,1.6586,0.09005,0.08306,-0.2470,0.0158,0.0651
11.500,1.6638,0.09266,0.08572,-0.2454,0.0157,0.0673
11.750,1.6679,0.09522,0.08830,-0.2435,0.0155,0.0715
12.000,1.6785,0.09795,0.09088,-0.2427,0.0153,0.0483
12.250,1.6806,0.10103,0.09399,-0.2410,0.0151,0.0480
12.500,1.6827,0.10410,0.09711,-0.2394,0.0149,0.0475
12.750,1.6851,0.10711,0.10018,-0.2378,0.0149,0.0472
