Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-daytonwrightt1-il-200000
Airfoil,daytonwrightt1-il
Reynolds number,200000
Ncrit,9
Mach,0
Max Cl/Cd,71.4185
Max Cl/Cd alpha,2
Url,http://airfoiltools.com/polar/csv?polar=xf-daytonwrightt1-il-200000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-10.250,-0.3469,0.08884,0.08542,-0.0520,0.9839,0.0884
-10.000,-0.3208,0.08634,0.08291,-0.0535,0.9820,0.0902
-9.750,-0.4273,0.04945,0.04514,-0.0857,0.9576,0.0667
-9.500,-0.4052,0.04426,0.03968,-0.0889,0.9548,0.0641
-9.250,-0.4057,0.03949,0.03450,-0.0875,0.9453,0.0628
-9.000,-0.3872,0.03400,0.02832,-0.0892,0.9415,0.0619
-8.750,-0.3661,0.03134,0.02522,-0.0892,0.9364,0.0626
-8.500,-0.3453,0.02932,0.02282,-0.0885,0.9300,0.0634
-8.250,-0.3127,0.02731,0.02039,-0.0898,0.9269,0.0642
-8.000,-0.2753,0.02567,0.01838,-0.0918,0.9248,0.0651
-7.750,-0.2543,0.02482,0.01727,-0.0904,0.9176,0.0658
-7.500,-0.2227,0.02327,0.01567,-0.0913,0.9135,0.0675
-7.250,-0.1837,0.02242,0.01480,-0.0933,0.9110,0.0700
-7.000,-0.1426,0.02160,0.01386,-0.0957,0.9091,0.0733
-6.750,-0.1021,0.02056,0.01269,-0.0978,0.9074,0.0765
-6.500,-0.0854,0.02007,0.01226,-0.0956,0.8979,0.0793
-6.250,-0.0488,0.01938,0.01152,-0.0969,0.8946,0.0849
-6.000,-0.0112,0.01853,0.01074,-0.0985,0.8922,0.0935
-5.750,0.0129,0.01808,0.01032,-0.0976,0.8850,0.1048
-5.500,0.0435,0.01754,0.00983,-0.0978,0.8796,0.1221
-5.250,0.0793,0.01702,0.00930,-0.0989,0.8763,0.1411
-5.000,0.1088,0.01667,0.00898,-0.0989,0.8707,0.1577
-4.750,0.1350,0.01636,0.00872,-0.0983,0.8632,0.1740
-4.500,0.1692,0.01584,0.00830,-0.0991,0.8593,0.1938
-4.250,0.1946,0.01563,0.00817,-0.0984,0.8514,0.2150
-4.000,0.2251,0.01532,0.00787,-0.0984,0.8448,0.2413
-3.750,0.2575,0.01486,0.00750,-0.0988,0.8390,0.2670
-3.500,0.2825,0.01461,0.00728,-0.0978,0.8287,0.2906
-3.250,0.3136,0.01423,0.00692,-0.0979,0.8219,0.3149
-3.000,0.3387,0.01402,0.00676,-0.0970,0.8118,0.3371
-2.750,0.3676,0.01375,0.00649,-0.0968,0.8036,0.3608
-2.500,0.3945,0.01347,0.00624,-0.0962,0.7937,0.3833
-2.250,0.4203,0.01321,0.00605,-0.0955,0.7834,0.4069
-2.000,0.4491,0.01286,0.00574,-0.0953,0.7746,0.4353
-1.750,0.4722,0.01257,0.00561,-0.0942,0.7629,0.4700
-1.500,0.4943,0.01195,0.00540,-0.0929,0.7531,0.5568
-1.250,0.6035,0.01128,0.00560,-0.1081,0.7425,0.9919
-1.000,0.6484,0.01126,0.00546,-0.1116,0.7298,1.0000
-0.750,0.6724,0.01128,0.00537,-0.1107,0.7173,1.0000
