Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-defcnd1-il-1000000
Airfoil,defcnd1-il
Reynolds number,1000000
Ncrit,9
Mach,0
Max Cl/Cd,124.866
Max Cl/Cd alpha,7
Url,http://airfoiltools.com/polar/csv?polar=xf-defcnd1-il-1000000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-19.000,-0.7574,0.11293,0.10986,-0.0467,1.0000,0.0180
-18.750,-0.7665,0.10782,0.10469,-0.0494,1.0000,0.0181
-18.500,-0.7740,0.10135,0.09816,-0.0540,0.9549,0.0183
-18.250,-0.7576,0.08993,0.08651,-0.0715,0.9154,0.0186
-18.000,-0.7368,0.07699,0.07314,-0.0932,0.8582,0.0190
-17.750,-0.7489,0.06985,0.06546,-0.1003,0.7626,0.0195
-17.500,-0.7706,0.06377,0.05918,-0.1038,0.7437,0.0195
-17.250,-0.7904,0.05824,0.05349,-0.1068,0.7316,0.0196
-17.000,-0.8100,0.05309,0.04818,-0.1095,0.7220,0.0196
-16.750,-0.8263,0.04858,0.04355,-0.1116,0.7140,0.0198
-16.500,-0.8393,0.04458,0.03942,-0.1133,0.7060,0.0199
-16.250,-0.8484,0.04107,0.03582,-0.1146,0.7000,0.0202
-16.000,-0.8565,0.03776,0.03239,-0.1158,0.6935,0.0204
-15.750,-0.8611,0.03489,0.02940,-0.1166,0.6866,0.0207
-15.500,-0.8629,0.03229,0.02671,-0.1173,0.6816,0.0209
-15.250,-0.8657,0.02976,0.02409,-0.1177,0.6760,0.0211
-15.000,-0.8735,0.02714,0.02137,-0.1176,0.6707,0.0216
-14.750,-0.8757,0.02529,0.01942,-0.1168,0.6644,0.0220
-14.500,-0.8760,0.02372,0.01780,-0.1155,0.6606,0.0224
-14.250,-0.8734,0.02251,0.01653,-0.1139,0.6560,0.0229
-14.000,-0.8690,0.02153,0.01548,-0.1120,0.6513,0.0233
-13.750,-0.8626,0.02075,0.01461,-0.1099,0.6462,0.0239
-13.500,-0.8583,0.01991,0.01371,-0.1074,0.6420,0.0246
-13.250,-0.8527,0.01914,0.01292,-0.1048,0.6384,0.0253
-13.000,-0.8453,0.01850,0.01223,-0.1021,0.6341,0.0263
-12.750,-0.8353,0.01799,0.01166,-0.0996,0.6298,0.0272
-12.500,-0.8272,0.01744,0.01106,-0.0967,0.6252,0.0284
-12.250,-0.8180,0.01694,0.01054,-0.0938,0.6218,0.0297
-12.000,-0.8069,0.01655,0.01012,-0.0910,0.6188,0.0314
-11.750,-0.7953,0.01610,0.00966,-0.0884,0.6152,0.0336
-11.500,-0.7799,0.01565,0.00919,-0.0864,0.6114,0.0366
-11.250,-0.7634,0.01524,0.00876,-0.0846,0.6072,0.0402
-11.000,-0.7456,0.01487,0.00836,-0.0829,0.6026,0.0440
-10.750,-0.7263,0.01447,0.00797,-0.0815,0.6001,0.0485
-10.500,-0.7064,0.01408,0.00760,-0.0802,0.5972,0.0531
-10.250,-0.6858,0.01372,0.00725,-0.0789,0.5938,0.0580
-10.000,-0.6645,0.01340,0.00693,-0.0777,0.5902,0.0629
-9.750,-0.6426,0.01312,0.00664,-0.0766,0.5862,0.0680
-9.500,-0.6197,0.01289,0.00640,-0.0757,0.5822,0.0730
-9.250,-0.5953,0.01266,0.00618,-0.0750,0.5797,0.0785
-9.000,-0.5709,0.01243,0.00598,-0.0743,0.5767,0.0837
-8.750,-0.5456,0.01226,0.00581,-0.0737,0.5736,0.0879
-8.500,-0.5202,0.01212,0.00565,-0.0731,0.5702,0.0920
-8.250,-0.4943,0.01202,0.00550,-0.0726,0.5664,0.0952
-8.000,-0.4690,0.01188,0.00536,-0.0720,0.5626,0.0988
-7.750,-0.4420,0.01177,0.00524,-0.0717,0.5602,0.1019
-7.500,-0.4152,0.01165,0.00510,-0.0713,0.5574,0.1044
-7.250,-0.3895,0.01148,0.00494,-0.0708,0.5544,0.1076
-7.000,-0.3628,0.01139,0.00483,-0.0704,0.5512,0.1104
-6.750,-0.3359,0.01133,0.00472,-0.0701,0.5477,0.1125
-6.500,-0.3096,0.01125,0.00459,-0.0696,0.5437,0.1149
-6.250,-0.2833,0.01107,0.00444,-0.0692,0.5415,0.1186
-6.000,-0.2558,0.01098,0.00436,-0.0690,0.5390,0.1218
-5.750,-0.2281,0.01091,0.00427,-0.0688,0.5362,0.1240
-5.500,-0.2016,0.01079,0.00411,-0.0684,0.5332,0.1262
-5.250,-0.1759,0.01063,0.00393,-0.0678,0.5299,0.1293
-5.000,-0.1496,0.01056,0.00383,-0.0674,0.5258,0.1320
-4.750,-0.1222,0.01045,0.00372,-0.0671,0.5235,0.1343
