Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-df101-il-50000
Airfoil,df101-il
Reynolds number,50000
Ncrit,9
Mach,0
Max Cl/Cd,31.5317
Max Cl/Cd alpha,6.25
Url,http://airfoiltools.com/polar/csv?polar=xf-df101-il-50000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-8.500,-0.3896,0.09769,0.09092,-0.0193,1.0000,0.2740
-8.250,-0.4136,0.09624,0.08967,-0.0203,1.0000,0.2798
-8.000,-0.4999,0.07775,0.07146,-0.0418,1.0000,0.1347
-7.750,-0.5279,0.07015,0.06380,-0.0446,1.0000,0.1207
-7.500,-0.5275,0.06630,0.05994,-0.0434,1.0000,0.1187
-7.250,-0.5328,0.06224,0.05584,-0.0423,1.0000,0.1169
-7.000,-0.5404,0.05792,0.05139,-0.0413,1.0000,0.1151
-6.750,-0.5475,0.05329,0.04650,-0.0401,1.0000,0.1132
-6.500,-0.5504,0.04889,0.04174,-0.0387,1.0000,0.1125
-6.250,-0.5473,0.04495,0.03740,-0.0371,1.0000,0.1129
-6.000,-0.5400,0.04121,0.03318,-0.0354,1.0000,0.1137
-5.750,-0.5287,0.03779,0.02921,-0.0337,1.0000,0.1156
-5.500,-0.5151,0.03485,0.02564,-0.0320,1.0000,0.1212
-5.250,-0.4980,0.03304,0.02378,-0.0304,1.0000,0.1304
-5.000,-0.4793,0.03082,0.02130,-0.0288,1.0000,0.1396
-4.750,-0.4609,0.02934,0.01972,-0.0272,1.0000,0.1570
-4.500,-0.4412,0.02771,0.01803,-0.0256,1.0000,0.1805
-4.250,-0.4240,0.02661,0.01714,-0.0236,1.0000,0.2267
-4.000,-0.4093,0.02578,0.01657,-0.0210,1.0000,0.2981
-3.750,-0.3952,0.02538,0.01638,-0.0185,1.0000,0.3584
-3.500,-0.3800,0.02500,0.01615,-0.0161,1.0000,0.4068
-3.250,-0.3629,0.02452,0.01570,-0.0141,1.0000,0.4479
-3.000,-0.3447,0.02399,0.01520,-0.0124,1.0000,0.4828
-2.750,-0.3263,0.02349,0.01465,-0.0108,1.0000,0.5171
-2.500,-0.3071,0.02302,0.01420,-0.0094,1.0000,0.5526
-2.250,-0.2874,0.02258,0.01381,-0.0080,1.0000,0.5936
-2.000,-0.2687,0.02211,0.01351,-0.0064,1.0000,0.6430
-1.750,-0.2523,0.02155,0.01328,-0.0039,1.0000,0.7140
-1.500,-0.1616,0.02089,0.01296,-0.0154,1.0000,1.0000
-1.250,-0.1472,0.02101,0.01260,-0.0152,1.0000,1.0000
-1.000,-0.1314,0.02131,0.01256,-0.0146,1.0000,1.0000
-0.750,-0.1153,0.02168,0.01263,-0.0140,1.0000,1.0000
-0.500,-0.0991,0.02210,0.01281,-0.0133,1.0000,1.0000
-0.250,-0.0828,0.02257,0.01307,-0.0127,1.0000,1.0000
0.000,-0.0665,0.02309,0.01340,-0.0122,1.0000,1.0000
0.250,-0.0501,0.02365,0.01379,-0.0117,1.0000,1.0000
0.500,-0.0201,0.02457,0.01454,-0.0138,0.9948,1.0000
0.750,0.0298,0.02589,0.01568,-0.0196,0.9796,1.0000
1.000,0.0757,0.02706,0.01672,-0.0244,0.9639,1.0000
1.250,0.1201,0.02815,0.01771,-0.0288,0.9476,1.0000
1.500,0.1646,0.02919,0.01866,-0.0330,0.9308,1.0000
1.750,0.2108,0.03016,0.01959,-0.0372,0.9136,1.0000
2.000,0.2525,0.03098,0.02039,-0.0404,0.8956,1.0000
2.250,0.2882,0.03166,0.02106,-0.0424,0.8762,1.0000
2.500,0.3318,0.03226,0.02168,-0.0454,0.8568,1.0000
2.750,0.3837,0.03265,0.02213,-0.0492,0.8380,1.0000
3.000,0.4127,0.03308,0.02261,-0.0494,0.8163,1.0000
3.250,0.4628,0.03310,0.02272,-0.0523,0.7966,1.0000
3.500,0.5050,0.03308,0.02281,-0.0538,0.7758,1.0000
3.750,0.5517,0.03270,0.02256,-0.0554,0.7546,1.0000
4.000,0.6086,0.03162,0.02167,-0.0575,0.7360,1.0000
