Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-dfvlrr4-il-500000
Airfoil,dfvlrr4-il
Reynolds number,500000
Ncrit,9
Mach,0
Max Cl/Cd,72.8753
Max Cl/Cd alpha,1.75
Url,http://airfoiltools.com/polar/csv?polar=xf-dfvlrr4-il-500000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-15.250,-0.7944,0.08611,0.08301,-0.0594,1.0000,0.0181
-15.000,-0.8262,0.07654,0.07327,-0.0651,1.0000,0.0179
-14.750,-0.8521,0.06887,0.06540,-0.0696,1.0000,0.0179
-14.500,-0.8736,0.06271,0.05905,-0.0727,1.0000,0.0179
-14.250,-0.8912,0.05772,0.05388,-0.0747,1.0000,0.0179
-14.000,-0.9074,0.05331,0.04928,-0.0758,1.0000,0.0179
-13.750,-0.9193,0.04994,0.04573,-0.0761,1.0000,0.0180
-13.500,-0.9301,0.04706,0.04268,-0.0756,1.0000,0.0181
-13.250,-0.9432,0.04414,0.03959,-0.0743,1.0000,0.0182
-13.000,-0.9552,0.04138,0.03666,-0.0723,1.0000,0.0182
-12.750,-0.9688,0.03868,0.03378,-0.0694,1.0000,0.0183
-12.500,-0.9799,0.03666,0.03165,-0.0658,1.0000,0.0186
-12.250,-0.9926,0.03539,0.03031,-0.0611,1.0000,0.0187
-12.000,-1.0124,0.03450,0.02935,-0.0550,1.0000,0.0187
-11.750,-1.0208,0.03358,0.02840,-0.0509,1.0000,0.0189
-11.500,-1.0003,0.03212,0.02687,-0.0523,0.9984,0.0193
-11.250,-0.9738,0.03065,0.02528,-0.0547,0.9963,0.0198
-11.000,-0.9461,0.02922,0.02374,-0.0569,0.9947,0.0203
-10.750,-0.9210,0.02777,0.02215,-0.0582,0.9925,0.0208
-10.500,-0.8945,0.02642,0.02065,-0.0594,0.9902,0.0212
-10.250,-0.8666,0.02516,0.01926,-0.0608,0.9884,0.0216
-10.000,-0.8372,0.02408,0.01806,-0.0622,0.9869,0.0220
-9.750,-0.8068,0.02310,0.01696,-0.0639,0.9857,0.0224
-9.500,-0.7801,0.02150,0.01532,-0.0649,0.9848,0.0232
-9.250,-0.7563,0.02063,0.01444,-0.0653,0.9809,0.0238
-9.000,-0.7267,0.01987,0.01365,-0.0667,0.9786,0.0246
-8.750,-0.6952,0.01917,0.01291,-0.0685,0.9768,0.0257
-8.500,-0.6624,0.01853,0.01220,-0.0704,0.9754,0.0268
-8.250,-0.6297,0.01754,0.01117,-0.0726,0.9743,0.0282
-8.000,-0.5952,0.01676,0.01040,-0.0751,0.9734,0.0298
-7.750,-0.5595,0.01617,0.00977,-0.0776,0.9727,0.0319
-7.500,-0.5354,0.01566,0.00921,-0.0775,0.9676,0.0337
-7.250,-0.5021,0.01491,0.00849,-0.0797,0.9657,0.0377
-7.000,-0.4671,0.01427,0.00786,-0.0820,0.9643,0.0436
-6.750,-0.4312,0.01370,0.00732,-0.0845,0.9633,0.0522
-6.500,-0.3947,0.01320,0.00687,-0.0870,0.9624,0.0623
-6.250,-0.3583,0.01276,0.00648,-0.0894,0.9615,0.0744
-6.000,-0.3218,0.01231,0.00608,-0.0919,0.9607,0.0896
-5.750,-0.2851,0.01180,0.00568,-0.0945,0.9599,0.1123
-5.500,-0.2473,0.01111,0.00523,-0.0975,0.9591,0.1634
-5.250,-0.2022,0.00941,0.00445,-0.1038,0.9589,0.3676
-5.000,-0.1699,0.00892,0.00424,-0.1055,0.9553,0.4475
-4.750,-0.1351,0.00861,0.00409,-0.1075,0.9529,0.4980
-4.500,-0.1008,0.00841,0.00400,-0.1091,0.9509,0.5354
-4.250,-0.0671,0.00830,0.00392,-0.1104,0.9491,0.5587
-4.000,-0.0334,0.00821,0.00387,-0.1117,0.9474,0.5785
-3.750,0.0002,0.00817,0.00385,-0.1130,0.9458,0.5982
-3.500,0.0337,0.00818,0.00387,-0.1141,0.9443,0.6192
-3.250,0.0610,0.00829,0.00400,-0.1140,0.9402,0.6344
-3.000,0.0897,0.00838,0.00412,-0.1140,0.9367,0.6451
-2.750,0.1204,0.00843,0.00416,-0.1146,0.9341,0.6537
-2.500,0.1512,0.00850,0.00424,-0.1151,0.9319,0.6612
-2.250,0.1827,0.00857,0.00429,-0.1158,0.9300,0.6689
-2.000,0.2110,0.00869,0.00444,-0.1157,0.9266,0.6743
-1.750,0.2397,0.00873,0.00445,-0.1158,0.9214,0.6807
-1.500,0.2695,0.00866,0.00438,-0.1159,0.9167,0.6845
-1.250,0.2977,0.00863,0.00435,-0.1155,0.9105,0.6879
-1.000,0.3253,0.00850,0.00418,-0.1149,0.9002,0.6923
-0.750,0.3533,0.00838,0.00399,-0.1144,0.8866,0.6978
-0.500,0.3795,0.00835,0.00397,-0.1136,0.8753,0.7007
-0.250,0.4072,0.00835,0.00395,-0.1131,0.8656,0.7040
0.000,0.4353,0.00836,0.00396,-0.1130,0.8555,0.7077
0.250,0.4657,0.00835,0.00391,-0.1134,0.8474,0.7120
0.500,0.4933,0.00836,0.00393,-0.1131,0.8364,0.7148
0.750,0.5202,0.00841,0.00400,-0.1127,0.8242,0.7173
1.000,0.5478,0.00846,0.00405,-0.1123,0.8106,0.7203
1.250,0.5758,0.00850,0.00407,-0.1122,0.7935,0.7235
1.500,0.6045,0.00856,0.00403,-0.1122,0.7701,0.7272
1.750,0.6311,0.00866,0.00404,-0.1117,0.7331,0.7297
2.000,0.6496,0.00922,0.00413,-0.1095,0.6216,0.7317
2.250,0.6629,0.01038,0.00458,-0.1066,0.4738,0.7341
2.500,0.6805,0.01136,0.00500,-0.1049,0.3555,0.7367
2.750,0.7007,0.01223,0.00538,-0.1037,0.2543,0.7398
3.000,0.7241,0.01291,0.00570,-0.1032,0.1874,0.7431
3.250,0.7483,0.01338,0.00597,-0.1027,0.1519,0.7454
3.500,0.7721,0.01378,0.00629,-0.1019,0.1327,0.7475
3.750,0.7968,0.01410,0.00659,-0.1012,0.1222,0.7499
4.000,0.8217,0.01444,0.00691,-0.1007,0.1145,0.7528
4.250,0.8475,0.01476,0.00720,-0.1004,0.1084,0.7557
4.500,0.8730,0.01518,0.00757,-0.1001,0.1021,0.7585
4.750,0.9000,0.01541,0.00782,-0.1001,0.0988,0.7607
5.000,0.9247,0.01568,0.00812,-0.0995,0.0953,0.7624
5.250,0.9483,0.01606,0.00851,-0.0987,0.0921,0.7642
5.500,0.9700,0.01666,0.00912,-0.0976,0.0886,0.7663
5.750,0.9950,0.01693,0.00945,-0.0971,0.0873,0.7687
6.000,1.0201,0.01725,0.00981,-0.0967,0.0856,0.7713
6.250,1.0454,0.01758,0.01017,-0.0963,0.0836,0.7737
6.500,1.0709,0.01795,0.01054,-0.0961,0.0816,0.7759
6.750,1.0942,0.01832,0.01094,-0.0954,0.0797,0.7775
7.000,1.1151,0.01895,0.01159,-0.0942,0.0774,0.7792
7.250,1.1365,0.01957,0.01226,-0.0931,0.0756,0.7810
7.500,1.1609,0.01979,0.01257,-0.0926,0.0742,0.7830
7.750,1.1851,0.02003,0.01287,-0.0920,0.0719,0.7850
8.000,1.2093,0.02026,0.01312,-0.0915,0.0693,0.7873
8.250,1.2319,0.02068,0.01351,-0.0908,0.0667,0.7896
8.500,1.2533,0.02132,0.01419,-0.0900,0.0643,0.7917
8.750,1.2763,0.02154,0.01450,-0.0892,0.0622,0.7934
9.000,1.2981,0.02177,0.01477,-0.0883,0.0598,0.7951
9.250,1.3179,0.02217,0.01516,-0.0870,0.0573,0.7969
9.500,1.3352,0.02278,0.01581,-0.0854,0.0549,0.7989
9.750,1.3545,0.02299,0.01611,-0.0840,0.0527,0.8010
10.000,1.3737,0.02330,0.01646,-0.0826,0.0505,0.8032
10.250,1.3920,0.02384,0.01700,-0.0813,0.0485,0.8052
10.500,1.4097,0.02452,0.01772,-0.0799,0.0467,0.8069
10.750,1.4299,0.02491,0.01821,-0.0789,0.0450,0.8085
11.000,1.4490,0.02533,0.01871,-0.0777,0.0431,0.8100
11.250,1.4671,0.02583,0.01924,-0.0764,0.0414,0.8118
11.500,1.4826,0.02656,0.02001,-0.0747,0.0397,0.8137
11.750,1.5001,0.02716,0.02072,-0.0734,0.0381,0.8157
12.000,1.5171,0.02779,0.02140,-0.0721,0.0364,0.8176
12.250,1.5316,0.02865,0.02225,-0.0706,0.0346,0.8195
12.500,1.5448,0.02963,0.02332,-0.0689,0.0330,0.8213
12.750,1.5598,0.03046,0.02427,-0.0675,0.0314,0.8229
13.000,1.5723,0.03142,0.02530,-0.0658,0.0299,0.8244
13.250,1.5798,0.03280,0.02673,-0.0636,0.0283,0.8260
13.500,1.5913,0.03389,0.02795,-0.0620,0.0271,0.8277
13.750,1.6013,0.03510,0.02927,-0.0603,0.0258,0.8296
14.000,1.6080,0.03662,0.03086,-0.0584,0.0246,0.8316
14.250,1.6074,0.03879,0.03309,-0.0560,0.0234,0.8337
14.500,1.6172,0.04016,0.03462,-0.0547,0.0224,0.8357
14.750,1.6238,0.04183,0.03642,-0.0532,0.0214,0.8374
15.000,1.6280,0.04370,0.03840,-0.0517,0.0205,0.8391
15.250,1.6285,0.04595,0.04075,-0.0501,0.0197,0.8407
15.500,1.6233,0.04884,0.04376,-0.0486,0.0191,0.8424
15.750,1.6240,0.05129,0.04637,-0.0475,0.0185,0.8444
16.000,1.6218,0.05414,0.04937,-0.0466,0.0180,0.8465
16.250,1.6179,0.05731,0.05267,-0.0460,0.0175,0.8486
16.500,1.6119,0.06097,0.05647,-0.0459,0.0171,0.8505
17.000,1.5898,0.07041,0.06620,-0.0474,0.0165,0.8537
17.250,1.5732,0.07649,0.07244,-0.0493,0.0163,0.8552
17.500,1.5518,0.08387,0.08000,-0.0525,0.0161,0.8566
17.750,1.5284,0.09213,0.08847,-0.0565,0.0161,0.8578
18.000,1.5003,0.10170,0.09825,-0.0617,0.0161,0.8589
18.250,1.4687,0.11229,0.10904,-0.0676,0.0161,0.8598
18.500,1.4341,0.12372,0.12068,-0.0741,0.0163,0.8605
18.750,1.3979,0.13559,0.13276,-0.0810,0.0164,0.8610
