Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-dsma523a-il-500000
Airfoil,dsma523a-il
Reynolds number,500000
Ncrit,9
Mach,0
Max Cl/Cd,47.398
Max Cl/Cd alpha,6.5
Url,http://airfoiltools.com/polar/csv?polar=xf-dsma523a-il-500000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-14.500,-0.8773,0.08955,0.08638,-0.0420,1.0000,0.0295
-14.250,-0.9328,0.07487,0.07147,-0.0519,1.0000,0.0292
-14.000,-0.9726,0.06568,0.06203,-0.0571,1.0000,0.0291
-13.750,-1.0058,0.05884,0.05496,-0.0596,1.0000,0.0290
-13.500,-1.0326,0.05352,0.04942,-0.0604,1.0000,0.0290
-13.250,-1.0548,0.04915,0.04483,-0.0601,1.0000,0.0290
-13.000,-1.0728,0.04555,0.04101,-0.0589,1.0000,0.0291
-12.750,-1.0872,0.04259,0.03785,-0.0572,1.0000,0.0292
-12.500,-1.0995,0.04019,0.03525,-0.0547,1.0000,0.0293
-12.250,-1.1126,0.03833,0.03324,-0.0512,1.0000,0.0294
-12.000,-1.1188,0.03648,0.03122,-0.0487,1.0000,0.0295
-11.750,-1.1180,0.03425,0.02879,-0.0473,1.0000,0.0297
-11.500,-1.1122,0.03204,0.02645,-0.0459,1.0000,0.0300
-11.250,-1.1007,0.03062,0.02497,-0.0449,1.0000,0.0303
-11.000,-1.0864,0.02945,0.02374,-0.0443,1.0000,0.0306
-10.750,-1.0699,0.02838,0.02262,-0.0439,1.0000,0.0309
-10.500,-1.0519,0.02736,0.02153,-0.0436,1.0000,0.0313
-10.250,-1.0331,0.02635,0.02042,-0.0432,1.0000,0.0318
-10.000,-1.0133,0.02535,0.01933,-0.0429,1.0000,0.0323
-9.750,-0.9927,0.02438,0.01826,-0.0426,1.0000,0.0328
-9.500,-0.9712,0.02346,0.01723,-0.0423,1.0000,0.0334
-9.250,-0.9487,0.02263,0.01628,-0.0420,1.0000,0.0339
-9.000,-0.9274,0.02155,0.01517,-0.0416,1.0000,0.0346
-8.750,-0.9030,0.02097,0.01460,-0.0417,1.0000,0.0353
-8.500,-0.8778,0.02049,0.01410,-0.0419,1.0000,0.0360
-8.250,-0.8525,0.01997,0.01354,-0.0421,1.0000,0.0369
-8.000,-0.8268,0.01942,0.01293,-0.0422,1.0000,0.0379
-7.750,-0.8009,0.01882,0.01228,-0.0424,1.0000,0.0389
-7.500,-0.7741,0.01846,0.01194,-0.0428,1.0000,0.0399
-7.250,-0.7468,0.01821,0.01169,-0.0432,1.0000,0.0411
-7.000,-0.7195,0.01789,0.01133,-0.0435,1.0000,0.0425
-6.750,-0.6921,0.01749,0.01087,-0.0438,1.0000,0.0440
-6.500,-0.6645,0.01722,0.01064,-0.0443,1.0000,0.0453
