Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-e549-il-500000
Airfoil,e549-il
Reynolds number,500000
Ncrit,9
Mach,0
Max Cl/Cd,96.0371
Max Cl/Cd alpha,8.25
Url,http://airfoiltools.com/polar/csv?polar=xf-e549-il-500000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-13.500,-0.3161,0.10827,0.10619,-0.0567,1.0000,0.0230
-13.250,-0.3263,0.10246,0.10039,-0.0587,1.0000,0.0232
-13.000,-0.6869,0.05557,0.05189,-0.0778,1.0000,0.0107
-12.750,-0.6801,0.05347,0.04981,-0.0771,1.0000,0.0103
-12.500,-0.6957,0.04976,0.04597,-0.0764,1.0000,0.0101
-12.250,-0.7122,0.04617,0.04221,-0.0752,1.0000,0.0099
-12.000,-0.7211,0.04367,0.03959,-0.0737,1.0000,0.0097
-11.750,-0.7349,0.04073,0.03646,-0.0714,1.0000,0.0095
-11.500,-0.7498,0.03808,0.03361,-0.0681,1.0000,0.0093
-11.250,-0.7414,0.03381,0.02888,-0.0689,0.9972,0.0088
-11.000,-0.7175,0.03104,0.02579,-0.0705,0.9927,0.0085
-10.750,-0.6912,0.02919,0.02377,-0.0721,0.9855,0.0085
-10.500,-0.6667,0.02767,0.02215,-0.0732,0.9733,0.0087
-10.250,-0.6386,0.02627,0.02064,-0.0747,0.9630,0.0087
-10.000,-0.6051,0.02491,0.01920,-0.0774,0.9551,0.0090
-9.750,-0.5664,0.02356,0.01776,-0.0812,0.9472,0.0094
-9.500,-0.5235,0.02223,0.01633,-0.0859,0.9386,0.0099
-9.250,-0.4804,0.02092,0.01491,-0.0909,0.9257,0.0103
-9.000,-0.4512,0.01952,0.01338,-0.0937,0.9045,0.0110
-8.750,-0.4330,0.01860,0.01235,-0.0938,0.8834,0.0118
-8.500,-0.4201,0.01784,0.01146,-0.0926,0.8654,0.0125
-8.250,-0.4082,0.01720,0.01070,-0.0909,0.8499,0.0135
-8.000,-0.4053,0.01627,0.00967,-0.0880,0.8350,0.0142
-7.750,-0.4015,0.01562,0.00895,-0.0848,0.8220,0.0153
-7.500,-0.3917,0.01517,0.00841,-0.0823,0.8109,0.0168
-7.250,-0.3792,0.01465,0.00783,-0.0802,0.8010,0.0203
-7.000,-0.3660,0.01409,0.00723,-0.0782,0.7907,0.0262
-6.750,-0.3524,0.01346,0.00663,-0.0763,0.7817,0.0394
-6.500,-0.3364,0.01288,0.00613,-0.0748,0.7729,0.0616
-6.250,-0.3198,0.01227,0.00567,-0.0735,0.7647,0.0954
-6.000,-0.3031,0.01159,0.00518,-0.0722,0.7566,0.1466
-5.750,-0.2888,0.01061,0.00457,-0.0709,0.7485,0.2358
-5.500,-0.2793,0.00904,0.00371,-0.0691,0.7407,0.4041
-5.250,-0.2572,0.00871,0.00371,-0.0683,0.7332,0.5109
-5.000,-0.2297,0.00883,0.00376,-0.0682,0.7261,0.5366
-4.750,-0.2018,0.00899,0.00383,-0.0681,0.7192,0.5523
-4.500,-0.1740,0.00912,0.00390,-0.0681,0.7119,0.5618
-4.250,-0.1459,0.00925,0.00389,-0.0681,0.7052,0.5701
-4.000,-0.1179,0.00938,0.00402,-0.0680,0.6979,0.5773
-3.750,-0.0898,0.00956,0.00404,-0.0681,0.6918,0.5846
-3.500,-0.0618,0.00970,0.00423,-0.0679,0.6848,0.5917
-3.250,-0.0340,0.01001,0.00445,-0.0677,0.6783,0.6023
-3.000,-0.0060,0.01023,0.00470,-0.0676,0.6718,0.6086
-2.750,0.0222,0.01022,0.00462,-0.0677,0.6652,0.6112
-2.500,0.0504,0.01021,0.00450,-0.0679,0.6594,0.6132
-2.250,0.0786,0.01017,0.00439,-0.0682,0.6528,0.6151
-2.000,0.1069,0.01017,0.00427,-0.0685,0.6470,0.6165
-1.750,0.1350,0.01008,0.00415,-0.0687,0.6411,0.6180
-1.500,0.1630,0.01003,0.00407,-0.0688,0.6348,0.6195
-1.250,0.1912,0.01004,0.00400,-0.0690,0.6292,0.6208
-1.000,0.2192,0.01000,0.00395,-0.0692,0.6229,0.6221
-0.750,0.2473,0.01000,0.00390,-0.0694,0.6172,0.6235
-0.500,0.2755,0.01002,0.00387,-0.0696,0.6119,0.6252
-0.250,0.3036,0.01001,0.00384,-0.0698,0.6061,0.6270
0.000,0.3318,0.01004,0.00379,-0.0701,0.6010,0.6286
0.250,0.3601,0.01005,0.00377,-0.0703,0.5960,0.6301
0.500,0.3882,0.01006,0.00375,-0.0706,0.5907,0.6316
0.750,0.4164,0.01009,0.00371,-0.0708,0.5859,0.6329
1.000,0.4444,0.01008,0.00370,-0.0710,0.5813,0.6344
1.250,0.4723,0.01007,0.00373,-0.0712,0.5765,0.6359
1.500,0.5001,0.01011,0.00375,-0.0714,0.5719,0.6376
1.750,0.5283,0.01019,0.00380,-0.0716,0.5676,0.6393
2.000,0.5560,0.01020,0.00384,-0.0718,0.5628,0.6410
2.250,0.5838,0.01024,0.00388,-0.0719,0.5583,0.6427
2.500,0.6119,0.01032,0.00392,-0.0722,0.5542,0.6445
2.750,0.6397,0.01038,0.00398,-0.0724,0.5498,0.6463
3.000,0.6673,0.01042,0.00404,-0.0725,0.5450,0.6479
3.250,0.6949,0.01046,0.00408,-0.0727,0.5408,0.6497
3.500,0.7228,0.01055,0.00416,-0.0729,0.5369,0.6515
3.750,0.7499,0.01058,0.00427,-0.0729,0.5328,0.6535
4.000,0.7772,0.01064,0.00438,-0.0730,0.5286,0.6556
4.250,0.8045,0.01073,0.00446,-0.0731,0.5243,0.6578
4.500,0.8313,0.01082,0.00457,-0.0731,0.5191,0.6600
4.750,0.8574,0.01085,0.00465,-0.0730,0.5128,0.6621
5.000,0.8842,0.01098,0.00473,-0.0730,0.5076,0.6642
5.250,0.9101,0.01100,0.00485,-0.0728,0.5021,0.6664
5.500,0.9357,0.01105,0.00495,-0.0726,0.4960,0.6686
5.750,0.9614,0.01117,0.00508,-0.0724,0.4901,0.6709
6.000,0.9866,0.01122,0.00522,-0.0721,0.4839,0.6737
6.250,1.0117,0.01134,0.00535,-0.0717,0.4776,0.6766
6.500,1.0367,0.01144,0.00550,-0.0714,0.4710,0.6795
6.750,1.0606,0.01152,0.00563,-0.0709,0.4636,0.6822
7.000,1.0843,0.01161,0.00580,-0.0703,0.4557,0.6850
7.250,1.1069,0.01175,0.00596,-0.0695,0.4471,0.6881
7.500,1.1299,0.01186,0.00615,-0.0688,0.4378,0.6914
7.750,1.1512,0.01204,0.00633,-0.0678,0.4276,0.6948
8.000,1.1710,0.01221,0.00654,-0.0666,0.4158,0.6982
8.250,1.1899,0.01239,0.00678,-0.0652,0.4020,0.7017
8.500,1.2050,0.01264,0.00703,-0.0630,0.3861,0.7057
8.750,1.2174,0.01296,0.00732,-0.0604,0.3676,0.7102
9.000,1.2281,0.01337,0.00771,-0.0576,0.3459,0.7145
9.250,1.2345,0.01396,0.00825,-0.0543,0.3186,0.7194
9.500,1.2374,0.01475,0.00891,-0.0505,0.2936,0.7249
9.750,1.2418,0.01553,0.00965,-0.0472,0.2766,0.7302
10.000,1.2475,0.01632,0.01043,-0.0442,0.2617,0.7363
10.250,1.2548,0.01711,0.01122,-0.0417,0.2465,0.7431
10.500,1.2613,0.01795,0.01208,-0.0391,0.2273,0.7502
10.750,1.2629,0.01910,0.01316,-0.0362,0.2063,0.7588
11.000,1.2638,0.02035,0.01440,-0.0334,0.1883,0.7683
11.250,1.2649,0.02168,0.01574,-0.0309,0.1727,0.7795
11.500,1.2654,0.02312,0.01719,-0.0285,0.1575,0.7936
11.750,1.2656,0.02462,0.01874,-0.0262,0.1435,0.8128
12.000,1.2650,0.02617,0.02036,-0.0239,0.1307,0.8427
12.250,1.2699,0.02768,0.02210,-0.0230,0.1181,1.0000
12.500,1.2712,0.02961,0.02398,-0.0217,0.1064,1.0000
