Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-e550-il-50000
Airfoil,e550-il
Reynolds number,50000
Ncrit,9
Mach,0
Max Cl/Cd,12.6368
Max Cl/Cd alpha,-2
Url,http://airfoiltools.com/polar/csv?polar=xf-e550-il-50000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-11.500,-0.4047,0.11223,0.10563,-0.0435,1.0000,0.1601
-11.250,-0.5195,0.09025,0.08370,-0.0617,1.0000,0.1134
-11.000,-0.5051,0.08583,0.07933,-0.0612,1.0000,0.1119
-10.750,-0.5150,0.08077,0.07431,-0.0621,1.0000,0.1094
-10.500,-0.5454,0.07549,0.06902,-0.0632,1.0000,0.1066
-10.250,-0.6096,0.07111,0.06451,-0.0620,1.0000,0.1017
-10.000,-0.6682,0.07002,0.06317,-0.0567,1.0000,0.0991
-9.750,-0.6704,0.06648,0.05965,-0.0548,1.0000,0.0981
-9.500,-0.6834,0.06380,0.05694,-0.0517,1.0000,0.0974
-9.250,-0.7008,0.06189,0.05499,-0.0476,1.0000,0.0969
-9.000,-0.7216,0.06070,0.05379,-0.0427,1.0000,0.0963
-8.750,-0.7442,0.05966,0.05268,-0.0379,1.0000,0.0961
-8.500,-0.7608,0.05825,0.05114,-0.0339,1.0000,0.0956
-8.250,-0.7725,0.05658,0.04929,-0.0306,1.0000,0.0955
-8.000,-0.7794,0.05470,0.04717,-0.0278,1.0000,0.0956
-7.750,-0.7774,0.05244,0.04455,-0.0262,0.9985,0.0964
-7.500,-0.7411,0.04885,0.04028,-0.0298,0.9871,0.0981
-7.250,-0.7007,0.04537,0.03641,-0.0329,0.9767,0.1011
-7.000,-0.6568,0.04293,0.03384,-0.0361,0.9664,0.1099
-6.750,-0.6045,0.04059,0.03146,-0.0393,0.9577,0.1236
-6.500,-0.5543,0.03888,0.02998,-0.0408,0.9487,0.1484
-6.250,-0.5156,0.03699,0.02854,-0.0417,0.9401,0.1940
