Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-e748-il-500000
Airfoil,e748-il
Reynolds number,500000
Ncrit,9
Mach,0
Max Cl/Cd,94.1688
Max Cl/Cd alpha,8
Url,http://airfoiltools.com/polar/csv?polar=xf-e748-il-500000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-18.000,-0.6030,0.12961,0.12658,-0.0514,1.0000,0.0199
-17.750,-0.6404,0.11824,0.11502,-0.0575,1.0000,0.0198
-17.500,-0.6694,0.10918,0.10579,-0.0622,1.0000,0.0197
-17.250,-0.6899,0.10213,0.09859,-0.0658,1.0000,0.0196
-17.000,-0.7092,0.09551,0.09183,-0.0692,1.0000,0.0196
-16.750,-0.7250,0.08974,0.08592,-0.0720,1.0000,0.0195
-16.500,-0.7366,0.08490,0.08096,-0.0741,1.0000,0.0195
-16.250,-0.7457,0.08060,0.07655,-0.0757,1.0000,0.0194
-16.000,-0.7549,0.07638,0.07220,-0.0775,1.0000,0.0195
-15.750,-0.7596,0.07296,0.06869,-0.0785,1.0000,0.0195
-15.500,-0.7663,0.06937,0.06498,-0.0797,1.0000,0.0196
-15.250,-0.7697,0.06638,0.06189,-0.0804,1.0000,0.0197
-15.000,-0.7719,0.06363,0.05907,-0.0808,1.0000,0.0197
-14.750,-0.7732,0.06110,0.05646,-0.0811,1.0000,0.0198
-14.500,-0.7758,0.05850,0.05377,-0.0815,1.0000,0.0199
-14.250,-0.7751,0.05643,0.05162,-0.0812,1.0000,0.0199
-14.000,-0.7723,0.05475,0.04990,-0.0802,1.0000,0.0200
-13.750,-0.7679,0.05339,0.04852,-0.0788,1.0000,0.0202
-13.500,-0.7650,0.05192,0.04703,-0.0777,1.0000,0.0203
-13.250,-0.7626,0.05053,0.04565,-0.0765,1.0000,0.0205
-13.000,-0.7621,0.04909,0.04420,-0.0752,1.0000,0.0206
-12.750,-0.7634,0.04765,0.04276,-0.0737,1.0000,0.0208
-12.500,-0.7487,0.04594,0.04103,-0.0754,0.9985,0.0211
-12.250,-0.7241,0.04411,0.03917,-0.0789,0.9956,0.0214
-12.000,-0.6980,0.04239,0.03741,-0.0826,0.9931,0.0217
-11.750,-0.6767,0.04055,0.03553,-0.0854,0.9890,0.0221
-11.500,-0.6519,0.03875,0.03369,-0.0889,0.9853,0.0225
-11.250,-0.6240,0.03699,0.03187,-0.0929,0.9827,0.0230
-11.000,-0.6043,0.03525,0.03008,-0.0952,0.9768,0.0233
-10.750,-0.5825,0.03323,0.02805,-0.0987,0.9719,0.0238
-10.500,-0.5712,0.03109,0.02592,-0.1005,0.9630,0.0244
