Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-eh1590-il-200000
Airfoil,eh1590-il
Reynolds number,200000
Ncrit,9
Mach,0
Max Cl/Cd,60.2498
Max Cl/Cd alpha,6.5
Url,http://airfoiltools.com/polar/csv?polar=xf-eh1590-il-200000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-7.250,-0.5896,0.06357,0.05967,-0.0182,1.0000,0.0531
-7.000,-0.5883,0.05581,0.05197,-0.0188,1.0000,0.0545
-6.750,-0.5756,0.05250,0.04868,-0.0183,1.0000,0.0558
-6.500,-0.5632,0.04947,0.04558,-0.0178,1.0000,0.0576
-5.750,-0.5283,0.03216,0.02681,-0.0129,1.0000,0.0361
-5.500,-0.5102,0.02727,0.02094,-0.0097,1.0000,0.0297
-5.250,-0.4896,0.02492,0.01825,-0.0082,1.0000,0.0295
-5.000,-0.4710,0.02124,0.01415,-0.0067,1.0000,0.0307
-4.750,-0.4496,0.01983,0.01268,-0.0057,1.0000,0.0336
-4.500,-0.4269,0.01817,0.01080,-0.0043,1.0000,0.0346
-4.250,-0.4047,0.01680,0.00930,-0.0029,1.0000,0.0361
-4.000,-0.3834,0.01568,0.00809,-0.0013,1.0000,0.0392
-3.750,-0.3653,0.01438,0.00678,0.0006,1.0000,0.0440
-3.500,-0.3478,0.01370,0.00613,0.0024,1.0000,0.0553
-3.250,-0.3250,0.01299,0.00551,0.0030,0.9973,0.0778
-3.000,-0.2811,0.01202,0.00478,-0.0008,0.9855,0.1295
-2.750,-0.2396,0.01091,0.00421,-0.0042,0.9725,0.2335
-2.500,-0.2146,0.00874,0.00393,-0.0043,0.9554,0.6531
-2.250,-0.1840,0.00847,0.00418,-0.0030,0.9366,0.8306
-2.000,-0.1484,0.00861,0.00425,-0.0030,0.9165,0.8865
-1.750,-0.1105,0.00884,0.00434,-0.0036,0.8942,0.9177
-1.500,-0.0698,0.00909,0.00439,-0.0049,0.8707,0.9382
-1.250,-0.0212,0.00933,0.00439,-0.0082,0.8458,0.9533
-1.000,0.0314,0.00952,0.00436,-0.0125,0.8199,0.9659
-0.750,0.1009,0.00968,0.00427,-0.0204,0.7934,0.9852
-0.500,0.1633,0.00953,0.00388,-0.0274,0.7660,1.0000
-0.250,0.1835,0.00952,0.00372,-0.0261,0.7423,1.0000
0.000,0.2041,0.00953,0.00357,-0.0249,0.7204,1.0000
0.250,0.2254,0.00955,0.00346,-0.0238,0.6997,1.0000
0.500,0.2469,0.00958,0.00336,-0.0227,0.6805,1.0000
0.750,0.2686,0.00962,0.00327,-0.0217,0.6630,1.0000
1.000,0.2908,0.00966,0.00323,-0.0208,0.6450,1.0000
1.250,0.3132,0.00971,0.00320,-0.0198,0.6282,1.0000
1.500,0.3358,0.00978,0.00318,-0.0189,0.6120,1.0000
1.750,0.3585,0.00986,0.00318,-0.0180,0.5967,1.0000
2.000,0.3813,0.00995,0.00320,-0.0171,0.5817,1.0000
2.250,0.4042,0.01005,0.00324,-0.0162,0.5670,1.0000
2.500,0.4271,0.01017,0.00333,-0.0153,0.5526,1.0000
2.750,0.4500,0.01030,0.00341,-0.0144,0.5386,1.0000
3.000,0.4731,0.01044,0.00351,-0.0136,0.5245,1.0000
3.250,0.4962,0.01058,0.00363,-0.0127,0.5106,1.0000
3.500,0.5194,0.01074,0.00377,-0.0118,0.4968,1.0000
3.750,0.5426,0.01091,0.00396,-0.0110,0.4830,1.0000
4.000,0.5658,0.01109,0.00413,-0.0101,0.4693,1.0000
4.250,0.5891,0.01128,0.00432,-0.0093,0.4554,1.0000
4.500,0.6125,0.01148,0.00453,-0.0084,0.4414,1.0000
4.750,0.6359,0.01169,0.00478,-0.0076,0.4272,1.0000
5.000,0.6593,0.01190,0.00502,-0.0067,0.4126,1.0000
5.250,0.6827,0.01211,0.00528,-0.0059,0.3969,1.0000
5.500,0.7061,0.01232,0.00556,-0.0051,0.3807,1.0000
5.750,0.7294,0.01254,0.00583,-0.0042,0.3635,1.0000
