Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-fx60100sm-il-500000
Airfoil,fx60100sm-il
Reynolds number,500000
Ncrit,9
Mach,0
Max Cl/Cd,112.743
Max Cl/Cd alpha,3.75
Url,http://airfoiltools.com/polar/csv?polar=xf-fx60100sm-il-500000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-10.000,-0.2921,0.09078,0.08861,-0.0408,1.0000,0.0194
-9.750,-0.2944,0.08665,0.08452,-0.0416,1.0000,0.0194
-9.500,-0.3080,0.08023,0.07814,-0.0422,1.0000,0.0199
-9.250,-0.3083,0.07816,0.07611,-0.0407,1.0000,0.0203
-9.000,-0.3142,0.07564,0.07362,-0.0393,1.0000,0.0205
-8.750,-0.3235,0.07362,0.07165,-0.0370,1.0000,0.0207
-8.500,-0.3246,0.07022,0.06827,-0.0376,0.9992,0.0210
-8.250,-0.3174,0.06498,0.06304,-0.0416,0.9970,0.0214
-8.000,-0.3108,0.05917,0.05723,-0.0465,0.9944,0.0218
-7.750,-0.3079,0.05279,0.05086,-0.0521,0.9901,0.0222
-7.500,-0.3081,0.04336,0.04144,-0.0621,0.9846,0.0225
-7.250,-0.3062,0.02778,0.02547,-0.0896,0.9757,0.0222
-7.000,-0.2807,0.02200,0.01935,-0.0984,0.9725,0.0234
-6.750,-0.2439,0.01981,0.01668,-0.1039,0.9703,0.0262
-5.750,-0.1512,0.01808,0.01311,-0.1164,0.9607,0.0178
-5.500,-0.1165,0.01545,0.01014,-0.1179,0.9578,0.0164
-5.250,-0.0823,0.01408,0.00862,-0.1193,0.9551,0.0167
-5.000,-0.0555,0.01316,0.00761,-0.1190,0.9483,0.0172
-4.750,-0.0248,0.01230,0.00667,-0.1195,0.9435,0.0179
-4.500,0.0047,0.01189,0.00619,-0.1197,0.9384,0.0191
-4.250,0.0325,0.01093,0.00516,-0.1198,0.9314,0.0202
-4.000,0.0624,0.01015,0.00431,-0.1202,0.9263,0.0218
-3.750,0.0900,0.00971,0.00382,-0.1201,0.9186,0.0242
-3.500,0.1191,0.00929,0.00328,-0.1201,0.9125,0.0276
-3.250,0.1474,0.00884,0.00281,-0.1201,0.9049,0.0406
-3.000,0.1769,0.00744,0.00233,-0.1214,0.8984,0.2995
-2.750,0.2046,0.00722,0.00228,-0.1214,0.8905,0.3675
-2.500,0.2327,0.00713,0.00220,-0.1212,0.8833,0.4007
-2.250,0.2604,0.00708,0.00217,-0.1210,0.8746,0.4277
-2.000,0.2884,0.00705,0.00213,-0.1207,0.8670,0.4527
-1.750,0.3162,0.00701,0.00208,-0.1205,0.8576,0.4665
-1.500,0.3442,0.00699,0.00201,-0.1203,0.8488,0.4789
-1.250,0.3722,0.00698,0.00196,-0.1201,0.8397,0.4919
-1.000,0.4000,0.00695,0.00193,-0.1199,0.8293,0.5040
-0.750,0.4279,0.00693,0.00190,-0.1197,0.8192,0.5158
-0.500,0.4558,0.00692,0.00187,-0.1195,0.8087,0.5276
-0.250,0.4836,0.00692,0.00185,-0.1193,0.7970,0.5393
0.000,0.5114,0.00693,0.00184,-0.1191,0.7845,0.5514
0.250,0.5391,0.00694,0.00184,-0.1189,0.7716,0.5634
0.500,0.5667,0.00696,0.00185,-0.1186,0.7581,0.5757
0.750,0.5942,0.00699,0.00187,-0.1184,0.7440,0.5885
1.000,0.6217,0.00703,0.00190,-0.1181,0.7291,0.6020
1.250,0.6490,0.00708,0.00194,-0.1179,0.7126,0.6160
1.500,0.6761,0.00715,0.00200,-0.1176,0.6952,0.6309
