Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-fx78k161-il-100000
Airfoil,fx78k161-il
Reynolds number,100000
Ncrit,9
Mach,0
Max Cl/Cd,23.2481
Max Cl/Cd alpha,10.5
Url,http://airfoiltools.com/polar/csv?polar=xf-fx78k161-il-100000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-13.250,-0.2622,0.13032,0.12533,-0.0726,0.9055,0.1060
-13.000,-0.2574,0.12693,0.12194,-0.0752,0.9042,0.1112
-12.750,-0.2840,0.12438,0.11949,-0.0820,0.9034,0.1148
-12.500,-0.2639,0.11899,0.11407,-0.0821,0.9019,0.1170
-12.250,-0.2385,0.11598,0.11100,-0.0816,0.9001,0.1232
-12.000,-0.2526,0.11277,0.10783,-0.0864,0.8988,0.1294
-11.750,-0.2419,0.10846,0.10353,-0.0872,0.8973,0.1337
-11.500,-0.2282,0.10559,0.10063,-0.0876,0.8957,0.1415
-11.250,-0.2713,0.10214,0.09735,-0.0951,0.8944,0.1462
-11.000,-0.2261,0.09843,0.09353,-0.0914,0.8928,0.1517
-10.750,-0.2271,0.09536,0.09049,-0.0935,0.8914,0.1596
-10.500,-0.2297,0.09154,0.08671,-0.0954,0.8901,0.1662
-10.250,-0.2232,0.08881,0.08398,-0.0961,0.8886,0.1744
-10.000,-0.2462,0.08432,0.07960,-0.0996,0.8874,0.1810
-9.750,-0.2236,0.08223,0.07745,-0.0983,0.8859,0.1875
-9.500,-0.3066,0.07795,0.07331,-0.1035,0.8846,0.1942
-9.250,-0.2408,0.07532,0.07062,-0.1012,0.8834,0.2023
-9.000,-0.3081,0.07235,0.06772,-0.1020,0.8819,0.2099
-8.750,-0.3805,0.07309,0.06836,-0.0959,0.8799,0.2112
-8.000,-0.4446,0.05426,0.04838,-0.0871,0.8779,0.1102
-7.750,-0.4752,0.05181,0.04535,-0.0788,0.8764,0.0968
-7.500,-0.4890,0.05065,0.04407,-0.0731,0.8758,0.0951
-7.250,-0.5213,0.05116,0.04457,-0.0641,0.8791,0.0947
-7.000,-0.5394,0.05018,0.04342,-0.0573,0.8818,0.0929
-6.750,-0.5896,0.05186,0.04524,-0.0455,0.8957,0.0946
-5.750,-0.7853,0.05344,0.04708,0.0037,1.0000,0.0979
-5.500,-0.7754,0.04990,0.04329,0.0057,1.0000,0.0958
-5.250,-0.7647,0.04556,0.03829,0.0084,1.0000,0.0888
-5.000,-0.7504,0.04357,0.03545,0.0114,1.0000,0.0855
-4.750,-0.7356,0.04101,0.03269,0.0126,1.0000,0.0871
-4.500,-0.7189,0.03942,0.03088,0.0139,1.0000,0.0880
-3.250,-0.5258,0.03639,0.02667,0.0016,0.9567,0.1020
-2.500,-0.4233,0.03583,0.02635,-0.0030,0.9167,0.1377
-2.250,-0.3964,0.03557,0.02633,-0.0031,0.9031,0.1711
-2.000,-0.3900,0.03352,0.02622,0.0006,0.8916,0.4554
-1.750,-0.3780,0.03650,0.03066,0.0113,0.8846,0.8940
-1.500,-0.0073,0.04412,0.03738,-0.0554,0.9225,1.0000
-1.250,0.0301,0.04459,0.03768,-0.0582,0.9032,1.0000
-1.000,0.0666,0.04524,0.03817,-0.0607,0.8866,1.0000
-0.750,0.1006,0.04591,0.03869,-0.0626,0.8709,1.0000
-0.500,0.1291,0.04657,0.03923,-0.0634,0.8560,1.0000
-0.250,0.1488,0.04714,0.03971,-0.0627,0.8416,1.0000
0.000,0.1615,0.04768,0.04018,-0.0609,0.8282,1.0000
0.250,0.1727,0.04834,0.04077,-0.0590,0.8173,1.0000
0.750,0.2135,0.05008,0.04237,-0.0583,0.8017,1.0000
1.000,0.2094,0.05053,0.04279,-0.0542,0.7926,1.0000
1.250,0.2113,0.05127,0.04349,-0.0512,0.7862,1.0000
1.500,0.2376,0.05221,0.04438,-0.0516,0.7789,1.0000
1.750,0.2289,0.05260,0.04475,-0.0469,0.7698,1.0000
2.000,0.2634,0.05386,0.04597,-0.0485,0.7646,1.0000
2.250,0.2502,0.05408,0.04617,-0.0433,0.7550,1.0000
2.500,0.3005,0.05577,0.04783,-0.0470,0.7494,1.0000
2.750,0.2799,0.05553,0.04757,-0.0407,0.7388,1.0000
3.000,0.3413,0.05462,0.04659,-0.0432,0.7089,1.0000
3.250,0.3498,0.05465,0.04661,-0.0404,0.6957,1.0000
3.500,0.3607,0.05507,0.04702,-0.0383,0.6863,1.0000
3.750,0.3797,0.05552,0.04747,-0.0373,0.6798,1.0000
4.000,0.3850,0.05593,0.04788,-0.0345,0.6703,1.0000
4.250,0.4115,0.05628,0.04824,-0.0343,0.6645,1.0000
4.500,0.4052,0.05705,0.04902,-0.0305,0.6566,1.0000
4.750,0.4223,0.05760,0.04960,-0.0294,0.6511,1.0000
5.000,0.4259,0.05824,0.05025,-0.0267,0.6435,1.0000
5.250,0.4400,0.05868,0.05071,-0.0251,0.6367,1.0000
5.500,0.4517,0.05916,0.05121,-0.0231,0.6290,1.0000
5.750,0.4599,0.05966,0.05175,-0.0209,0.6215,1.0000
6.000,0.5034,0.05964,0.05180,-0.0221,0.6176,1.0000
6.250,0.4790,0.06065,0.05281,-0.0166,0.6067,1.0000
6.500,0.5144,0.06070,0.05294,-0.0170,0.6027,1.0000
6.750,0.4919,0.06193,0.05418,-0.0120,0.5928,1.0000
7.000,0.5255,0.06183,0.05416,-0.0119,0.5880,1.0000
7.250,0.5113,0.06280,0.05515,-0.0076,0.5773,1.0000
7.500,0.5436,0.06263,0.05506,-0.0074,0.5724,1.0000
7.750,0.5345,0.06358,0.05603,-0.0038,0.5615,1.0000
8.000,0.5700,0.06312,0.05569,-0.0037,0.5561,1.0000
8.250,0.5642,0.06439,0.05700,-0.0009,0.5456,1.0000
8.500,0.5959,0.06410,0.05681,-0.0007,0.5405,1.0000
8.750,0.5964,0.06525,0.05802,0.0014,0.5295,1.0000
9.000,0.6375,0.06415,0.05708,0.0014,0.5247,1.0000
9.250,0.6398,0.06523,0.05824,0.0032,0.5122,1.0000
9.500,0.6870,0.06344,0.05665,0.0031,0.5083,1.0000
9.750,0.6878,0.06473,0.05801,0.0048,0.4948,1.0000
10.000,0.7288,0.06288,0.05637,0.0054,0.4887,1.0000
10.250,0.8903,0.04066,0.03458,0.0094,0.4550,1.0000
10.500,0.9090,0.03910,0.03307,0.0120,0.4158,1.0000
10.750,0.9026,0.03907,0.03183,0.0171,0.2536,1.0000
11.000,0.8826,0.04236,0.03450,0.0198,0.1759,1.0000
