Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-fxs21158-il-200000
Airfoil,fxs21158-il
Reynolds number,200000
Ncrit,9
Mach,0
Max Cl/Cd,76.7574
Max Cl/Cd alpha,9
Url,http://airfoiltools.com/polar/csv?polar=xf-fxs21158-il-200000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-11.500,-0.3452,0.11767,0.11447,-0.0359,1.0000,0.0425
-11.250,-0.3484,0.11260,0.10945,-0.0396,1.0000,0.0428
-11.000,-0.3506,0.10730,0.10421,-0.0428,1.0000,0.0429
-10.750,-0.3521,0.10161,0.09858,-0.0428,1.0000,0.0439
-10.500,-0.3337,0.10139,0.09838,-0.0395,1.0000,0.0464
-10.250,-0.3311,0.09781,0.09486,-0.0407,1.0000,0.0488
-10.000,-0.2244,0.07446,0.07130,-0.0662,0.8070,0.0684
-9.750,-0.2439,0.06593,0.06270,-0.0717,0.7867,0.0682
-9.500,-0.2556,0.05993,0.05657,-0.0747,0.7634,0.0686
-9.250,-0.2352,0.06127,0.05772,-0.0710,0.7296,0.0819
-9.000,-0.3754,0.05236,0.04872,-0.0912,0.8123,0.0393
-8.750,-0.3983,0.04628,0.04210,-0.0929,0.7776,0.0365
-8.500,-0.4027,0.04227,0.03759,-0.0929,0.7506,0.0373
-8.250,-0.3984,0.03923,0.03400,-0.0925,0.7291,0.0403
-8.000,-0.3930,0.03630,0.03037,-0.0923,0.7118,0.0446
-7.000,-0.3143,0.02993,0.02260,-0.0913,0.6603,0.0555
-6.750,-0.2903,0.02824,0.02058,-0.0909,0.6510,0.0554
-6.500,-0.2639,0.02745,0.01954,-0.0905,0.6416,0.0544
-6.250,-0.2392,0.02507,0.01696,-0.0902,0.6350,0.0537
-6.000,-0.2135,0.02352,0.01522,-0.0899,0.6274,0.0533
-5.750,-0.1874,0.02235,0.01383,-0.0895,0.6215,0.0533
-5.500,-0.1612,0.02134,0.01271,-0.0892,0.6148,0.0535
-5.250,-0.1351,0.02051,0.01175,-0.0888,0.6090,0.0538
-5.000,-0.1089,0.01985,0.01098,-0.0884,0.6035,0.0544
-4.750,-0.0847,0.01875,0.00994,-0.0880,0.5979,0.0562
-4.500,-0.0592,0.01808,0.00924,-0.0878,0.5935,0.0580
-4.250,-0.0333,0.01752,0.00864,-0.0877,0.5889,0.0593
-4.000,-0.0067,0.01699,0.00807,-0.0877,0.5842,0.0613
-3.750,0.0206,0.01655,0.00751,-0.0879,0.5802,0.0646
-3.500,0.0481,0.01599,0.00684,-0.0882,0.5767,0.0716
-3.250,0.0719,0.01387,0.00617,-0.0895,0.5729,0.4094
-3.000,0.1002,0.01457,0.00677,-0.0890,0.5692,0.4856
-2.750,0.1280,0.01502,0.00714,-0.0886,0.5660,0.5060
-2.500,0.1559,0.01540,0.00740,-0.0883,0.5633,0.5199
-2.250,0.1828,0.01591,0.00794,-0.0877,0.5599,0.5408
-2.000,0.2092,0.01635,0.00842,-0.0869,0.5567,0.5574
-1.750,0.2362,0.01662,0.00869,-0.0864,0.5538,0.5681
-1.500,0.2643,0.01670,0.00867,-0.0864,0.5512,0.5738
-1.250,0.2927,0.01682,0.00867,-0.0866,0.5490,0.5776
-1.000,0.3208,0.01686,0.00870,-0.0868,0.5461,0.5817
-0.750,0.3495,0.01692,0.00868,-0.0872,0.5433,0.5860
-0.500,0.3773,0.01695,0.00870,-0.0873,0.5406,0.5888
-0.250,0.4054,0.01704,0.00875,-0.0874,0.5383,0.5925
0.000,0.4341,0.01716,0.00878,-0.0877,0.5361,0.5972
0.250,0.4623,0.01731,0.00887,-0.0879,0.5336,0.6020
0.500,0.4890,0.01740,0.00904,-0.0878,0.5301,0.6066
0.750,0.5169,0.01750,0.00913,-0.0880,0.5269,0.6111
1.000,0.5457,0.01758,0.00912,-0.0884,0.5240,0.6146
1.250,0.5741,0.01764,0.00914,-0.0886,0.5216,0.6168
1.500,0.6019,0.01778,0.00928,-0.0888,0.5189,0.6190
1.750,0.6290,0.01788,0.00945,-0.0889,0.5155,0.6214
2.000,0.6568,0.01798,0.00956,-0.0891,0.5123,0.6244
2.250,0.6852,0.01808,0.00963,-0.0894,0.5095,0.6277
2.500,0.7138,0.01821,0.00970,-0.0897,0.5073,0.6305
2.750,0.7417,0.01841,0.00993,-0.0899,0.5053,0.6330
3.000,0.7679,0.01861,0.01026,-0.0899,0.5023,0.6359
3.250,0.7949,0.01879,0.01051,-0.0900,0.4993,0.6392
3.500,0.8228,0.01896,0.01070,-0.0903,0.4966,0.6432
3.750,0.8508,0.01905,0.01081,-0.0904,0.4941,0.6467
4.000,0.8793,0.01921,0.01096,-0.0907,0.4919,0.6504
4.250,0.9046,0.01947,0.01136,-0.0906,0.4885,0.6544
4.500,0.9313,0.01958,0.01155,-0.0906,0.4841,0.6589
4.750,0.9595,0.01942,0.01140,-0.0906,0.4798,0.6631
5.000,0.9868,0.01942,0.01141,-0.0906,0.4751,0.6686
5.250,1.0125,0.01939,0.01149,-0.0903,0.4691,0.6745
5.500,1.0406,0.01926,0.01141,-0.0903,0.4650,0.6802
5.750,1.0691,0.01941,0.01156,-0.0906,0.4623,0.6873
6.000,1.0923,0.01961,0.01202,-0.0901,0.4583,0.6941
6.500,1.1447,0.01980,0.01248,-0.0899,0.4518,0.7127
6.750,1.1726,0.01982,0.01260,-0.0899,0.4492,0.7253
7.000,1.1950,0.01977,0.01280,-0.0891,0.4428,0.7419
7.250,1.2211,0.01882,0.01191,-0.0883,0.4318,0.7675
7.750,1.2677,0.01774,0.01133,-0.0864,0.4122,1.0000
8.000,1.2945,0.01768,0.01127,-0.0864,0.4057,1.0000
8.250,1.3168,0.01766,0.01138,-0.0856,0.3931,1.0000
8.500,1.3395,0.01770,0.01153,-0.0849,0.3793,1.0000
8.750,1.3621,0.01783,0.01175,-0.0842,0.3657,1.0000
9.000,1.3824,0.01801,0.01192,-0.0831,0.3471,1.0000
9.250,1.3901,0.01876,0.01237,-0.0804,0.2881,1.0000
9.500,1.3794,0.02068,0.01386,-0.0756,0.2249,1.0000
9.750,1.3574,0.02292,0.01582,-0.0696,0.1775,1.0000
10.000,1.3397,0.02523,0.01801,-0.0651,0.1413,1.0000
10.250,1.3178,0.02843,0.02111,-0.0619,0.1230,1.0000
10.500,1.2984,0.03224,0.02486,-0.0604,0.0964,1.0000
10.750,1.2834,0.03616,0.02875,-0.0597,0.0861,1.0000
11.250,1.2560,0.04436,0.03692,-0.0591,0.0547,1.0000
11.500,1.2482,0.04798,0.04060,-0.0590,0.0425,1.0000
11.750,1.2340,0.05234,0.04493,-0.0590,0.0351,1.0000
12.000,1.2220,0.05654,0.04920,-0.0590,0.0286,1.0000
12.250,1.2049,0.06150,0.05422,-0.0592,0.0236,1.0000
12.500,1.2031,0.06486,0.05770,-0.0594,0.0203,1.0000
12.750,1.1994,0.06854,0.06146,-0.0598,0.0179,1.0000
13.000,1.1939,0.07251,0.06550,-0.0603,0.0165,1.0000
13.250,1.1920,0.07614,0.06922,-0.0608,0.0154,1.0000
13.500,1.1921,0.07956,0.07274,-0.0614,0.0146,1.0000
13.750,1.1939,0.08279,0.07603,-0.0619,0.0134,1.0000
14.000,1.1956,0.08604,0.07933,-0.0626,0.0124,1.0000
14.250,1.1946,0.08973,0.08307,-0.0634,0.0116,1.0000
14.500,1.1925,0.09357,0.08698,-0.0641,0.0112,1.0000
