Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-giiib-il-50000
Airfoil,giiib-il
Reynolds number,50000
Ncrit,9
Mach,0
Max Cl/Cd,28.5828
Max Cl/Cd alpha,5.25
Url,http://airfoiltools.com/polar/csv?polar=xf-giiib-il-50000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-8.000,-0.5573,0.09199,0.08549,0.0182,1.0000,0.4080
-7.750,-0.6851,0.06943,0.06246,-0.0174,1.0000,0.1620
-7.500,-0.6733,0.06281,0.05571,-0.0175,1.0000,0.1448
-7.250,-0.6778,0.05734,0.04967,-0.0163,1.0000,0.1322
-7.000,-0.6686,0.05309,0.04521,-0.0149,1.0000,0.1297
-6.750,-0.6613,0.04884,0.04056,-0.0129,1.0000,0.1255
-6.500,-0.6578,0.04503,0.03575,-0.0095,1.0000,0.1198
-6.250,-0.6435,0.04164,0.03187,-0.0073,1.0000,0.1195
-6.000,-0.6255,0.03855,0.02880,-0.0059,1.0000,0.1239
-5.750,-0.6090,0.03617,0.02604,-0.0038,1.0000,0.1301
-5.500,-0.5901,0.03355,0.02289,-0.0017,1.0000,0.1345
-5.250,-0.5678,0.03127,0.02053,-0.0005,1.0000,0.1439
-5.000,-0.5459,0.02930,0.01840,0.0010,1.0000,0.1588
-4.750,-0.5199,0.02722,0.01624,0.0019,1.0000,0.1788
-4.500,-0.4919,0.02520,0.01439,0.0026,1.0000,0.2139
-4.250,-0.4650,0.02294,0.01258,0.0033,1.0000,0.2830
-4.000,-0.4545,0.01997,0.01099,0.0066,1.0000,0.4252
-3.750,-0.1336,0.02310,0.01354,-0.0279,1.0000,1.0000
-3.500,-0.1160,0.02248,0.01273,-0.0277,1.0000,1.0000
-3.250,-0.0984,0.02193,0.01203,-0.0274,1.0000,1.0000
-3.000,-0.0810,0.02146,0.01141,-0.0270,1.0000,1.0000
-2.750,-0.0641,0.02104,0.01085,-0.0263,1.0000,1.0000
-2.500,-0.0478,0.02069,0.01040,-0.0255,1.0000,1.0000
-2.250,-0.0328,0.02039,0.01002,-0.0245,1.0000,1.0000
-2.000,-0.0197,0.02015,0.00973,-0.0231,1.0000,1.0000
-1.750,-0.0094,0.01999,0.00952,-0.0211,1.0000,1.0000
-1.500,-0.0029,0.01991,0.00941,-0.0185,1.0000,1.0000
-1.250,0.0001,0.01990,0.00938,-0.0154,1.0000,1.0000
-1.000,0.0003,0.01996,0.00941,-0.0117,1.0000,1.0000
-0.750,-0.0012,0.02006,0.00948,-0.0078,1.0000,1.0000
-0.500,-0.0032,0.02019,0.00958,-0.0039,1.0000,1.0000
-0.250,-0.0050,0.02036,0.00972,-0.0001,1.0000,1.0000
0.000,-0.0061,0.02056,0.00988,0.0036,1.0000,1.0000
0.250,-0.0058,0.02081,0.01007,0.0070,1.0000,1.0000
0.500,-0.0039,0.02109,0.01031,0.0100,1.0000,1.0000
0.750,-0.0003,0.02142,0.01059,0.0127,1.0000,1.0000
1.000,0.0050,0.02180,0.01093,0.0150,1.0000,1.0000
1.250,0.0119,0.02223,0.01132,0.0170,1.0000,1.0000
1.500,0.0206,0.02272,0.01178,0.0186,1.0000,1.0000
1.750,0.0307,0.02326,0.01230,0.0199,1.0000,1.0000
2.000,0.0859,0.02438,0.01348,0.0126,0.9847,1.0000
2.250,0.1720,0.02554,0.01481,0.0002,0.9560,1.0000
2.500,0.2598,0.02615,0.01566,-0.0114,0.9246,1.0000
2.750,0.3448,0.02631,0.01614,-0.0216,0.8962,1.0000
3.000,0.4237,0.02601,0.01617,-0.0298,0.8678,1.0000
3.250,0.4801,0.02557,0.01604,-0.0332,0.8386,1.0000
3.500,0.5171,0.02521,0.01590,-0.0329,0.8068,1.0000
3.750,0.5482,0.02474,0.01562,-0.0311,0.7727,1.0000
4.000,0.5780,0.02398,0.01503,-0.0283,0.7362,1.0000
4.250,0.6017,0.02330,0.01441,-0.0244,0.6938,1.0000
4.500,0.6216,0.02293,0.01402,-0.0202,0.6429,1.0000
4.750,0.6425,0.02288,0.01380,-0.0166,0.5912,1.0000
5.000,0.6622,0.02333,0.01414,-0.0138,0.5438,1.0000
5.250,0.6837,0.02392,0.01457,-0.0116,0.5071,1.0000
5.500,0.7045,0.02475,0.01538,-0.0099,0.4766,1.0000
5.750,0.7255,0.02561,0.01627,-0.0083,0.4508,1.0000
6.000,0.7457,0.02661,0.01739,-0.0068,0.4278,1.0000
6.250,0.7675,0.02747,0.01826,-0.0052,0.4056,1.0000
6.500,0.7861,0.02814,0.01890,-0.0031,0.3775,1.0000
6.750,0.7996,0.02860,0.01938,-0.0003,0.3414,1.0000
7.000,0.8132,0.02918,0.01979,0.0025,0.3021,1.0000
7.250,0.8233,0.03032,0.02071,0.0057,0.2524,1.0000
7.500,0.8294,0.03222,0.02225,0.0095,0.1931,1.0000
7.750,0.8389,0.03423,0.02422,0.0125,0.1554,1.0000
8.000,0.8548,0.03632,0.02620,0.0146,0.1341,1.0000
8.250,0.8697,0.03849,0.02854,0.0167,0.1197,1.0000
8.500,0.8873,0.04070,0.03070,0.0181,0.1092,1.0000
8.750,0.8970,0.04430,0.03499,0.0206,0.1050,1.0000
9.000,0.9059,0.04765,0.03874,0.0227,0.1010,1.0000
9.250,0.9201,0.05051,0.04154,0.0240,0.0960,1.0000
9.500,0.9160,0.05450,0.04611,0.0266,0.0946,1.0000
9.750,0.9086,0.05873,0.05079,0.0289,0.0939,1.0000
10.000,0.8974,0.06313,0.05553,0.0308,0.0938,1.0000
10.250,0.8830,0.06764,0.06028,0.0323,0.0943,1.0000
10.500,0.8655,0.07209,0.06490,0.0335,0.0950,1.0000
10.750,0.8479,0.07670,0.06960,0.0339,0.0957,1.0000
11.000,0.8346,0.08177,0.07472,0.0333,0.0963,1.0000
11.250,0.7567,0.09627,0.08932,0.0218,0.1084,1.0000
