Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-goe16k-il-1000000
Airfoil,goe16k-il
Reynolds number,1000000
Ncrit,9
Mach,0
Max Cl/Cd,80.1709
Max Cl/Cd alpha,3.5
Url,http://airfoiltools.com/polar/csv?polar=xf-goe16k-il-1000000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-19.750,-0.7470,0.07578,0.07252,-0.1670,0.9560,0.0246
-19.500,-0.7731,0.06890,0.06550,-0.1713,0.9557,0.0245
-19.250,-0.7902,0.06312,0.05960,-0.1752,0.9553,0.0246
-19.000,-0.8113,0.06001,0.05641,-0.1728,0.9499,0.0251
-18.750,-0.8385,0.05357,0.04983,-0.1762,0.9482,0.0250
-18.500,-0.8378,0.04998,0.04614,-0.1788,0.9472,0.0254
-18.250,-0.8530,0.04454,0.04057,-0.1825,0.9462,0.0261
-18.000,-0.8509,0.04129,0.03725,-0.1850,0.9455,0.0267
-17.750,-0.8490,0.03827,0.03413,-0.1870,0.9449,0.0269
-17.500,-0.8381,0.03626,0.03205,-0.1886,0.9444,0.0281
-17.250,-0.8285,0.03430,0.03001,-0.1899,0.9439,0.0284
-17.000,-0.8470,0.03252,0.02814,-0.1852,0.9375,0.0285
-16.750,-0.8365,0.03120,0.02673,-0.1850,0.9358,0.0290
-16.500,-0.8325,0.02939,0.02483,-0.1844,0.9346,0.0292
-16.250,-0.8218,0.02806,0.02344,-0.1842,0.9336,0.0301
-16.000,-0.8082,0.02691,0.02228,-0.1840,0.9329,0.0311
-15.750,-0.7889,0.02615,0.02147,-0.1843,0.9323,0.0319
-15.500,-0.7683,0.02545,0.02073,-0.1846,0.9317,0.0326
-15.250,-0.7739,0.02471,0.01992,-0.1798,0.9258,0.0330
-15.000,-0.7590,0.02404,0.01917,-0.1787,0.9236,0.0336
-14.750,-0.7447,0.02318,0.01824,-0.1779,0.9220,0.0343
-14.500,-0.7312,0.02224,0.01727,-0.1769,0.9207,0.0351
-14.250,-0.7106,0.02150,0.01649,-0.1770,0.9198,0.0358
-14.000,-0.6851,0.02097,0.01592,-0.1778,0.9189,0.0366
-13.750,-0.6611,0.02027,0.01516,-0.1785,0.9180,0.0372
-13.500,-0.6520,0.02030,0.01516,-0.1752,0.9117,0.0382
-13.250,-0.6303,0.01986,0.01465,-0.1749,0.9093,0.0388
-13.000,-0.6071,0.01921,0.01390,-0.1752,0.9076,0.0392
-12.750,-0.5861,0.01831,0.01294,-0.1755,0.9060,0.0400
-12.500,-0.5555,0.01781,0.01243,-0.1772,0.9048,0.0411
-12.250,-0.5369,0.01766,0.01226,-0.1760,0.9010,0.0421
-12.000,-0.5245,0.01738,0.01193,-0.1735,0.8965,0.0427
-11.750,-0.4982,0.01699,0.01148,-0.1742,0.8944,0.0436
-11.500,-0.4697,0.01656,0.01098,-0.1752,0.8924,0.0442
-11.250,-0.4363,0.01637,0.01072,-0.1771,0.8907,0.0448
-11.000,-0.4155,0.01585,0.01014,-0.1766,0.8881,0.0453
-10.750,-0.4177,0.01546,0.00973,-0.1710,0.8831,0.0466
-10.500,-0.3991,0.01515,0.00939,-0.1697,0.8802,0.0474
-10.250,-0.3742,0.01483,0.00904,-0.1699,0.8781,0.0482
-10.000,-0.3435,0.01464,0.00881,-0.1711,0.8763,0.0494
-9.750,-0.3123,0.01429,0.00840,-0.1726,0.8746,0.0501
-9.500,-0.3052,0.01411,0.00818,-0.1686,0.8715,0.0505
-9.250,-0.2922,0.01404,0.00808,-0.1658,0.8687,0.0512
-9.000,-0.2750,0.01391,0.00792,-0.1639,0.8662,0.0516
-8.750,-0.2592,0.01344,0.00740,-0.1620,0.8640,0.0524
-8.500,-0.2363,0.01307,0.00700,-0.1616,0.8621,0.0538
-8.250,-0.2085,0.01274,0.00664,-0.1622,0.8605,0.0549
-8.000,-0.1746,0.01257,0.00645,-0.1641,0.8591,0.0564
-7.750,-0.1602,0.01240,0.00626,-0.1616,0.8573,0.0567
-7.500,-0.1527,0.01227,0.00610,-0.1574,0.8551,0.0573
-7.250,-0.1368,0.01217,0.00598,-0.1551,0.8533,0.0583
-7.000,-0.1176,0.01205,0.00584,-0.1536,0.8515,0.0589
-6.750,-0.0966,0.01192,0.00568,-0.1525,0.8500,0.0592
-6.500,-0.0761,0.01165,0.00538,-0.1512,0.8485,0.0612
-6.250,-0.0523,0.01145,0.00518,-0.1508,0.8473,0.0629
-6.000,-0.0247,0.01129,0.00501,-0.1512,0.8461,0.0644
-5.750,0.0056,0.01113,0.00483,-0.1521,0.8451,0.0663
-5.500,0.0381,0.01101,0.00468,-0.1536,0.8441,0.0677
-5.250,0.0730,0.01084,0.00451,-0.1557,0.8431,0.0705
-5.000,0.0896,0.01075,0.00445,-0.1535,0.8419,0.0742
-4.750,0.0937,0.01072,0.00444,-0.1483,0.8401,0.0766
-4.500,0.1062,0.01063,0.00439,-0.1452,0.8385,0.0846
-4.250,0.1231,0.01037,0.00430,-0.1431,0.8370,0.1195
-4.000,0.1428,0.01005,0.00425,-0.1418,0.8357,0.1807
-3.750,0.1649,0.00994,0.00422,-0.1410,0.8346,0.2050
-3.500,0.1887,0.00982,0.00419,-0.1404,0.8335,0.2300
-3.250,0.2138,0.00973,0.00416,-0.1401,0.8325,0.2486
-3.000,0.2396,0.00963,0.00414,-0.1401,0.8316,0.2697
-2.750,0.2665,0.00954,0.00412,-0.1402,0.8307,0.2932
-2.500,0.2936,0.00946,0.00412,-0.1404,0.8298,0.3200
-2.250,0.3217,0.00937,0.00413,-0.1409,0.8289,0.3462
-2.000,0.3539,0.00931,0.00414,-0.1423,0.8278,0.3711
-1.750,0.3891,0.00926,0.00417,-0.1445,0.8267,0.3975
-1.500,0.3697,0.00937,0.00433,-0.1337,0.8237,0.4069
-1.250,0.3700,0.00938,0.00442,-0.1276,0.8207,0.4259
-1.000,0.3852,0.00934,0.00446,-0.1250,0.8189,0.4519
-0.750,0.4071,0.00914,0.00439,-0.1240,0.8167,0.4950
-0.500,0.4227,0.00878,0.00435,-0.1216,0.8151,0.5912
-0.250,0.5146,0.00872,0.00531,-0.1364,0.8156,0.8733
0.000,0.5581,0.00899,0.00558,-0.1400,0.8145,0.8895
0.250,0.5878,0.00925,0.00583,-0.1404,0.8130,0.9033
0.500,0.6260,0.00945,0.00600,-0.1429,0.8112,0.9091
0.750,0.6496,0.00967,0.00623,-0.1421,0.8098,0.9153
1.000,0.6710,0.01007,0.00665,-0.1406,0.8084,0.9183
1.250,0.6592,0.01044,0.00706,-0.1316,0.8055,0.9279
1.500,0.6948,0.01072,0.00734,-0.1336,0.8041,0.9292
1.750,0.7304,0.01090,0.00753,-0.1355,0.8020,0.9307
2.000,0.7721,0.01106,0.00768,-0.1387,0.8000,0.9327
2.250,0.8118,0.01106,0.00766,-0.1415,0.7972,0.9345
2.500,0.8536,0.01107,0.00765,-0.1450,0.7947,0.9364
2.750,0.8596,0.01149,0.00811,-0.1401,0.7912,0.9420
3.000,0.8786,0.01170,0.00835,-0.1381,0.7865,0.9440
3.250,0.9060,0.01174,0.00839,-0.1382,0.7825,0.9458
3.500,0.9380,0.01170,0.00831,-0.1393,0.7769,0.9477
3.750,0.9286,0.01220,0.00886,-0.1311,0.7704,0.9537
4.000,0.9585,0.01224,0.00888,-0.1317,0.7625,0.9552
4.250,0.9671,0.01261,0.00929,-0.1277,0.7560,0.9581
4.500,0.9712,0.01309,0.00980,-0.1227,0.7515,0.9639
4.750,0.9982,0.01316,0.00986,-0.1228,0.7430,0.9650
5.000,1.0198,0.01341,0.01015,-0.1219,0.7345,0.9668
5.250,1.0389,0.01373,0.01047,-0.1203,0.7232,0.9699
5.500,1.0536,0.01436,0.01108,-0.1179,0.7035,0.9758
5.750,1.0586,0.01514,0.01168,-0.1135,0.6624,0.9798
6.000,1.0408,0.01666,0.01298,-0.1045,0.6195,0.9855
6.250,1.0216,0.01838,0.01436,-0.0962,0.5490,0.9894
6.500,1.0269,0.01927,0.01517,-0.0924,0.5209,0.9922
6.750,0.9876,0.02176,0.01732,-0.0800,0.4549,0.9934
7.000,0.9737,0.02337,0.01873,-0.0725,0.4179,0.9939
7.250,0.9873,0.02358,0.01888,-0.0707,0.4011,0.9942
7.500,0.9992,0.02403,0.01925,-0.0686,0.3790,0.9947
7.750,1.0130,0.02449,0.01964,-0.0667,0.3593,0.9952
8.000,1.0227,0.02516,0.02019,-0.0643,0.3315,0.9957
8.250,1.0183,0.02652,0.02119,-0.0596,0.2670,0.9965
8.500,1.0299,0.02714,0.02171,-0.0574,0.2435,0.9970
8.750,1.0401,0.02784,0.02230,-0.0551,0.2202,0.9975
9.000,1.0447,0.02883,0.02309,-0.0519,0.1849,0.9980
9.250,1.0537,0.02960,0.02370,-0.0494,0.1600,0.9983
9.500,1.0698,0.03001,0.02415,-0.0480,0.1570,0.9985
9.750,1.0818,0.03063,0.02470,-0.0459,0.1434,0.9987
10.000,1.0929,0.03131,0.02532,-0.0438,0.1307,0.9988
10.250,1.1069,0.03184,0.02585,-0.0421,0.1255,0.9989
10.500,1.1176,0.03254,0.02648,-0.0399,0.1118,0.9990
10.750,1.1289,0.03322,0.02708,-0.0379,0.0996,0.9991
11.000,1.1419,0.03383,0.02768,-0.0361,0.0944,0.9992
11.250,1.1544,0.03447,0.02833,-0.0343,0.0895,0.9992
11.500,1.1655,0.03520,0.02902,-0.0323,0.0816,0.9993
11.750,1.1781,0.03585,0.02966,-0.0305,0.0773,0.9993
12.000,1.1901,0.03655,0.03034,-0.0288,0.0718,0.9993
12.250,1.2027,0.03723,0.03104,-0.0271,0.0691,0.9994
12.500,1.2127,0.03809,0.03187,-0.0251,0.0638,0.9994
12.750,1.2242,0.03885,0.03262,-0.0233,0.0587,0.9994
13.000,1.2354,0.03964,0.03342,-0.0215,0.0557,0.9994
13.250,1.2478,0.04034,0.03414,-0.0200,0.0533,0.9994
13.500,1.2572,0.04129,0.03507,-0.0181,0.0493,0.9994
