Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-goe326-il-200000
Airfoil,goe326-il
Reynolds number,200000
Ncrit,9
Mach,0
Max Cl/Cd,77.1783
Max Cl/Cd alpha,7
Url,http://airfoiltools.com/polar/csv?polar=xf-goe326-il-200000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-7.500,-0.3258,0.08940,0.08615,-0.0263,1.0000,0.0383
-7.250,-0.3237,0.08752,0.08434,-0.0334,1.0000,0.0391
-7.000,-0.3251,0.08558,0.08245,-0.0359,1.0000,0.0393
-6.750,-0.3334,0.08408,0.08099,-0.0350,1.0000,0.0394
-6.250,-0.3094,0.07389,0.07083,-0.0379,0.9944,0.0405
-6.000,-0.2845,0.06990,0.06683,-0.0405,0.9891,0.0418
-5.750,-0.2505,0.06551,0.06237,-0.0471,0.9841,0.0439
-5.500,-0.1835,0.06061,0.05704,-0.0651,0.9751,0.0500
-5.250,-0.1541,0.05351,0.04987,-0.0709,0.9713,0.0512
-5.000,-0.1300,0.05011,0.04651,-0.0726,0.9649,0.0526
-4.750,-0.0961,0.04679,0.04311,-0.0766,0.9596,0.0555
-4.500,-0.0433,0.04260,0.03824,-0.0850,0.9524,0.0635
-4.250,-0.0185,0.03872,0.03450,-0.0869,0.9457,0.0655
-4.000,0.0111,0.03632,0.03203,-0.0887,0.9381,0.0689
-3.750,0.0501,0.03347,0.02859,-0.0918,0.9298,0.0782
-3.500,0.0729,0.03114,0.02637,-0.0922,0.9201,0.0815
-3.250,0.1048,0.02936,0.02414,-0.0932,0.9117,0.0932
-3.000,0.1274,0.02744,0.02227,-0.0930,0.9008,0.0970
-2.750,0.1540,0.02598,0.02050,-0.0929,0.8901,0.1095
-2.500,0.1797,0.02485,0.01916,-0.0926,0.8799,0.1238
-2.250,0.2035,0.02357,0.01781,-0.0921,0.8692,0.1397
-1.500,0.2926,0.01816,0.01115,-0.0895,0.8372,0.0879
-1.250,0.3216,0.01743,0.00996,-0.0883,0.8252,0.0772
-1.000,0.3484,0.01661,0.00899,-0.0876,0.8127,0.0770
-0.750,0.3751,0.01535,0.00760,-0.0869,0.8004,0.0754
-0.500,0.4019,0.01459,0.00671,-0.0862,0.7874,0.0749
-0.250,0.4287,0.01402,0.00603,-0.0854,0.7740,0.0753
0.000,0.4553,0.01358,0.00551,-0.0847,0.7596,0.0763
