Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-goe416a-il-100000
Airfoil,goe416a-il
Reynolds number,100000
Ncrit,9
Mach,0
Max Cl/Cd,46.4509
Max Cl/Cd alpha,6.5
Url,http://airfoiltools.com/polar/csv?polar=xf-goe416a-il-100000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-10.750,-0.4393,0.11453,0.10995,-0.0062,1.0000,0.1597
-10.500,-0.4673,0.11115,0.10665,-0.0099,1.0000,0.1679
-10.250,-0.6068,0.11445,0.10977,-0.0016,1.0000,0.1553
-10.000,-0.5782,0.11200,0.10727,0.0025,1.0000,0.1655
-9.750,-0.5720,0.10830,0.10357,0.0025,1.0000,0.1736
-9.500,-0.5819,0.10423,0.09959,-0.0003,1.0000,0.1842
-9.250,-0.6113,0.10060,0.09610,-0.0065,1.0000,0.1960
-9.000,-0.5876,0.09790,0.09336,-0.0030,1.0000,0.2095
-7.000,-0.6287,0.03725,0.02948,-0.0391,1.0000,0.0726
-6.750,-0.6070,0.03367,0.02567,-0.0382,1.0000,0.0684
-6.500,-0.5826,0.03174,0.02302,-0.0366,1.0000,0.0626
-6.250,-0.5577,0.02957,0.02069,-0.0355,1.0000,0.0598
-6.000,-0.5336,0.02716,0.01817,-0.0343,1.0000,0.0573
-5.750,-0.5093,0.02531,0.01620,-0.0330,1.0000,0.0554
-5.500,-0.4857,0.02377,0.01460,-0.0315,1.0000,0.0543
-5.250,-0.4634,0.02243,0.01329,-0.0301,1.0000,0.0541
-5.000,-0.4426,0.02126,0.01218,-0.0286,1.0000,0.0550
-4.750,-0.4223,0.02030,0.01121,-0.0273,1.0000,0.0582
-4.500,-0.4014,0.01947,0.01031,-0.0261,1.0000,0.0608
-4.250,-0.3802,0.01846,0.00920,-0.0252,1.0000,0.0634
-4.000,-0.3576,0.01762,0.00824,-0.0246,1.0000,0.0688
-3.750,-0.3339,0.01678,0.00738,-0.0241,1.0000,0.0827
-3.500,-0.3136,0.01486,0.00737,-0.0243,1.0000,0.4762
-3.250,-0.2948,0.01588,0.00843,-0.0215,1.0000,0.5392
-3.000,-0.2768,0.01667,0.00925,-0.0187,1.0000,0.5786
-2.750,-0.2602,0.01723,0.00993,-0.0156,1.0000,0.6088
-2.500,-0.2421,0.01749,0.01023,-0.0134,1.0000,0.6283
-2.250,-0.2275,0.01790,0.01075,-0.0101,1.0000,0.6564
-2.000,-0.2092,0.01805,0.01091,-0.0084,1.0000,0.6745
-1.750,-0.1863,0.01802,0.01081,-0.0084,1.0000,0.6834
-1.500,-0.1499,0.01803,0.01070,-0.0112,0.9950,0.6920
-1.250,-0.0990,0.01795,0.01053,-0.0165,0.9837,0.6982
-1.000,-0.0498,0.01785,0.01035,-0.0214,0.9715,0.7044
-0.750,-0.0015,0.01771,0.01013,-0.0262,0.9589,0.7100
-0.500,0.0451,0.01755,0.00996,-0.0302,0.9464,0.7152
-0.250,0.0934,0.01736,0.00973,-0.0346,0.9343,0.7209
0.000,0.1372,0.01713,0.00951,-0.0378,0.9212,0.7259
0.250,0.1772,0.01689,0.00929,-0.0399,0.9064,0.7313
0.500,0.2144,0.01663,0.00902,-0.0415,0.8894,0.7369
