Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-goe92-il-1000000
Airfoil,goe92-il
Reynolds number,1000000
Ncrit,9
Mach,0
Max Cl/Cd,120.647
Max Cl/Cd alpha,5.75
Url,http://airfoiltools.com/polar/csv?polar=xf-goe92-il-1000000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-9.250,-0.1895,0.09358,0.09197,-0.0296,0.9061,0.0084
-9.000,-0.1872,0.09027,0.08862,-0.0308,0.8973,0.0084
-8.750,-0.1844,0.08691,0.08524,-0.0319,0.8894,0.0085
-8.500,-0.1809,0.08359,0.08189,-0.0329,0.8825,0.0085
-8.250,-0.1774,0.08020,0.07849,-0.0340,0.8755,0.0085
-8.000,-0.1737,0.07682,0.07509,-0.0351,0.8695,0.0085
-7.250,-0.1607,0.06649,0.06473,-0.0365,0.8501,0.0090
-7.000,-0.1558,0.06348,0.06170,-0.0377,0.8432,0.0093
-6.750,-0.1508,0.06026,0.05849,-0.0395,0.8356,0.0095
-6.500,-0.1424,0.05666,0.05485,-0.0426,0.8280,0.0097
-6.250,-0.1308,0.05277,0.05095,-0.0463,0.8197,0.0100
-6.000,-0.1588,0.06459,0.06265,-0.0525,0.8347,0.0097
-5.750,-0.1366,0.06094,0.05894,-0.0569,0.8267,0.0100
-5.500,-0.1123,0.05716,0.05509,-0.0614,0.8176,0.0106
-5.250,-0.0777,0.05271,0.05052,-0.0678,0.8085,0.0115
-5.000,-0.0470,0.04854,0.04621,-0.0724,0.7979,0.0116
-4.750,-0.0192,0.04465,0.04218,-0.0753,0.7850,0.0116
-4.500,0.0049,0.03932,0.03667,-0.0784,0.7702,0.0119
-4.250,0.0267,0.03744,0.03467,-0.0793,0.7458,0.0123
-4.000,0.0514,0.03544,0.03246,-0.0803,0.7073,0.0130
-3.750,0.0854,0.03291,0.02953,-0.0811,0.6615,0.0152
-3.250,0.1413,0.02773,0.02374,-0.0819,0.6056,0.0154
-2.750,0.1921,0.02163,0.01710,-0.0828,0.5721,0.0163
-2.500,0.2181,0.02089,0.01622,-0.0830,0.5562,0.0175
-2.250,0.2494,0.02023,0.01527,-0.0821,0.5418,0.0202
-2.000,0.2772,0.01837,0.01310,-0.0819,0.5282,0.0203
-1.750,0.3040,0.01486,0.00914,-0.0817,0.5158,0.0213
-1.500,0.3303,0.01464,0.00889,-0.0819,0.4999,0.0226
-1.250,0.3587,0.01544,0.00956,-0.0816,0.4827,0.0267
-1.000,0.3866,0.01474,0.00860,-0.0813,0.4644,0.0270
-0.750,0.4135,0.01237,0.00586,-0.0811,0.4441,0.0284
