Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-hor04-il-50000
Airfoil,hor04-il
Reynolds number,50000
Ncrit,9
Mach,0
Max Cl/Cd,28.0902
Max Cl/Cd alpha,3.5
Url,http://airfoiltools.com/polar/csv?polar=xf-hor04-il-50000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-8.500,-0.6374,0.11806,0.11134,0.0282,1.0000,0.1369
-8.250,-0.6343,0.11486,0.10818,0.0268,1.0000,0.1442
-8.000,-0.6436,0.11364,0.10708,0.0204,1.0000,0.1467
-7.750,-0.6266,0.10756,0.10098,0.0243,1.0000,0.1573
-7.500,-0.6248,0.10401,0.09750,0.0210,1.0000,0.1629
-7.250,-0.6194,0.10083,0.09436,0.0170,1.0000,0.1735
-7.000,-0.6086,0.09627,0.08983,0.0182,1.0000,0.1849
-6.750,-0.6004,0.09242,0.08600,0.0162,1.0000,0.1987
-6.500,-0.5929,0.08915,0.08275,0.0089,1.0000,0.2153
-6.250,-0.5817,0.08471,0.07830,0.0149,1.0000,0.2372
-6.000,-0.5720,0.08104,0.07467,0.0148,1.0000,0.2629
-5.500,-0.5523,0.07416,0.06788,0.0166,1.0000,0.3283
-5.250,-0.5428,0.07095,0.06473,0.0203,1.0000,0.3701
-5.000,-0.5352,0.06806,0.06190,0.0251,1.0000,0.4227
-4.750,-0.5261,0.06501,0.05892,0.0335,1.0000,0.4821
-4.250,-0.3057,0.04550,0.03882,0.0386,1.0000,0.9694
-4.000,-0.3114,0.04382,0.03723,0.0409,1.0000,0.9516
-3.750,-0.3398,0.04348,0.03704,0.0473,1.0000,0.9164
-3.500,-0.2507,0.03428,0.02475,-0.0432,1.0000,0.1583
-3.250,-0.2138,0.03122,0.02109,-0.0446,1.0000,0.1435
-3.000,-0.1770,0.02893,0.01802,-0.0454,1.0000,0.1328
-2.750,-0.1454,0.02630,0.01514,-0.0456,1.0000,0.1267
-2.500,-0.1133,0.02433,0.01272,-0.0453,1.0000,0.1225
-2.250,-0.0839,0.02258,0.01073,-0.0447,1.0000,0.1232
-2.000,-0.0561,0.02109,0.00907,-0.0439,1.0000,0.1357
-1.750,-0.0279,0.01974,0.00760,-0.0430,1.0000,0.1476
-1.500,0.0007,0.01835,0.00626,-0.0426,1.0000,0.1676
-1.250,0.0279,0.01530,0.00522,-0.0430,1.0000,0.5052
-1.000,0.0455,0.01377,0.00405,-0.0379,1.0000,1.0000
-0.750,0.0734,0.01379,0.00360,-0.0377,1.0000,1.0000
-0.500,0.1009,0.01381,0.00330,-0.0377,1.0000,1.0000
-0.250,0.1281,0.01386,0.00313,-0.0376,1.0000,1.0000
0.000,0.1550,0.01391,0.00304,-0.0375,1.0000,1.0000
0.250,0.1817,0.01398,0.00302,-0.0374,1.0000,1.0000
0.500,0.2081,0.01407,0.00307,-0.0373,1.0000,1.0000
0.750,0.2343,0.01418,0.00318,-0.0372,1.0000,1.0000
1.000,0.2601,0.01431,0.00334,-0.0370,1.0000,1.0000
1.250,0.2856,0.01447,0.00357,-0.0368,1.0000,1.0000
1.500,0.3107,0.01465,0.00386,-0.0366,1.0000,1.0000
1.750,0.3355,0.01488,0.00423,-0.0365,1.0000,1.0000
2.000,0.3600,0.01515,0.00473,-0.0363,1.0000,1.0000
2.250,0.3842,0.01547,0.00527,-0.0362,1.0000,1.0000
2.500,0.4079,0.01587,0.00592,-0.0362,1.0000,1.0000
2.750,0.4311,0.01637,0.00670,-0.0364,1.0000,1.0000
3.000,0.4542,0.01700,0.00766,-0.0368,1.0000,1.0000
3.250,0.4767,0.01779,0.00882,-0.0374,1.0000,1.0000
3.500,0.5604,0.01995,0.00835,-0.0361,0.2555,1.0000
3.750,0.5858,0.02219,0.01004,-0.0355,0.1888,1.0000
4.000,0.6138,0.02412,0.01190,-0.0345,0.1664,1.0000
4.250,0.6423,0.02629,0.01404,-0.0336,0.1519,1.0000
4.500,0.6706,0.02853,0.01641,-0.0330,0.1359,1.0000
4.750,0.7012,0.03118,0.01968,-0.0324,0.1309,1.0000
5.000,0.7312,0.03436,0.02337,-0.0319,0.1282,1.0000
5.250,0.7586,0.03776,0.02725,-0.0317,0.1202,1.0000
5.500,0.7865,0.04202,0.03210,-0.0315,0.1223,1.0000
5.750,0.8151,0.04719,0.03826,-0.0318,0.1340,1.0000
6.000,0.8422,0.05328,0.04495,-0.0325,0.1518,1.0000
6.750,0.8443,0.09049,0.08439,-0.0943,0.4584,1.0000
7.000,0.8513,0.09442,0.08830,-0.0923,0.4307,1.0000
