Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-hq2195-il-1000000
Airfoil,hq2195-il
Reynolds number,1000000
Ncrit,9
Mach,0
Max Cl/Cd,101.019
Max Cl/Cd alpha,4.25
Url,http://airfoiltools.com/polar/csv?polar=xf-hq2195-il-1000000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-9.500,-0.5865,0.05469,0.05304,-0.0547,1.0000,0.0116
-9.250,-0.6191,0.04861,0.04683,-0.0567,1.0000,0.0114
-9.000,-0.6940,0.02715,0.02405,-0.0586,0.9971,0.0115
-8.750,-0.6737,0.02112,0.01729,-0.0616,0.9930,0.0121
-8.500,-0.6438,0.01999,0.01606,-0.0631,0.9896,0.0125
-8.250,-0.6118,0.01912,0.01508,-0.0647,0.9868,0.0129
-8.000,-0.5789,0.01825,0.01411,-0.0665,0.9846,0.0134
-7.750,-0.5465,0.01730,0.01303,-0.0680,0.9820,0.0140
-7.500,-0.5164,0.01655,0.01215,-0.0689,0.9765,0.0146
-7.250,-0.4839,0.01567,0.01111,-0.0702,0.9724,0.0151
-7.000,-0.4523,0.01519,0.01052,-0.0712,0.9666,0.0153
-6.750,-0.4262,0.01283,0.00793,-0.0716,0.9583,0.0162
-6.500,-0.3985,0.01222,0.00727,-0.0718,0.9491,0.0168
-6.250,-0.3711,0.01179,0.00678,-0.0718,0.9396,0.0174
-6.000,-0.3448,0.01146,0.00640,-0.0715,0.9288,0.0182
-5.750,-0.3190,0.01098,0.00583,-0.0712,0.9187,0.0187
-5.500,-0.2930,0.01053,0.00530,-0.0708,0.9094,0.0192
-5.250,-0.2668,0.01017,0.00486,-0.0705,0.9000,0.0197
-5.000,-0.2401,0.00990,0.00452,-0.0702,0.8914,0.0200
-4.750,-0.2154,0.00907,0.00357,-0.0697,0.8827,0.0213
-4.500,-0.1885,0.00878,0.00326,-0.0696,0.8747,0.0226
-4.250,-0.1614,0.00857,0.00299,-0.0694,0.8673,0.0238
-4.000,-0.1340,0.00834,0.00272,-0.0693,0.8604,0.0249
-3.750,-0.1066,0.00818,0.00250,-0.0691,0.8533,0.0258
-3.500,-0.0795,0.00784,0.00211,-0.0690,0.8447,0.0291
-3.250,-0.0523,0.00770,0.00191,-0.0687,0.8353,0.0326
-3.000,-0.0249,0.00748,0.00171,-0.0686,0.8261,0.0421
-2.750,0.0024,0.00725,0.00154,-0.0685,0.8183,0.0654
-2.500,0.0297,0.00700,0.00141,-0.0684,0.8100,0.1036
-2.250,0.0569,0.00666,0.00127,-0.0685,0.8027,0.1731
-2.000,0.0829,0.00597,0.00109,-0.0685,0.7955,0.3372
-1.750,0.1093,0.00549,0.00102,-0.0685,0.7891,0.4777
-1.500,0.1369,0.00531,0.00098,-0.0685,0.7827,0.5332
-1.250,0.1644,0.00519,0.00097,-0.0684,0.7771,0.5856
-1.000,0.1923,0.00510,0.00099,-0.0683,0.7712,0.6237
-0.750,0.2204,0.00509,0.00099,-0.0682,0.7652,0.6452
-0.500,0.2483,0.00507,0.00100,-0.0681,0.7595,0.6681
-0.250,0.2763,0.00505,0.00103,-0.0681,0.7530,0.6917
0.000,0.3039,0.00506,0.00105,-0.0679,0.7468,0.7116
0.250,0.3321,0.00504,0.00106,-0.0678,0.7398,0.7236
0.500,0.3600,0.00507,0.00107,-0.0677,0.7327,0.7331
0.750,0.3882,0.00505,0.00109,-0.0677,0.7249,0.7420
1.000,0.4160,0.00509,0.00110,-0.0676,0.7164,0.7509
1.250,0.4439,0.00509,0.00113,-0.0675,0.7061,0.7600
1.500,0.4716,0.00510,0.00115,-0.0674,0.6942,0.7693
1.750,0.4988,0.00516,0.00118,-0.0671,0.6749,0.7795
2.000,0.5249,0.00525,0.00120,-0.0667,0.6375,0.7904
2.500,0.5712,0.00608,0.00146,-0.0649,0.4791,0.8152
2.750,0.5963,0.00636,0.00161,-0.0643,0.4373,0.8297
3.000,0.6217,0.00657,0.00175,-0.0639,0.4062,0.8453
3.250,0.6472,0.00675,0.00188,-0.0634,0.3804,0.8621
3.500,0.6726,0.00691,0.00202,-0.0629,0.3577,0.8804
3.750,0.6967,0.00709,0.00216,-0.0621,0.3295,0.9025
4.000,0.7201,0.00723,0.00229,-0.0612,0.3021,0.9400
4.250,0.7536,0.00746,0.00244,-0.0626,0.2739,1.0000
4.500,0.7793,0.00779,0.00263,-0.0623,0.2393,1.0000
4.750,0.8041,0.00820,0.00285,-0.0619,0.2005,1.0000
5.000,0.8281,0.00871,0.00314,-0.0614,0.1558,1.0000
5.250,0.8519,0.00924,0.00346,-0.0609,0.1174,1.0000
5.500,0.8766,0.00966,0.00376,-0.0605,0.0931,1.0000
5.750,0.9018,0.01002,0.00404,-0.0601,0.0773,1.0000
6.000,0.9270,0.01037,0.00433,-0.0597,0.0657,1.0000
6.250,0.9522,0.01071,0.00463,-0.0594,0.0565,1.0000
6.500,0.9772,0.01107,0.00494,-0.0590,0.0461,1.0000
6.750,1.0014,0.01153,0.00532,-0.0585,0.0339,1.0000
7.000,1.0254,0.01199,0.00573,-0.0579,0.0277,1.0000
7.250,1.0500,0.01238,0.00616,-0.0574,0.0254,1.0000
7.500,1.0744,0.01276,0.00655,-0.0569,0.0234,1.0000
7.750,1.0975,0.01330,0.00710,-0.0562,0.0213,1.0000
8.000,1.1205,0.01384,0.00771,-0.0555,0.0202,1.0000
8.250,1.1444,0.01424,0.00815,-0.0549,0.0195,1.0000
8.500,1.1678,0.01467,0.00862,-0.0543,0.0185,1.0000
8.750,1.1906,0.01514,0.00912,-0.0536,0.0176,1.0000
9.000,1.2117,0.01579,0.00980,-0.0527,0.0166,1.0000
9.250,1.2281,0.01691,0.01103,-0.0510,0.0155,1.0000
9.500,1.2508,0.01732,0.01149,-0.0503,0.0152,1.0000
9.750,1.2726,0.01780,0.01202,-0.0495,0.0147,1.0000
10.000,1.2936,0.01832,0.01259,-0.0486,0.0140,1.0000
10.250,1.3142,0.01884,0.01315,-0.0477,0.0133,1.0000
10.500,1.3334,0.01947,0.01382,-0.0466,0.0128,1.0000
10.750,1.3478,0.02047,0.01489,-0.0448,0.0122,1.0000
11.000,1.3569,0.02188,0.01642,-0.0423,0.0116,1.0000
11.250,1.3738,0.02244,0.01706,-0.0408,0.0113,1.0000
11.500,1.3869,0.02314,0.01783,-0.0387,0.0110,1.0000
11.750,1.3997,0.02381,0.01857,-0.0367,0.0107,1.0000
12.000,1.4110,0.02458,0.01942,-0.0345,0.0103,1.0000
12.250,1.4224,0.02536,0.02025,-0.0326,0.0100,1.0000
12.500,1.4340,0.02612,0.02108,-0.0308,0.0096,1.0000
12.750,1.4441,0.02703,0.02204,-0.0290,0.0093,1.0000
13.000,1.4474,0.02849,0.02358,-0.0266,0.0090,1.0000
13.250,1.4393,0.03098,0.02622,-0.0236,0.0087,1.0000
13.500,1.4393,0.03296,0.02834,-0.0217,0.0085,1.0000
13.750,1.4488,0.03416,0.02962,-0.0206,0.0084,1.0000
14.000,1.4501,0.03619,0.03177,-0.0192,0.0083,1.0000
14.250,1.4538,0.03807,0.03377,-0.0183,0.0081,1.0000
14.500,1.4539,0.04042,0.03624,-0.0174,0.0080,1.0000
14.750,1.4548,0.04281,0.03874,-0.0169,0.0078,1.0000
15.000,1.4534,0.04557,0.04162,-0.0166,0.0076,1.0000
15.250,1.4508,0.04864,0.04480,-0.0167,0.0075,1.0000
15.500,1.4444,0.05235,0.04865,-0.0172,0.0074,1.0000
15.750,1.4358,0.05664,0.05308,-0.0182,0.0073,1.0000
