Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-hs1404-il-1000000
Airfoil,hs1404-il
Reynolds number,1000000
Ncrit,9
Mach,0
Max Cl/Cd,134.598
Max Cl/Cd alpha,1.75
Url,http://airfoiltools.com/polar/csv?polar=xf-hs1404-il-1000000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-8.000,-0.4489,0.09689,0.09526,-0.0081,1.0000,0.0031
-7.750,-0.4431,0.09354,0.09193,-0.0098,1.0000,0.0031
-7.500,-0.4378,0.09027,0.08868,-0.0114,1.0000,0.0031
-7.250,-0.4296,0.08671,0.08513,-0.0141,1.0000,0.0031
-7.000,-0.4187,0.08291,0.08135,-0.0175,1.0000,0.0031
-6.750,-0.4070,0.07907,0.07752,-0.0210,1.0000,0.0031
-6.500,-0.3955,0.07528,0.07374,-0.0243,1.0000,0.0031
-6.250,-0.3843,0.07141,0.06989,-0.0274,1.0000,0.0031
-6.000,-0.3769,0.06644,0.06493,-0.0308,1.0000,0.0032
-5.750,-0.3479,0.05975,0.05820,-0.0397,0.9984,0.0034
-5.500,-0.3093,0.05314,0.05148,-0.0498,0.9964,0.0036
-5.250,-0.2684,0.04702,0.04526,-0.0589,0.9948,0.0037
-5.000,-0.2288,0.04151,0.03963,-0.0663,0.9926,0.0039
-4.750,-0.1884,0.03605,0.03402,-0.0728,0.9902,0.0042
-4.500,-0.1468,0.03026,0.02801,-0.0787,0.9882,0.0045
-4.250,-0.1049,0.02379,0.02121,-0.0835,0.9865,0.0048
-4.000,-0.0667,0.01926,0.01629,-0.0866,0.9845,0.0057
-3.500,0.0038,0.01289,0.00903,-0.0897,0.9766,0.0066
-2.750,0.0944,0.00987,0.00545,-0.0912,0.9571,0.0170
-2.500,0.1234,0.00799,0.00327,-0.0908,0.9474,0.0122
-2.250,0.1509,0.00732,0.00244,-0.0902,0.9358,0.0098
-2.000,0.1776,0.00699,0.00201,-0.0896,0.9230,0.0089
-1.750,0.2049,0.00667,0.00157,-0.0892,0.9111,0.0084
-1.500,0.2325,0.00642,0.00114,-0.0888,0.9002,0.0084
-1.250,0.2604,0.00615,0.00085,-0.0886,0.8896,0.0500
-1.000,0.2879,0.00598,0.00073,-0.0885,0.8790,0.0962
-0.750,0.3158,0.00578,0.00074,-0.0886,0.8701,0.1714
-0.500,0.3435,0.00570,0.00076,-0.0886,0.8630,0.2163
-0.250,0.3715,0.00559,0.00078,-0.0887,0.8553,0.2616
0.000,0.3994,0.00550,0.00078,-0.0888,0.8481,0.3048
0.250,0.4211,0.00386,0.00084,-0.0877,0.8402,1.0000
0.500,0.4490,0.00391,0.00086,-0.0877,0.8318,1.0000
0.750,0.4767,0.00397,0.00087,-0.0876,0.8233,1.0000
1.000,0.5044,0.00403,0.00089,-0.0875,0.8127,1.0000
1.250,0.5316,0.00411,0.00091,-0.0873,0.7942,1.0000
1.500,0.5587,0.00421,0.00092,-0.0870,0.7705,1.0000
1.750,0.5855,0.00435,0.00095,-0.0868,0.7358,1.0000
2.000,0.6112,0.00466,0.00100,-0.0863,0.6611,1.0000
2.250,0.6356,0.00531,0.00121,-0.0857,0.5450,1.0000
2.500,0.6609,0.00589,0.00142,-0.0855,0.4501,1.0000
2.750,0.6858,0.00656,0.00166,-0.0852,0.3465,1.0000
3.000,0.7109,0.00720,0.00191,-0.0850,0.2538,1.0000
3.250,0.7349,0.00807,0.00227,-0.0847,0.1346,1.0000
3.500,0.7594,0.00886,0.00266,-0.0843,0.0511,1.0000
3.750,0.7858,0.00922,0.00302,-0.0841,0.0339,1.0000
4.000,0.8120,0.00958,0.00335,-0.0839,0.0226,1.0000
4.250,0.8387,0.00980,0.00355,-0.0838,0.0176,1.0000
4.500,0.8646,0.01029,0.00410,-0.0834,0.0119,1.0000
4.750,0.8914,0.01039,0.00416,-0.0834,0.0093,1.0000
5.000,0.9158,0.01135,0.00517,-0.0825,0.0020,1.0000
5.250,0.9380,0.01292,0.00707,-0.0811,0.0018,1.0000
5.500,0.9595,0.01470,0.00909,-0.0796,0.0018,1.0000
5.750,0.9823,0.01625,0.01083,-0.0784,0.0018,1.0000
6.000,1.0057,0.01781,0.01264,-0.0773,0.0020,1.0000
13.250,0.7500,0.16298,0.16159,-0.0768,0.0048,1.0000
13.500,0.7498,0.16638,0.16498,-0.0779,0.0048,1.0000
