Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-ht08-il-1000000
Airfoil,ht08-il
Reynolds number,1000000
Ncrit,9
Mach,0
Max Cl/Cd,56.7172
Max Cl/Cd alpha,5.75
Url,http://airfoiltools.com/polar/csv?polar=xf-ht08-il-1000000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-8.750,-0.8676,0.05232,0.05066,0.0018,1.0000,0.0075
-8.500,-0.8843,0.03424,0.03170,-0.0037,1.0000,0.0073
-8.250,-0.8824,0.02503,0.02155,-0.0042,1.0000,0.0074
-8.000,-0.8650,0.02107,0.01708,-0.0039,1.0000,0.0077
-7.750,-0.8421,0.01923,0.01500,-0.0037,1.0000,0.0080
-7.500,-0.8176,0.01796,0.01356,-0.0035,1.0000,0.0082
-7.250,-0.7925,0.01686,0.01230,-0.0032,1.0000,0.0086
-7.000,-0.7668,0.01591,0.01121,-0.0030,1.0000,0.0090
-6.750,-0.7406,0.01519,0.01037,-0.0028,1.0000,0.0096
-6.500,-0.7142,0.01441,0.00947,-0.0026,1.0000,0.0102
-6.250,-0.6874,0.01381,0.00876,-0.0024,1.0000,0.0106
-6.000,-0.6621,0.01210,0.00681,-0.0021,1.0000,0.0113
-5.750,-0.6356,0.01121,0.00584,-0.0019,1.0000,0.0123
-5.500,-0.6084,0.01074,0.00533,-0.0018,1.0000,0.0131
-5.250,-0.5810,0.01031,0.00484,-0.0017,1.0000,0.0142
-5.000,-0.5534,0.01003,0.00453,-0.0016,1.0000,0.0153
-4.750,-0.5261,0.00934,0.00374,-0.0015,1.0000,0.0170
-4.500,-0.4985,0.00890,0.00328,-0.0014,1.0000,0.0194
-4.250,-0.4706,0.00862,0.00297,-0.0013,1.0000,0.0215
-4.000,-0.4428,0.00829,0.00260,-0.0013,1.0000,0.0242
-3.750,-0.4149,0.00796,0.00229,-0.0012,1.0000,0.0302
-3.500,-0.3869,0.00767,0.00201,-0.0012,1.0000,0.0379
-3.250,-0.3589,0.00740,0.00178,-0.0011,1.0000,0.0505
-3.000,-0.3310,0.00713,0.00160,-0.0011,1.0000,0.0703
-2.750,-0.3031,0.00685,0.00144,-0.0012,1.0000,0.0983
-2.500,-0.2752,0.00657,0.00131,-0.0012,1.0000,0.1337
-2.250,-0.2473,0.00628,0.00118,-0.0012,1.0000,0.1782
-2.000,-0.2194,0.00598,0.00108,-0.0013,1.0000,0.2309
-1.750,-0.1915,0.00568,0.00099,-0.0014,1.0000,0.2911
-1.500,-0.1637,0.00536,0.00092,-0.0014,1.0000,0.3626
-1.250,-0.1361,0.00500,0.00086,-0.0015,1.0000,0.4466
-1.000,-0.1088,0.00459,0.00081,-0.0015,1.0000,0.5536
-0.750,-0.0820,0.00413,0.00079,-0.0013,1.0000,0.6765
-0.500,-0.0568,0.00367,0.00079,-0.0006,1.0000,0.8012
-0.250,-0.0361,0.00330,0.00082,0.0015,1.0000,0.9165
0.000,0.0001,0.00320,0.00082,0.0000,0.9953,0.9953
0.250,0.0362,0.00330,0.00082,-0.0015,0.9163,1.0000
0.500,0.0569,0.00368,0.00079,0.0006,0.8004,1.0000
0.750,0.0822,0.00413,0.00079,0.0013,0.6766,1.0000
1.000,0.1089,0.00459,0.00081,0.0015,0.5531,1.0000
1.250,0.1362,0.00500,0.00086,0.0015,0.4471,1.0000
1.500,0.1639,0.00536,0.00092,0.0014,0.3621,1.0000
1.750,0.1917,0.00568,0.00099,0.0014,0.2909,1.0000
2.000,0.2195,0.00599,0.00108,0.0013,0.2295,1.0000
2.250,0.2474,0.00628,0.00118,0.0012,0.1781,1.0000
2.500,0.2753,0.00657,0.00131,0.0012,0.1336,1.0000
2.750,0.3032,0.00685,0.00144,0.0011,0.0982,1.0000
3.000,0.3312,0.00714,0.00160,0.0011,0.0701,1.0000
3.250,0.3591,0.00740,0.00178,0.0011,0.0502,1.0000
3.500,0.3871,0.00767,0.00201,0.0011,0.0378,1.0000
3.750,0.4150,0.00796,0.00229,0.0012,0.0302,1.0000
4.000,0.4429,0.00829,0.00260,0.0012,0.0242,1.0000
4.250,0.4708,0.00862,0.00297,0.0013,0.0215,1.0000
4.500,0.4986,0.00890,0.00328,0.0014,0.0193,1.0000
4.750,0.5263,0.00935,0.00375,0.0015,0.0170,1.0000
5.000,0.5536,0.01004,0.00454,0.0016,0.0153,1.0000
5.250,0.5812,0.01032,0.00486,0.0017,0.0142,1.0000
5.500,0.6086,0.01075,0.00534,0.0018,0.0131,1.0000
5.750,0.6358,0.01121,0.00584,0.0019,0.0122,1.0000
6.000,0.6624,0.01207,0.00679,0.0021,0.0113,1.0000
6.250,0.6875,0.01383,0.00879,0.0024,0.0106,1.0000
6.500,0.7144,0.01443,0.00949,0.0026,0.0102,1.0000
6.750,0.7409,0.01517,0.01034,0.0028,0.0096,1.0000
7.000,0.7671,0.01586,0.01116,0.0030,0.0090,1.0000
7.250,0.7928,0.01685,0.01230,0.0032,0.0086,1.0000
7.500,0.8180,0.01795,0.01355,0.0034,0.0082,1.0000
7.750,0.8425,0.01918,0.01495,0.0036,0.0079,1.0000
8.000,0.8653,0.02108,0.01709,0.0039,0.0077,1.0000
8.250,0.8827,0.02506,0.02158,0.0042,0.0074,1.0000
8.500,0.8822,0.03516,0.03269,0.0035,0.0073,1.0000
9.250,0.6727,0.08183,0.08039,-0.0227,0.0114,1.0000
9.500,0.6530,0.09077,0.08931,-0.0257,0.0116,1.0000
