Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-kc135winglet-il-100000
Airfoil,kc135winglet-il
Reynolds number,100000
Ncrit,9
Mach,0
Max Cl/Cd,62.345
Max Cl/Cd alpha,3.75
Url,http://airfoiltools.com/polar/csv?polar=xf-kc135winglet-il-100000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-8.250,-0.4274,0.09333,0.08841,-0.0305,1.0000,0.0751
-8.000,-0.4337,0.09085,0.08602,-0.0306,1.0000,0.0772
-7.750,-0.4434,0.08829,0.08358,-0.0325,1.0000,0.0791
-7.500,-0.4517,0.08444,0.07981,-0.0416,1.0000,0.0803
-7.250,-0.4574,0.08136,0.07653,-0.0500,1.0000,0.0810
-7.000,-0.4481,0.07696,0.07243,-0.0396,1.0000,0.0838
-6.750,-0.4439,0.07437,0.06988,-0.0379,1.0000,0.0872
-6.500,-0.4398,0.07067,0.06614,-0.0415,1.0000,0.0920
-6.250,-0.4314,0.06554,0.06082,-0.0492,1.0000,0.0969
-6.000,-0.4247,0.06304,0.05844,-0.0457,1.0000,0.1009
-5.750,-0.4063,0.05850,0.05362,-0.0526,1.0000,0.1116
-5.500,-0.3964,0.05593,0.05117,-0.0504,1.0000,0.1176
-5.250,-0.3778,0.05231,0.04743,-0.0533,1.0000,0.1302
-5.000,-0.3582,0.04924,0.04427,-0.0552,1.0000,0.1465
-4.750,-0.3361,0.04614,0.04104,-0.0579,1.0000,0.1717
-4.500,-0.3169,0.04367,0.03857,-0.0586,1.0000,0.2013
-3.500,-0.1319,0.02876,0.02096,-0.0756,1.0000,0.0929
-3.250,-0.0922,0.02608,0.01776,-0.0769,1.0000,0.0724
-3.000,-0.0600,0.02537,0.01654,-0.0767,1.0000,0.0663
-2.750,-0.0253,0.02328,0.01433,-0.0780,1.0000,0.0631
-2.500,0.0076,0.02192,0.01282,-0.0785,1.0000,0.0597
-2.250,0.0395,0.02089,0.01170,-0.0790,1.0000,0.0583
-2.000,0.0723,0.02002,0.01087,-0.0799,1.0000,0.0589
-1.750,0.1064,0.01939,0.01024,-0.0813,1.0000,0.0618
-1.500,0.1402,0.01899,0.00973,-0.0828,1.0000,0.0679
-1.250,0.1845,0.01686,0.01026,-0.0846,1.0000,0.7863
-1.000,0.1743,0.01711,0.01064,-0.0746,1.0000,0.8688
-0.750,0.1596,0.01670,0.01032,-0.0645,1.0000,0.9363
-0.500,0.1564,0.01645,0.01006,-0.0592,1.0000,1.0000
-0.250,0.1907,0.01686,0.01025,-0.0618,1.0000,1.0000
0.000,0.2243,0.01730,0.01054,-0.0642,1.0000,1.0000
0.250,0.2570,0.01779,0.01090,-0.0665,1.0000,1.0000
0.500,0.2890,0.01830,0.01133,-0.0686,1.0000,1.0000
0.750,0.3201,0.01886,0.01183,-0.0707,1.0000,1.0000
1.000,0.3504,0.01947,0.01240,-0.0726,1.0000,1.0000
1.250,0.3969,0.01998,0.01289,-0.0774,0.9919,1.0000
1.500,0.4512,0.02035,0.01327,-0.0833,0.9793,1.0000
1.750,0.5071,0.02051,0.01347,-0.0892,0.9643,1.0000
2.000,0.5662,0.02033,0.01337,-0.0950,0.9475,1.0000
2.250,0.6263,0.01957,0.01275,-0.1000,0.9254,1.0000
2.500,0.6839,0.01849,0.01181,-0.1039,0.9048,1.0000
2.750,0.7378,0.01736,0.01085,-0.1070,0.8879,1.0000
3.000,0.7760,0.01652,0.01021,-0.1072,0.8655,1.0000
3.250,0.8140,0.01546,0.00929,-0.1068,0.8366,1.0000
3.500,0.8463,0.01461,0.00853,-0.1053,0.7946,1.0000
3.750,0.8747,0.01403,0.00789,-0.1030,0.7137,1.0000
4.000,0.8871,0.01546,0.00758,-0.0979,0.3990,1.0000
4.250,0.8987,0.01796,0.00883,-0.0954,0.2459,1.0000
4.500,0.9202,0.01943,0.00990,-0.0946,0.2028,1.0000
4.750,0.9439,0.02078,0.01100,-0.0940,0.1809,1.0000
5.000,0.9699,0.02216,0.01225,-0.0938,0.1658,1.0000
5.250,0.9975,0.02344,0.01352,-0.0938,0.1537,1.0000
5.500,1.0249,0.02473,0.01487,-0.0938,0.1421,1.0000
5.750,1.0524,0.02619,0.01641,-0.0938,0.1317,1.0000
6.000,1.0777,0.02747,0.01772,-0.0936,0.1194,1.0000
6.250,1.1042,0.02924,0.01944,-0.0937,0.1094,1.0000
6.500,1.1299,0.03085,0.02138,-0.0931,0.1005,1.0000
6.750,1.1545,0.03314,0.02393,-0.0926,0.0923,1.0000
7.000,1.1783,0.03495,0.02585,-0.0921,0.0850,1.0000
7.250,1.2005,0.03834,0.02965,-0.0912,0.0815,1.0000
7.500,1.2192,0.04162,0.03357,-0.0894,0.0791,1.0000
7.750,1.2347,0.04549,0.03803,-0.0875,0.0778,1.0000
8.000,1.2458,0.04988,0.04301,-0.0852,0.0775,1.0000
8.250,1.2531,0.05423,0.04789,-0.0828,0.0765,1.0000
8.500,1.2568,0.05864,0.05276,-0.0803,0.0755,1.0000
8.750,1.2513,0.06442,0.05909,-0.0773,0.0768,1.0000
9.000,1.2415,0.07049,0.06556,-0.0746,0.0791,1.0000
9.250,1.2364,0.07616,0.07145,-0.0727,0.0812,1.0000
9.750,1.1073,0.07612,0.07192,-0.0523,0.0842,1.0000
10.000,0.9997,0.08793,0.08414,-0.0507,0.0987,1.0000
10.250,0.8987,0.11973,0.11602,-0.0671,0.1660,1.0000
