Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-kenmar-il-1000000
Airfoil,kenmar-il
Reynolds number,1000000
Ncrit,9
Mach,0
Max Cl/Cd,70.0881
Max Cl/Cd alpha,6.25
Url,http://airfoiltools.com/polar/csv?polar=xf-kenmar-il-1000000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-13.500,-0.1042,0.05345,0.04763,-0.1835,0.4403,0.0415
-13.250,-0.1203,0.04865,0.04271,-0.1869,0.4402,0.0415
-13.000,-0.1267,0.04524,0.03921,-0.1892,0.4402,0.0416
-12.750,-0.1289,0.04248,0.03636,-0.1908,0.4401,0.0417
-12.500,-0.1275,0.04021,0.03403,-0.1920,0.4400,0.0418
-12.250,-0.1245,0.03824,0.03199,-0.1928,0.4398,0.0419
-12.000,-0.1190,0.03658,0.03027,-0.1934,0.4397,0.0420
-11.750,-0.1119,0.03514,0.02878,-0.1937,0.4396,0.0421
-11.500,-0.1041,0.03383,0.02743,-0.1938,0.4394,0.0423
-11.250,-0.0956,0.03263,0.02619,-0.1938,0.4393,0.0424
-11.000,-0.0853,0.03161,0.02513,-0.1936,0.4391,0.0426
-10.750,-0.0748,0.03066,0.02414,-0.1933,0.4389,0.0428
-10.500,-0.0634,0.02977,0.02321,-0.1929,0.4387,0.0430
-10.250,-0.0519,0.02894,0.02234,-0.1924,0.4386,0.0432
-10.000,-0.0397,0.02815,0.02152,-0.1918,0.4384,0.0433
-9.750,-0.0268,0.02743,0.02075,-0.1911,0.4382,0.0435
-9.500,-0.0139,0.02673,0.02002,-0.1903,0.4380,0.0436
-9.250,-0.0001,0.02610,0.01937,-0.1894,0.4378,0.0437
-9.000,0.0141,0.02553,0.01877,-0.1884,0.4376,0.0438
-8.750,0.0280,0.02498,0.01819,-0.1873,0.4374,0.0439
-8.500,0.0419,0.02449,0.01767,-0.1861,0.4372,0.0441
-8.250,0.0560,0.02403,0.01720,-0.1848,0.4370,0.0441
-8.000,0.0689,0.02362,0.01677,-0.1833,0.4368,0.0442
-7.750,0.0796,0.02328,0.01642,-0.1812,0.4366,0.0443
-7.500,0.0886,0.02302,0.01614,-0.1789,0.4364,0.0444
-7.250,0.1019,0.02272,0.01584,-0.1772,0.4362,0.0445
-7.000,0.1180,0.02240,0.01550,-0.1760,0.4359,0.0446
-6.750,0.1356,0.02210,0.01518,-0.1751,0.4356,0.0446
-6.500,0.1518,0.02157,0.01464,-0.1736,0.4352,0.0448
-6.250,0.1684,0.02111,0.01418,-0.1722,0.4349,0.0451
-6.000,0.1866,0.02071,0.01378,-0.1713,0.4347,0.0454
-5.750,0.2070,0.02038,0.01346,-0.1707,0.4344,0.0456
-5.500,0.2292,0.02008,0.01317,-0.1705,0.4341,0.0458
-5.250,0.2532,0.01981,0.01291,-0.1705,0.4338,0.0461
-5.000,0.2786,0.01957,0.01267,-0.1708,0.4336,0.0464
-4.750,0.3053,0.01935,0.01245,-0.1713,0.4333,0.0467
-4.500,0.3331,0.01914,0.01225,-0.1719,0.4330,0.0470
-4.250,0.3620,0.01895,0.01206,-0.1727,0.4327,0.0474
-4.000,0.3918,0.01879,0.01190,-0.1737,0.4324,0.0478
-3.750,0.4223,0.01863,0.01174,-0.1747,0.4321,0.0482
-3.500,0.4534,0.01850,0.01161,-0.1758,0.4318,0.0487
-3.250,0.4845,0.01842,0.01152,-0.1768,0.4314,0.0492
