Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-kenmar-il-200000
Airfoil,kenmar-il
Reynolds number,200000
Ncrit,9
Mach,0
Max Cl/Cd,5.0638
Max Cl/Cd alpha,-7
Url,http://airfoiltools.com/polar/csv?polar=xf-kenmar-il-200000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-16.500,0.2436,0.16916,0.16185,-0.1287,0.5062,0.0647
-16.250,0.2543,0.16701,0.15971,-0.1301,0.5060,0.0657
-16.000,0.2624,0.16483,0.15755,-0.1318,0.5058,0.0671
-15.750,0.2483,0.16388,0.15664,-0.1354,0.5059,0.0681
-15.500,0.2703,0.16040,0.15318,-0.1357,0.5056,0.0683
-15.250,0.2876,0.15786,0.15067,-0.1363,0.5054,0.0687
-15.000,0.3019,0.15575,0.14859,-0.1371,0.5052,0.0692
-14.750,0.3146,0.15378,0.14665,-0.1380,0.5050,0.0700
-14.500,0.3260,0.15181,0.14472,-0.1390,0.5048,0.0708
-14.250,0.3364,0.14981,0.14274,-0.1401,0.5047,0.0719
-14.000,0.3449,0.14771,0.14068,-0.1414,0.5044,0.0733
-13.750,0.3183,0.14668,0.13970,-0.1454,0.5045,0.0751
-13.500,0.3433,0.14329,0.13633,-0.1453,0.5040,0.0754
-13.250,0.3621,0.14083,0.13390,-0.1455,0.5035,0.0758
-13.000,0.3771,0.13885,0.13196,-0.1459,0.5031,0.0763
-12.750,0.3897,0.13705,0.13020,-0.1465,0.5029,0.0772
-12.500,0.4007,0.13526,0.12845,-0.1472,0.5027,0.0782
-12.250,0.4098,0.13341,0.12665,-0.1480,0.5026,0.0796
-12.000,0.3760,0.13159,0.12489,-0.1523,0.5028,0.0828
-11.750,0.4006,0.12903,0.12236,-0.1517,0.5025,0.0831
-11.500,0.4215,0.12698,0.12037,-0.1514,0.5023,0.0837
-11.250,0.4368,0.12537,0.11881,-0.1514,0.5021,0.0845
-11.000,0.4486,0.12385,0.11733,-0.1517,0.5019,0.0857
-10.750,0.4574,0.12225,0.11579,-0.1521,0.5018,0.0872
-10.500,0.4184,0.11953,0.11315,-0.1567,0.5021,0.0912
-10.250,0.4403,0.11760,0.11126,-0.1557,0.5019,0.0916
-10.000,0.4593,0.11608,0.10980,-0.1550,0.5015,0.0921
-9.750,0.4750,0.11466,0.10842,-0.1546,0.5010,0.0929
-9.500,0.4866,0.11331,0.10713,-0.1544,0.5005,0.0941
-9.250,0.4944,0.11193,0.10582,-0.1545,0.5001,0.0959
-9.000,0.4559,0.10824,0.10222,-0.1585,0.5004,0.1006
-8.750,0.4753,0.10713,0.10117,-0.1571,0.5002,0.1011
-8.500,0.4909,0.10629,0.10040,-0.1559,0.5001,0.1018
-8.250,0.5027,0.10552,0.09971,-0.1550,0.5000,0.1028
-8.000,0.5103,0.10470,0.09897,-0.1542,0.5000,0.1044
-7.750,0.4624,0.10039,0.09477,-0.1582,0.5004,0.1108
-7.500,0.4808,0.09997,0.09442,-0.1559,0.4999,0.1114
-7.250,0.4952,0.09972,0.09426,-0.1538,0.4993,0.1122
-7.000,0.5040,0.09953,0.09415,-0.1520,0.4988,0.1134
-6.750,0.4272,0.09422,0.08902,-0.1563,0.4996,0.1218
-6.500,0.4430,0.09470,0.08959,-0.1526,0.4996,0.1223
-6.250,0.4503,0.09537,0.09037,-0.1492,0.4998,0.1229
-6.000,-0.0058,0.15390,0.15061,-0.0782,0.5212,0.1011
-5.750,-0.0045,0.15367,0.15038,-0.0758,0.5178,0.1015
-5.500,0.0014,0.15308,0.14979,-0.0741,0.5157,0.1021
-5.250,0.0056,0.15223,0.14894,-0.0727,0.5142,0.1031
-5.000,0.0066,0.15100,0.14771,-0.0718,0.5130,0.1045
-4.750,-0.1100,0.13954,0.13626,-0.0769,0.5121,0.1109
-4.500,-0.0777,0.14026,0.13698,-0.0745,0.5113,0.1114
-4.250,-0.0549,0.14042,0.13713,-0.0728,0.5106,0.1121
-4.000,-0.0378,0.14017,0.13687,-0.0715,0.5099,0.1133
-3.750,-0.2148,0.14181,0.13870,-0.0632,0.4964,0.1115
-3.500,-0.2170,0.14141,0.13832,-0.0607,0.4935,0.1120
-3.250,-0.2115,0.14118,0.13809,-0.0584,0.4913,0.1127
-3.000,-0.3252,0.09454,0.08879,-0.1036,0.4917,0.0827
-2.750,-0.3041,0.09303,0.08738,-0.1040,0.4901,0.0818
-2.500,-0.2733,0.09176,0.08597,-0.1065,0.4888,0.0808
-2.250,-0.2356,0.09051,0.08442,-0.1102,0.4877,0.0795
-2.000,-0.1959,0.08974,0.08332,-0.1138,0.4869,0.0786
-1.750,-0.1570,0.08960,0.08291,-0.1168,0.4862,0.0782
-1.500,-0.1201,0.08996,0.08306,-0.1189,0.4856,0.0783
-1.250,-0.0839,0.09071,0.08366,-0.1207,0.4850,0.0788
-1.000,-0.1624,0.09357,0.08667,-0.1175,0.4744,0.0781
-0.750,-0.1415,0.09409,0.08710,-0.1185,0.4710,0.0785
-0.500,-0.1168,0.09478,0.08770,-0.1196,0.4690,0.0793
-0.250,-0.0897,0.09552,0.08832,-0.1207,0.4674,0.0801
0.000,-0.0613,0.09635,0.08903,-0.1217,0.4662,0.0808
0.250,-0.0320,0.09726,0.08984,-0.1227,0.4652,0.0813
0.500,-0.0018,0.09830,0.09079,-0.1236,0.4644,0.0819
0.750,0.0294,0.09952,0.09191,-0.1244,0.4637,0.0825
1.000,0.0605,0.10063,0.09304,-0.1251,0.4631,0.0833
1.250,0.0927,0.10200,0.09448,-0.1257,0.4626,0.0845
1.500,0.1268,0.10380,0.09632,-0.1266,0.4621,0.0860
1.750,0.1631,0.10619,0.09873,-0.1275,0.4616,0.0878
2.000,0.0580,0.10673,0.09933,-0.1247,0.4482,0.0853
2.250,0.0829,0.10786,0.10049,-0.1253,0.4465,0.0866
2.500,0.1102,0.10911,0.10176,-0.1261,0.4452,0.0883
2.750,0.1389,0.11056,0.10320,-0.1269,0.4442,0.0901
3.000,0.1705,0.11218,0.10487,-0.1283,0.4435,0.0924
3.250,0.2046,0.11409,0.10688,-0.1300,0.4429,0.0960
3.500,0.2400,0.11627,0.10906,-0.1316,0.4424,0.1001
3.750,0.2808,0.11877,0.11168,-0.1345,0.4419,0.1060
4.000,0.3240,0.12174,0.11473,-0.1375,0.4415,0.1153
4.250,0.3754,0.12586,0.11907,-0.1421,0.4411,0.1466
4.750,0.2829,0.12560,0.11873,-0.1380,0.4266,0.1218
