Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-l7769-il-100000
Airfoil,l7769-il
Reynolds number,100000
Ncrit,9
Mach,0
Max Cl/Cd,32.2825
Max Cl/Cd alpha,12.25
Url,http://airfoiltools.com/polar/csv?polar=xf-l7769-il-100000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-9.750,-0.4029,0.12258,0.11736,0.0116,0.6775,0.0920
-9.500,-0.4184,0.12262,0.11745,0.0061,0.6755,0.0931
-9.250,-0.4200,0.11936,0.11420,0.0033,0.6727,0.0937
-9.000,-0.3854,0.11235,0.10714,0.0065,0.6663,0.0955
-8.750,-0.3721,0.10894,0.10370,0.0063,0.6622,0.0974
-8.500,-0.3635,0.10603,0.10077,0.0054,0.6589,0.0996
-8.250,-0.3579,0.10331,0.09803,0.0037,0.6563,0.1023
-8.000,-0.3597,0.10122,0.09602,0.0002,0.6536,0.1053
-7.750,-0.3829,0.10085,0.09576,-0.0074,0.6521,0.1067
-7.500,-0.3795,0.09666,0.09160,-0.0112,0.6494,0.1075
-7.250,-0.3451,0.09148,0.08636,-0.0047,0.6446,0.1100
-7.000,-0.3340,0.08877,0.08362,-0.0047,0.6417,0.1127
-6.750,-0.3286,0.08617,0.08104,-0.0067,0.6388,0.1160
-6.500,-0.3366,0.08469,0.07944,-0.0213,0.6372,0.1214
-6.250,-0.3233,0.07973,0.07453,-0.0218,0.6339,0.1225
-6.000,-0.3063,0.07618,0.07103,-0.0194,0.6305,0.1241
-5.750,-0.2909,0.07340,0.06824,-0.0191,0.6278,0.1267
-5.500,-0.2763,0.07066,0.06543,-0.0210,0.6255,0.1309
-5.250,-0.2604,0.06742,0.06186,-0.0300,0.6237,0.1379
-5.000,-0.2424,0.06402,0.05862,-0.0292,0.6206,0.1399
-4.750,-0.2234,0.06161,0.05623,-0.0294,0.6173,0.1445
-4.500,-0.2011,0.05875,0.05306,-0.0344,0.6144,0.1542
-4.250,-0.1827,0.05610,0.05046,-0.0337,0.6116,0.1575
-4.000,-0.1577,0.05424,0.04817,-0.0371,0.6093,0.1693
-3.750,-0.1376,0.05134,0.04538,-0.0370,0.6070,0.1721
-3.500,-0.1103,0.04975,0.04353,-0.0396,0.6043,0.1854
-3.250,-0.0881,0.04719,0.04108,-0.0400,0.6018,0.1893
-3.000,-0.0439,0.04119,0.03385,-0.0439,0.5996,0.1202
-2.750,-0.0185,0.03879,0.03132,-0.0443,0.5970,0.1163
-2.500,0.0117,0.03562,0.02724,-0.0442,0.5946,0.1063
-2.250,0.0379,0.03406,0.02530,-0.0438,0.5925,0.1064
-2.000,0.0666,0.03277,0.02382,-0.0447,0.5898,0.1082
