Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-la2573a-il-500000
Airfoil,la2573a-il
Reynolds number,500000
Ncrit,9
Mach,0
Max Cl/Cd,102.55
Max Cl/Cd alpha,9.75
Url,http://airfoiltools.com/polar/csv?polar=xf-la2573a-il-500000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-8.500,-0.4799,0.08748,0.08350,0.0104,0.4761,0.0394
-8.250,-0.4867,0.08274,0.07879,0.0070,0.4751,0.0402
-8.000,-0.5857,0.06500,0.06078,-0.0041,0.4781,0.0420
-7.750,-0.5765,0.06272,0.05849,-0.0035,0.4763,0.0422
-7.500,-0.5667,0.06056,0.05629,-0.0030,0.4745,0.0424
-7.250,-0.5560,0.05845,0.05413,-0.0025,0.4728,0.0426
-7.000,-0.5446,0.05632,0.05193,-0.0020,0.4711,0.0429
-6.750,-0.5333,0.05385,0.04936,-0.0016,0.4694,0.0433
-6.500,-0.5482,0.04477,0.03948,0.0003,0.4691,0.0472
-6.250,-0.5290,0.04287,0.03757,0.0006,0.4670,0.0475
-6.000,-0.5092,0.04138,0.03606,0.0011,0.4649,0.0478
-5.750,-0.4894,0.03984,0.03448,0.0016,0.4636,0.0482
-5.500,-0.4977,0.02823,0.02138,0.0067,0.4633,0.0422
-5.250,-0.4729,0.02670,0.01983,0.0072,0.4616,0.0413
-5.000,-0.4505,0.02464,0.01757,0.0080,0.4600,0.0408
-4.750,-0.4270,0.02276,0.01543,0.0089,0.4584,0.0406
-4.500,-0.4020,0.02130,0.01372,0.0097,0.4567,0.0408
-4.250,-0.3761,0.02026,0.01244,0.0104,0.4550,0.0413
-4.000,-0.3494,0.01936,0.01135,0.0109,0.4533,0.0416
-3.750,-0.3223,0.01869,0.01052,0.0114,0.4516,0.0418
-3.500,-0.2953,0.01756,0.00931,0.0117,0.4498,0.0422
-3.250,-0.2681,0.01691,0.00863,0.0120,0.4477,0.0428
-3.000,-0.2408,0.01656,0.00825,0.0123,0.4455,0.0434
-2.750,-0.2130,0.01610,0.00780,0.0126,0.4445,0.0440
-2.500,-0.1853,0.01568,0.00737,0.0129,0.4433,0.0448
-2.250,-0.1576,0.01533,0.00700,0.0133,0.4419,0.0458
-2.000,-0.1296,0.01509,0.00671,0.0136,0.4402,0.0467
-1.750,-0.1029,0.01451,0.00616,0.0140,0.4385,0.0477
-1.500,-0.0757,0.01418,0.00586,0.0144,0.4367,0.0487
-1.250,-0.0483,0.01393,0.00562,0.0147,0.4350,0.0500
-1.000,-0.0208,0.01371,0.00539,0.0151,0.4335,0.0513
-0.750,0.0067,0.01354,0.00519,0.0154,0.4320,0.0526
-0.500,0.0334,0.01326,0.00494,0.0158,0.4305,0.0547
-0.250,0.0610,0.01318,0.00486,0.0161,0.4287,0.0572
0.000,0.0880,0.01319,0.00487,0.0164,0.4264,0.0598
0.250,0.1157,0.01299,0.00473,0.0167,0.4253,0.0631
0.500,0.1434,0.01283,0.00461,0.0170,0.4240,0.0678
0.750,0.1712,0.01270,0.00454,0.0172,0.4226,0.0757
