Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-la5055-il-1000000
Airfoil,la5055-il
Reynolds number,1000000
Ncrit,9
Mach,0
Max Cl/Cd,149.585
Max Cl/Cd alpha,6
Url,http://airfoiltools.com/polar/csv?polar=xf-la5055-il-1000000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-9.750,-0.1914,0.10090,0.09731,-0.0342,0.5331,0.0310
-9.500,-0.1909,0.09673,0.09315,-0.0367,0.5326,0.0311
-9.250,-0.1871,0.09318,0.08960,-0.0386,0.5323,0.0311
-9.000,-0.1837,0.08945,0.08588,-0.0398,0.5320,0.0313
-8.750,-0.1747,0.08706,0.08350,-0.0406,0.5315,0.0314
-8.500,-0.1653,0.08483,0.08128,-0.0413,0.5310,0.0315
-8.250,-0.1559,0.08267,0.07912,-0.0421,0.5303,0.0316
-8.000,-0.1481,0.08039,0.07684,-0.0430,0.5295,0.0318
-7.750,-0.1412,0.07810,0.07457,-0.0440,0.5284,0.0320
-7.500,-0.1349,0.07585,0.07234,-0.0449,0.5276,0.0323
-7.250,-0.1321,0.07320,0.06972,-0.0462,0.5271,0.0325
-7.000,-0.1319,0.07044,0.06699,-0.0474,0.5269,0.0328
-6.750,-0.1705,0.05854,0.05505,-0.0609,0.5269,0.0351
-6.500,-0.1829,0.04895,0.04529,-0.0664,0.5268,0.0354
-6.250,-0.1679,0.04696,0.04326,-0.0670,0.5266,0.0356
-6.000,-0.1514,0.04491,0.04116,-0.0676,0.5263,0.0357
-5.750,-0.1327,0.04321,0.03942,-0.0681,0.5260,0.0359
-5.500,-0.1137,0.04122,0.03736,-0.0687,0.5257,0.0361
-5.250,-0.0937,0.03929,0.03536,-0.0693,0.5253,0.0365
-5.000,-0.0888,0.02956,0.02484,-0.0704,0.5250,0.0400
-4.750,-0.0644,0.02842,0.02368,-0.0705,0.5244,0.0402
-4.500,-0.0395,0.02743,0.02265,-0.0705,0.5235,0.0404
-4.250,-0.0141,0.02654,0.02172,-0.0706,0.5223,0.0406
-4.000,0.0036,0.02106,0.01566,-0.0698,0.5215,0.0378
-3.750,0.0267,0.01812,0.01230,-0.0693,0.5207,0.0379
-3.500,0.0536,0.01704,0.01102,-0.0691,0.5199,0.0386
-3.250,0.0809,0.01610,0.00991,-0.0689,0.5192,0.0389
-3.000,0.1089,0.01542,0.00910,-0.0688,0.5185,0.0391
-2.750,0.1372,0.01494,0.00852,-0.0687,0.5178,0.0394
