Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-m4-il-500000
Airfoil,m4-il
Reynolds number,500000
Ncrit,9
Mach,0
Max Cl/Cd,71.938
Max Cl/Cd alpha,4.25
Url,http://airfoiltools.com/polar/csv?polar=xf-m4-il-500000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-11.500,-0.5236,0.13926,0.13722,0.0294,1.0000,0.0139
-11.250,-0.5224,0.13568,0.13364,0.0282,1.0000,0.0139
-9.750,-0.6480,0.12162,0.11953,0.0397,1.0000,0.0144
-9.500,-0.6423,0.11820,0.11610,0.0395,1.0000,0.0147
-9.250,-0.6378,0.11476,0.11268,0.0385,1.0000,0.0150
-9.000,-0.6339,0.11120,0.10913,0.0371,1.0000,0.0154
-8.750,-0.6304,0.10753,0.10545,0.0354,1.0000,0.0158
-8.500,-0.6274,0.10375,0.10169,0.0334,1.0000,0.0162
-8.250,-0.6245,0.09993,0.09788,0.0312,1.0000,0.0170
-7.250,-0.5973,0.08200,0.07991,0.0110,1.0000,0.0194
-7.000,-0.5848,0.07716,0.07502,0.0076,1.0000,0.0195
-6.750,-0.5711,0.07221,0.07000,0.0047,1.0000,0.0195
-6.500,-0.5562,0.06714,0.06484,0.0022,1.0000,0.0196
-6.000,-0.5309,0.05344,0.05084,-0.0021,1.0000,0.0199
-5.750,-0.5189,0.04928,0.04660,-0.0027,1.0000,0.0207
-5.500,-0.5003,0.04708,0.04434,-0.0031,1.0000,0.0216
-5.250,-0.4791,0.04430,0.04145,-0.0036,1.0000,0.0229
-3.250,-0.2813,0.01782,0.01249,-0.0010,0.9035,0.0350
-3.000,-0.2574,0.01640,0.01070,0.0004,0.8784,0.0363
-2.750,-0.2322,0.01543,0.00946,0.0014,0.8568,0.0376
-2.500,-0.2060,0.01434,0.00811,0.0021,0.8373,0.0379
-2.250,-0.1793,0.01364,0.00722,0.0027,0.8194,0.0386
-2.000,-0.1525,0.01280,0.00616,0.0031,0.8032,0.0401
-1.750,-0.1259,0.01175,0.00497,0.0036,0.7884,0.0407
-1.500,-0.0992,0.01105,0.00418,0.0040,0.7743,0.0414
-1.250,-0.0723,0.01055,0.00360,0.0043,0.7609,0.0419
-1.000,-0.0453,0.01015,0.00314,0.0045,0.7481,0.0428
-0.750,-0.0181,0.00984,0.00278,0.0047,0.7360,0.0444
-0.500,0.0093,0.00957,0.00246,0.0049,0.7244,0.0454
-0.250,0.0368,0.00936,0.00219,0.0051,0.7132,0.0470
0.000,0.0645,0.00920,0.00198,0.0052,0.7022,0.0496
0.250,0.0925,0.00908,0.00181,0.0053,0.6908,0.0523
0.500,0.1204,0.00892,0.00166,0.0053,0.6797,0.0618
0.750,0.1436,0.00751,0.00158,0.0055,0.6694,0.5117
1.000,0.2126,0.00644,0.00185,-0.0030,0.6569,1.0000
1.250,0.2393,0.00648,0.00180,-0.0028,0.6457,1.0000
1.500,0.2660,0.00650,0.00177,-0.0025,0.6338,1.0000
1.750,0.2927,0.00654,0.00176,-0.0022,0.6219,1.0000
2.000,0.3193,0.00659,0.00177,-0.0020,0.6099,1.0000
2.250,0.3459,0.00664,0.00178,-0.0017,0.5969,1.0000
2.500,0.3723,0.00671,0.00177,-0.0014,0.5772,1.0000
2.750,0.3987,0.00678,0.00178,-0.0011,0.5559,1.0000
3.000,0.4252,0.00686,0.00184,-0.0008,0.5394,1.0000
3.250,0.4516,0.00697,0.00189,-0.0005,0.5202,1.0000
3.500,0.4780,0.00711,0.00195,-0.0003,0.4920,1.0000
3.750,0.5044,0.00726,0.00203,0.0000,0.4648,1.0000
4.000,0.5306,0.00747,0.00216,0.0002,0.4319,1.0000
4.250,0.5568,0.00774,0.00230,0.0004,0.3900,1.0000
4.500,0.5827,0.00820,0.00249,0.0005,0.3192,1.0000
4.750,0.6067,0.00967,0.00309,0.0000,0.1312,1.0000
5.000,0.6317,0.01076,0.00376,0.0000,0.0476,1.0000
5.250,0.6575,0.01131,0.00434,0.0002,0.0376,1.0000
5.500,0.6832,0.01189,0.00496,0.0004,0.0314,1.0000
5.750,0.7083,0.01275,0.00591,0.0007,0.0273,1.0000
6.000,0.7340,0.01320,0.00641,0.0009,0.0241,1.0000
6.250,0.7589,0.01390,0.00715,0.0012,0.0214,1.0000
6.500,0.7804,0.01571,0.00908,0.0018,0.0194,1.0000
6.750,0.8052,0.01639,0.00985,0.0022,0.0185,1.0000
7.000,0.8293,0.01730,0.01084,0.0027,0.0173,1.0000
7.250,0.8537,0.01796,0.01156,0.0031,0.0158,1.0000
7.500,0.8773,0.01887,0.01252,0.0035,0.0148,1.0000
7.750,0.8992,0.02044,0.01420,0.0041,0.0140,1.0000
8.000,0.9175,0.02406,0.01808,0.0052,0.0134,1.0000
8.250,0.9377,0.02649,0.02083,0.0060,0.0130,1.0000
8.500,0.9565,0.02918,0.02385,0.0070,0.0129,1.0000
9.000,0.9858,0.03654,0.03182,0.0090,0.0136,1.0000
9.250,0.9964,0.04008,0.03569,0.0100,0.0136,1.0000
12.500,0.6807,0.12015,0.11795,-0.0104,0.0209,1.0000
12.750,0.6787,0.12338,0.12121,-0.0110,0.0204,1.0000
