Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-marske2-il-500000
Airfoil,marske2-il
Reynolds number,500000
Ncrit,9
Mach,0
Max Cl/Cd,72.3929
Max Cl/Cd alpha,10.25
Url,http://airfoiltools.com/polar/csv?polar=xf-marske2-il-500000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-10.750,-0.4617,0.08811,0.08592,-0.0103,1.0000,0.0300
-10.500,-0.4687,0.08251,0.08034,-0.0127,1.0000,0.0303
-10.250,-0.6903,0.06482,0.06201,-0.0254,1.0000,0.0290
-10.000,-0.6928,0.06226,0.05946,-0.0235,1.0000,0.0291
-9.750,-0.7018,0.05974,0.05689,-0.0206,1.0000,0.0292
-9.500,-0.7585,0.04784,0.04441,-0.0136,1.0000,0.0245
-9.250,-0.7568,0.04545,0.04193,-0.0110,1.0000,0.0244
-9.000,-0.7619,0.04167,0.03792,-0.0073,1.0000,0.0242
-8.750,-0.7821,0.03472,0.03031,-0.0009,1.0000,0.0244
-8.500,-0.7892,0.02995,0.02488,0.0046,1.0000,0.0247
-8.250,-0.7794,0.02733,0.02209,0.0072,1.0000,0.0251
-8.000,-0.7600,0.02695,0.02176,0.0086,1.0000,0.0255
-7.750,-0.7403,0.02669,0.02153,0.0100,1.0000,0.0260
-7.500,-0.7246,0.02536,0.02006,0.0123,1.0000,0.0265
-7.250,-0.7096,0.02353,0.01797,0.0148,1.0000,0.0273
-7.000,-0.6938,0.02190,0.01600,0.0174,1.0000,0.0285
-6.750,-0.6762,0.02036,0.01427,0.0194,1.0000,0.0294
-6.500,-0.6567,0.01970,0.01363,0.0210,1.0000,0.0300
-6.250,-0.6315,0.01909,0.01302,0.0215,0.9989,0.0308
-6.000,-0.5883,0.01801,0.01183,0.0185,0.9910,0.0321
-5.750,-0.5470,0.01727,0.01088,0.0160,0.9781,0.0335
-5.500,-0.5053,0.01593,0.00958,0.0131,0.9642,0.0350
-5.250,-0.4570,0.01519,0.00883,0.0089,0.9413,0.0365
-5.000,-0.4076,0.01444,0.00795,0.0047,0.8960,0.0382
-4.750,-0.3780,0.01391,0.00719,0.0048,0.8382,0.0396
-4.500,-0.3553,0.01347,0.00662,0.0061,0.7965,0.0409
-4.250,-0.3322,0.01319,0.00622,0.0073,0.7691,0.0421
-4.000,-0.3087,0.01291,0.00584,0.0085,0.7485,0.0434
-3.500,-0.2625,0.01224,0.00499,0.0110,0.7131,0.0464
-3.250,-0.2398,0.01190,0.00462,0.0122,0.6965,0.0480
-3.000,-0.2162,0.01165,0.00433,0.0134,0.6794,0.0497
-2.750,-0.1920,0.01146,0.00407,0.0144,0.6595,0.0517
-2.500,-0.1689,0.01118,0.00373,0.0156,0.6350,0.0539
-2.250,-0.1461,0.01093,0.00341,0.0169,0.6053,0.0567
-2.000,-0.1226,0.01083,0.00317,0.0180,0.5663,0.0598
-1.750,-0.1000,0.01075,0.00292,0.0193,0.5228,0.0644
-1.500,-0.0768,0.01073,0.00275,0.0204,0.4771,0.0709
-1.250,-0.0545,0.01065,0.00258,0.0217,0.4299,0.0898
-1.000,-0.0558,0.00880,0.00216,0.0268,0.3991,0.5066
-0.750,-0.0565,0.00780,0.00217,0.0331,0.3704,0.7792
-0.500,-0.0349,0.00793,0.00234,0.0350,0.3398,0.8430
-0.250,-0.0109,0.00814,0.00248,0.0364,0.3188,0.8700
0.000,0.0143,0.00835,0.00261,0.0374,0.3041,0.8881
0.250,0.0420,0.00857,0.00278,0.0380,0.2929,0.9023
