Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-mh26-il-500000
Airfoil,mh26-il
Reynolds number,500000
Ncrit,9
Mach,0
Max Cl/Cd,77.8366
Max Cl/Cd alpha,3
Url,http://airfoiltools.com/polar/csv?polar=xf-mh26-il-500000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-9.000,-0.5118,0.08406,0.08198,-0.0414,0.9953,0.0134
-8.750,-0.5210,0.07697,0.07488,-0.0493,0.9930,0.0133
-8.500,-0.5369,0.07239,0.07024,-0.0509,0.9900,0.0131
-8.250,-0.5506,0.06855,0.06631,-0.0507,0.9864,0.0131
-8.000,-0.5527,0.06314,0.06076,-0.0522,0.9838,0.0135
-7.750,-0.5598,0.05976,0.05726,-0.0498,0.9794,0.0133
-7.500,-0.5605,0.05536,0.05268,-0.0480,0.9755,0.0142
-7.250,-0.5470,0.05188,0.04896,-0.0473,0.9731,0.0151
-7.000,-0.5288,0.04933,0.04611,-0.0468,0.9713,0.0157
-4.750,-0.4082,0.02190,0.01587,-0.0268,0.9449,0.0091
-4.500,-0.3941,0.01948,0.01324,-0.0237,0.9408,0.0081
-4.250,-0.3728,0.01806,0.01166,-0.0221,0.9375,0.0077
-4.000,-0.3461,0.01692,0.01039,-0.0216,0.9353,0.0076
-3.750,-0.3176,0.01600,0.00934,-0.0217,0.9336,0.0077
-3.500,-0.2864,0.01527,0.00851,-0.0223,0.9323,0.0085
-3.250,-0.2523,0.01477,0.00794,-0.0236,0.9313,0.0090
-2.250,-0.2075,0.01051,0.00637,-0.0105,0.9120,0.6656
-2.000,-0.1812,0.01003,0.00662,-0.0094,0.9095,0.8574
-1.750,-0.1397,0.01037,0.00697,-0.0116,0.9085,0.9100
-1.500,-0.0983,0.01062,0.00714,-0.0140,0.9075,0.9242
-1.250,-0.0524,0.01085,0.00730,-0.0175,0.9070,0.9322
-1.000,0.0082,0.01120,0.00757,-0.0244,0.9076,0.9361
-0.750,0.0567,0.01139,0.00770,-0.0285,0.9072,0.9433
-0.500,0.1290,0.01162,0.00788,-0.0380,0.9088,0.9448
-0.250,0.1841,0.01154,0.00776,-0.0438,0.9089,0.9456
0.000,0.2353,0.01137,0.00757,-0.0488,0.9083,0.9465
0.250,0.2845,0.01114,0.00733,-0.0534,0.9073,0.9477
0.500,0.3321,0.01090,0.00707,-0.0576,0.9062,0.9493
0.750,0.3780,0.01061,0.00679,-0.0614,0.9047,0.9515
1.000,0.3995,0.01054,0.00674,-0.0599,0.8972,0.9575
1.250,0.4443,0.01021,0.00642,-0.0635,0.8939,0.9586
1.500,0.4888,0.00983,0.00605,-0.0670,0.8904,0.9597
1.750,0.5188,0.00965,0.00590,-0.0674,0.8807,0.9630
2.000,0.5446,0.00946,0.00576,-0.0668,0.8696,0.9672
2.250,0.5702,0.00928,0.00560,-0.0663,0.8557,0.9707
2.500,0.6072,0.00896,0.00529,-0.0682,0.8368,0.9721
2.750,0.6438,0.00870,0.00497,-0.0700,0.8023,0.9733
3.000,0.6764,0.00869,0.00471,-0.0709,0.7461,0.9749
3.250,0.6987,0.00899,0.00471,-0.0697,0.6794,0.9780
3.500,0.7107,0.00948,0.00493,-0.0664,0.6214,0.9826
3.750,0.7357,0.00974,0.00492,-0.0662,0.5555,0.9845
4.000,0.7589,0.01010,0.00503,-0.0657,0.4924,0.9868
4.250,0.7808,0.01051,0.00518,-0.0649,0.4317,0.9894
4.500,0.8018,0.01093,0.00537,-0.0639,0.3757,0.9921
4.750,0.8232,0.01139,0.00559,-0.0631,0.3196,0.9943
5.000,0.8479,0.01188,0.00578,-0.0631,0.2556,0.9961
5.250,0.8727,0.01231,0.00600,-0.0631,0.2084,0.9979
5.500,0.8977,0.01277,0.00630,-0.0631,0.1659,0.9995
5.750,0.9151,0.01325,0.00662,-0.0615,0.1297,1.0000
6.000,0.9289,0.01370,0.00696,-0.0590,0.1033,1.0000
6.250,0.9421,0.01419,0.00734,-0.0564,0.0786,1.0000
6.500,0.9544,0.01471,0.00777,-0.0536,0.0579,1.0000
6.750,0.9659,0.01526,0.00826,-0.0507,0.0425,1.0000
7.000,0.9766,0.01584,0.00885,-0.0474,0.0332,1.0000
7.250,0.9858,0.01646,0.00947,-0.0439,0.0276,1.0000
7.500,0.9953,0.01698,0.01007,-0.0405,0.0246,1.0000
7.750,1.0065,0.01730,0.01044,-0.0375,0.0218,1.0000
8.000,1.0113,0.01779,0.01097,-0.0332,0.0182,1.0000
8.250,1.0116,0.01839,0.01167,-0.0280,0.0164,1.0000
8.500,1.0183,0.01871,0.01206,-0.0241,0.0150,1.0000
8.750,1.0251,0.01907,0.01247,-0.0203,0.0128,1.0000
9.000,1.0174,0.02031,0.01381,-0.0138,0.0099,1.0000
9.250,1.0248,0.02073,0.01430,-0.0101,0.0082,1.0000
9.500,1.0309,0.02123,0.01485,-0.0064,0.0076,1.0000
9.750,1.0304,0.02216,0.01582,-0.0017,0.0060,1.0000
10.000,1.0224,0.02383,0.01768,0.0044,0.0056,1.0000
10.250,1.0342,0.02397,0.01787,0.0069,0.0051,1.0000
10.500,1.0408,0.02458,0.01856,0.0102,0.0047,1.0000
10.750,1.0437,0.02555,0.01965,0.0140,0.0044,1.0000
11.000,1.0451,0.02672,0.02095,0.0179,0.0041,1.0000
11.250,1.0484,0.02778,0.02212,0.0213,0.0039,1.0000
11.500,1.0550,0.02852,0.02294,0.0240,0.0036,1.0000
11.750,1.0532,0.03011,0.02465,0.0276,0.0033,1.0000
12.000,1.0517,0.03183,0.02655,0.0310,0.0033,1.0000
12.250,1.0308,0.03564,0.03069,0.0360,0.0031,1.0000
12.500,1.0260,0.03784,0.03307,0.0389,0.0031,1.0000
12.750,1.0153,0.04071,0.03617,0.0418,0.0030,1.0000
13.000,1.0153,0.04247,0.03809,0.0435,0.0029,1.0000
13.250,1.0061,0.04541,0.04124,0.0453,0.0028,1.0000
13.500,0.9839,0.05012,0.04619,0.0467,0.0029,1.0000
13.750,0.9805,0.05285,0.04909,0.0470,0.0026,1.0000
14.000,0.9592,0.05825,0.05469,0.0464,0.0028,1.0000
14.250,0.9436,0.06350,0.06014,0.0448,0.0028,1.0000
14.500,0.9248,0.06982,0.06663,0.0421,0.0028,1.0000
14.750,0.8990,0.07793,0.07489,0.0381,0.0030,1.0000
15.000,0.8852,0.08477,0.08189,0.0342,0.0029,1.0000
