Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-mh70-il-500000
Airfoil,mh70-il
Reynolds number,500000
Ncrit,9
Mach,0
Max Cl/Cd,95.0483
Max Cl/Cd alpha,5.25
Url,http://airfoiltools.com/polar/csv?polar=xf-mh70-il-500000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-9.250,-0.3766,0.09219,0.09000,-0.0253,1.0000,0.0174
-9.000,-0.3844,0.08489,0.08275,-0.0307,1.0000,0.0183
-8.750,-0.3884,0.07907,0.07697,-0.0346,1.0000,0.0184
-7.750,-0.3959,0.04970,0.04741,-0.0644,0.9477,0.0189
-7.500,-0.3836,0.04722,0.04481,-0.0659,0.9229,0.0191
-7.250,-0.3778,0.04424,0.04163,-0.0660,0.9024,0.0194
-7.000,-0.3699,0.04132,0.03850,-0.0658,0.8869,0.0199
-6.750,-0.3601,0.03806,0.03498,-0.0656,0.8741,0.0206
-6.500,-0.3709,0.02412,0.01923,-0.0623,0.8618,0.0119
-6.250,-0.3523,0.02105,0.01593,-0.0614,0.8525,0.0113
-6.000,-0.3306,0.01882,0.01331,-0.0604,0.8440,0.0112
-5.750,-0.3069,0.01723,0.01137,-0.0595,0.8357,0.0114
-5.500,-0.2818,0.01606,0.00996,-0.0588,0.8277,0.0116
-5.250,-0.2567,0.01499,0.00868,-0.0581,0.8200,0.0119
-5.000,-0.2320,0.01391,0.00754,-0.0575,0.8123,0.0124
-4.750,-0.2062,0.01326,0.00681,-0.0570,0.8047,0.0129
-4.500,-0.1796,0.01286,0.00634,-0.0567,0.7974,0.0140
-4.250,-0.1528,0.01246,0.00584,-0.0563,0.7898,0.0148
-4.000,-0.1275,0.01167,0.00501,-0.0557,0.7829,0.0158
-3.750,-0.1008,0.01120,0.00449,-0.0554,0.7752,0.0173
-3.500,-0.0742,0.01072,0.00392,-0.0549,0.7685,0.0194
-3.250,-0.0470,0.01026,0.00345,-0.0546,0.7606,0.0258
-3.000,-0.0207,0.00969,0.00297,-0.0542,0.7539,0.0563
-2.750,0.0054,0.00908,0.00272,-0.0540,0.7460,0.1378
-2.500,0.0318,0.00869,0.00255,-0.0538,0.7388,0.2122
-2.250,0.0586,0.00834,0.00243,-0.0537,0.7309,0.2839
-2.000,0.0853,0.00805,0.00232,-0.0534,0.7234,0.3559
-1.750,0.1123,0.00778,0.00224,-0.0532,0.7153,0.4210
-1.500,0.1386,0.00752,0.00216,-0.0529,0.7075,0.4967
-1.250,0.1644,0.00718,0.00212,-0.0524,0.6991,0.5909
-1.000,0.1896,0.00691,0.00208,-0.0516,0.6911,0.6784
-0.750,0.2141,0.00663,0.00209,-0.0506,0.6821,0.7670
-0.500,0.2376,0.00647,0.00209,-0.0491,0.6738,0.8450
-0.250,0.2627,0.00637,0.00210,-0.0479,0.6642,0.9069
0.000,0.2957,0.00637,0.00208,-0.0485,0.6547,0.9484
0.250,0.3351,0.00641,0.00202,-0.0507,0.6442,0.9727
0.500,0.3784,0.00644,0.00198,-0.0538,0.6325,0.9867
0.750,0.4221,0.00647,0.00192,-0.0571,0.6204,0.9970
1.000,0.4534,0.00652,0.00189,-0.0578,0.6087,1.0000
1.500,0.5027,0.00667,0.00189,-0.0564,0.5842,1.0000
1.750,0.5277,0.00676,0.00190,-0.0558,0.5709,1.0000
2.000,0.5528,0.00686,0.00194,-0.0552,0.5572,1.0000
2.250,0.5780,0.00698,0.00198,-0.0546,0.5433,1.0000
2.500,0.6033,0.00710,0.00203,-0.0540,0.5286,1.0000
2.750,0.6287,0.00724,0.00210,-0.0535,0.5135,1.0000
3.000,0.6543,0.00740,0.00218,-0.0530,0.4980,1.0000
3.250,0.6800,0.00756,0.00227,-0.0526,0.4821,1.0000
3.500,0.7057,0.00773,0.00238,-0.0521,0.4661,1.0000
3.750,0.7314,0.00792,0.00249,-0.0517,0.4494,1.0000
4.000,0.7572,0.00812,0.00263,-0.0514,0.4332,1.0000
4.250,0.7829,0.00833,0.00278,-0.0510,0.4162,1.0000
4.500,0.8085,0.00856,0.00293,-0.0506,0.3992,1.0000
4.750,0.8340,0.00881,0.00311,-0.0502,0.3822,1.0000
5.000,0.8594,0.00906,0.00330,-0.0498,0.3651,1.0000
5.250,0.8849,0.00931,0.00349,-0.0495,0.3487,1.0000
5.500,0.9103,0.00958,0.00371,-0.0491,0.3321,1.0000
5.750,0.9354,0.00987,0.00394,-0.0487,0.3155,1.0000
6.000,0.9604,0.01016,0.00418,-0.0483,0.2999,1.0000
6.250,0.9853,0.01047,0.00444,-0.0479,0.2844,1.0000
6.500,1.0100,0.01079,0.00472,-0.0475,0.2699,1.0000
6.750,1.0344,0.01113,0.00501,-0.0471,0.2559,1.0000
7.000,1.0587,0.01148,0.00532,-0.0466,0.2425,1.0000
7.250,1.0825,0.01185,0.00564,-0.0461,0.2296,1.0000
7.500,1.1065,0.01221,0.00597,-0.0456,0.2172,1.0000
7.750,1.1305,0.01256,0.00632,-0.0451,0.2058,1.0000
8.000,1.1539,0.01294,0.00668,-0.0446,0.1949,1.0000
8.250,1.1767,0.01336,0.00708,-0.0440,0.1847,1.0000
8.500,1.1993,0.01378,0.00747,-0.0433,0.1745,1.0000
8.750,1.2222,0.01416,0.00788,-0.0427,0.1651,1.0000
9.000,1.2438,0.01463,0.00833,-0.0420,0.1561,1.0000
9.250,1.2652,0.01509,0.00878,-0.0412,0.1472,1.0000
9.500,1.2866,0.01553,0.00925,-0.0404,0.1392,1.0000
9.750,1.3057,0.01611,0.00980,-0.0393,0.1309,1.0000
10.000,1.3267,0.01653,0.01026,-0.0385,0.1234,1.0000
10.250,1.3448,0.01711,0.01085,-0.0373,0.1161,1.0000
10.500,1.3630,0.01765,0.01140,-0.0361,0.1088,1.0000
10.750,1.3798,0.01824,0.01202,-0.0348,0.1022,1.0000
11.000,1.3935,0.01886,0.01265,-0.0329,0.0960,1.0000
11.250,1.4056,0.01952,0.01334,-0.0309,0.0904,1.0000
11.500,1.4168,0.02025,0.01409,-0.0289,0.0846,1.0000
11.750,1.4271,0.02108,0.01496,-0.0269,0.0793,1.0000
12.000,1.4374,0.02196,0.01586,-0.0252,0.0739,1.0000
12.250,1.4455,0.02303,0.01697,-0.0234,0.0690,1.0000
12.500,1.4554,0.02406,0.01804,-0.0219,0.0644,1.0000
12.750,1.4601,0.02550,0.01950,-0.0203,0.0600,1.0000
13.000,1.4701,0.02663,0.02072,-0.0191,0.0562,1.0000
13.250,1.4742,0.02828,0.02239,-0.0178,0.0523,1.0000
13.500,1.4803,0.02984,0.02403,-0.0168,0.0492,1.0000
13.750,1.4854,0.03155,0.02579,-0.0158,0.0460,1.0000
14.000,1.4838,0.03394,0.02822,-0.0149,0.0431,1.0000
14.250,1.4900,0.03570,0.03009,-0.0143,0.0408,1.0000
14.500,1.4922,0.03791,0.03237,-0.0138,0.0384,1.0000
14.750,1.4882,0.04083,0.03534,-0.0135,0.0363,1.0000
15.000,1.4876,0.04354,0.03816,-0.0134,0.0345,1.0000
15.250,1.4882,0.04620,0.04093,-0.0134,0.0328,1.0000
15.500,1.4843,0.04947,0.04428,-0.0138,0.0311,1.0000
15.750,1.4746,0.05362,0.04850,-0.0145,0.0298,1.0000
16.000,1.4701,0.05731,0.05232,-0.0153,0.0286,1.0000
16.250,1.4677,0.06088,0.05602,-0.0163,0.0273,1.0000
16.500,1.4615,0.06509,0.06033,-0.0176,0.0262,1.0000
16.750,1.4522,0.06990,0.06521,-0.0193,0.0251,1.0000
17.000,1.4370,0.07580,0.07121,-0.0216,0.0242,1.0000
17.250,1.4276,0.08093,0.07647,-0.0236,0.0236,1.0000
17.500,1.4201,0.08592,0.08160,-0.0257,0.0227,1.0000
17.750,1.4112,0.09126,0.08706,-0.0281,0.0220,1.0000
18.000,1.4002,0.09707,0.09297,-0.0308,0.0211,1.0000
18.250,1.3862,0.10350,0.09950,-0.0339,0.0206,1.0000
18.500,1.3714,0.11020,0.10629,-0.0373,0.0201,1.0000
