Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-n1h15-il-1000000
Airfoil,n1h15-il
Reynolds number,1000000
Ncrit,9
Mach,0
Max Cl/Cd,150.206
Max Cl/Cd alpha,5.75
Url,http://airfoiltools.com/polar/csv?polar=xf-n1h15-il-1000000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-10.250,-0.2687,0.09497,0.09232,-0.0483,0.7034,0.0211
-10.000,-0.2677,0.09111,0.08846,-0.0503,0.7024,0.0211
-9.750,-0.2773,0.08546,0.08283,-0.0527,0.7015,0.0213
-9.500,-0.2703,0.08334,0.08070,-0.0532,0.7006,0.0215
-9.250,-0.2653,0.08089,0.07826,-0.0542,0.6997,0.0216
-9.000,-0.2646,0.07793,0.07530,-0.0557,0.6986,0.0217
-8.750,-0.2660,0.07501,0.07239,-0.0572,0.6973,0.0219
-8.500,-0.2740,0.07186,0.06925,-0.0591,0.6960,0.0221
-8.250,-0.2816,0.06908,0.06649,-0.0594,0.6951,0.0223
-8.000,-0.2880,0.06591,0.06331,-0.0599,0.6941,0.0225
-7.750,-0.2874,0.06266,0.06004,-0.0608,0.6930,0.0229
-7.500,-0.2860,0.05899,0.05632,-0.0617,0.6918,0.0234
-7.000,-0.3124,0.04082,0.03751,-0.0607,0.6896,0.0256
-6.750,-0.2975,0.03919,0.03581,-0.0601,0.6885,0.0258
-6.500,-0.2805,0.03790,0.03446,-0.0595,0.6876,0.0261
-6.250,-0.2623,0.03665,0.03314,-0.0591,0.6866,0.0263
-6.000,-0.2449,0.03496,0.03134,-0.0583,0.6857,0.0267
-5.750,-0.2273,0.03308,0.02933,-0.0575,0.6847,0.0273
-5.500,-0.2101,0.03079,0.02685,-0.0563,0.6836,0.0284
-5.250,-0.1928,0.02831,0.02381,-0.0535,0.6822,0.0301
-5.000,-0.1861,0.02340,0.01858,-0.0510,0.6811,0.0310
-4.750,-0.1620,0.02253,0.01770,-0.0508,0.6803,0.0314
-4.500,-0.1378,0.02177,0.01689,-0.0506,0.6794,0.0319
-4.250,-0.1137,0.02092,0.01596,-0.0502,0.6784,0.0328
-4.000,-0.0892,0.01996,0.01483,-0.0496,0.6774,0.0344
-3.750,-0.0687,0.01627,0.01055,-0.0474,0.6764,0.0294
-3.500,-0.0427,0.01502,0.00915,-0.0471,0.6754,0.0291
-3.250,-0.0156,0.01415,0.00816,-0.0470,0.6744,0.0290
-3.000,0.0120,0.01369,0.00762,-0.0470,0.6733,0.0295
-2.750,0.0398,0.01316,0.00702,-0.0471,0.6722,0.0297
-2.500,0.0676,0.01276,0.00655,-0.0471,0.6712,0.0299
-2.250,0.0955,0.01248,0.00621,-0.0472,0.6702,0.0302
-2.000,0.1229,0.01182,0.00552,-0.0473,0.6693,0.0304
-1.750,0.1492,0.01123,0.00491,-0.0471,0.6681,0.0307
-1.500,0.1756,0.01092,0.00459,-0.0470,0.6668,0.0310
-1.250,0.2026,0.01061,0.00430,-0.0470,0.6661,0.0314
-1.000,0.2298,0.01037,0.00409,-0.0470,0.6651,0.0319
-0.750,0.2571,0.01018,0.00391,-0.0471,0.6640,0.0325
-0.500,0.2848,0.01003,0.00379,-0.0472,0.6628,0.0335
-0.250,0.3123,0.00988,0.00364,-0.0473,0.6616,0.0342
0.000,0.3399,0.00976,0.00352,-0.0474,0.6605,0.0350
0.250,0.3677,0.00965,0.00342,-0.0476,0.6594,0.0357
0.500,0.3952,0.00952,0.00328,-0.0477,0.6584,0.0366
0.750,0.4228,0.00939,0.00316,-0.0477,0.6573,0.0384
1.000,0.4506,0.00931,0.00308,-0.0479,0.6563,0.0405
1.250,0.4785,0.00925,0.00302,-0.0481,0.6552,0.0434
1.500,0.5048,0.00907,0.00301,-0.0479,0.6540,0.0991
1.750,0.5011,0.00731,0.00308,-0.0421,0.6523,0.7503
2.000,0.6506,0.00765,0.00399,-0.0681,0.6523,0.9799
2.250,0.7124,0.00784,0.00418,-0.0756,0.6518,0.9865
2.500,0.7611,0.00790,0.00424,-0.0804,0.6510,0.9911
2.750,0.8146,0.00784,0.00419,-0.0862,0.6498,0.9961
3.000,0.8562,0.00763,0.00400,-0.0894,0.6465,0.9988
3.250,0.8891,0.00756,0.00393,-0.0908,0.6446,0.9998
3.500,0.9170,0.00753,0.00390,-0.0912,0.6429,1.0000
3.750,0.9432,0.00749,0.00384,-0.0911,0.6406,1.0000
4.000,0.9689,0.00751,0.00383,-0.0909,0.6377,1.0000
4.250,0.9963,0.00753,0.00390,-0.0913,0.6355,1.0000
4.500,1.0236,0.00753,0.00395,-0.0916,0.6322,1.0000
4.750,1.0508,0.00749,0.00392,-0.0918,0.6282,1.0000
5.000,1.0773,0.00745,0.00385,-0.0918,0.6227,1.0000
5.250,1.1066,0.00750,0.00397,-0.0927,0.6148,1.0000
5.500,1.1350,0.00758,0.00404,-0.0933,0.6056,1.0000
5.750,1.1641,0.00775,0.00420,-0.0942,0.5940,1.0000
6.000,1.1956,0.00814,0.00459,-0.0960,0.5751,1.0000
6.250,1.2301,0.01000,0.00618,-0.1008,0.5095,1.0000
6.500,1.2101,0.01415,0.00987,-0.0981,0.4209,1.0000
6.750,1.1763,0.01555,0.01120,-0.0883,0.4047,1.0000
7.000,1.1421,0.01727,0.01280,-0.0789,0.3787,1.0000
7.250,1.1119,0.01945,0.01477,-0.0711,0.3386,1.0000
7.500,1.0769,0.02227,0.01725,-0.0633,0.2762,1.0000
7.750,1.0494,0.02501,0.01961,-0.0569,0.2073,1.0000
8.000,1.0327,0.02737,0.02164,-0.0521,0.1456,1.0000
8.250,1.0242,0.02940,0.02340,-0.0484,0.0968,1.0000
8.500,1.0220,0.03113,0.02490,-0.0455,0.0584,1.0000
8.750,1.0303,0.03224,0.02595,-0.0437,0.0478,1.0000
9.000,1.0409,0.03324,0.02693,-0.0422,0.0441,1.0000
9.250,1.0519,0.03422,0.02791,-0.0408,0.0410,1.0000
9.500,1.0651,0.03507,0.02878,-0.0395,0.0397,1.0000
9.750,1.0779,0.03596,0.02967,-0.0383,0.0381,1.0000
10.000,1.0887,0.03700,0.03074,-0.0370,0.0368,1.0000
10.250,1.0986,0.03813,0.03187,-0.0356,0.0353,1.0000
10.500,1.1089,0.03924,0.03301,-0.0342,0.0342,1.0000
10.750,1.1224,0.04013,0.03393,-0.0332,0.0336,1.0000
11.000,1.1349,0.04112,0.03494,-0.0321,0.0329,1.0000
11.250,1.1466,0.04218,0.03603,-0.0311,0.0320,1.0000
11.500,1.1581,0.04325,0.03713,-0.0300,0.0313,1.0000
11.750,1.1689,0.04439,0.03828,-0.0289,0.0303,1.0000
12.000,1.1780,0.04569,0.03959,-0.0277,0.0294,1.0000
12.250,1.1819,0.04746,0.04141,-0.0261,0.0283,1.0000
12.500,1.1955,0.04843,0.04242,-0.0254,0.0279,1.0000
12.750,1.2076,0.04952,0.04355,-0.0245,0.0274,1.0000
13.000,1.2193,0.05066,0.04472,-0.0236,0.0269,1.0000
13.250,1.2303,0.05189,0.04598,-0.0228,0.0262,1.0000
13.500,1.2407,0.05317,0.04729,-0.0219,0.0256,1.0000
13.750,1.2525,0.05434,0.04847,-0.0212,0.0248,1.0000
14.000,1.2605,0.05585,0.05001,-0.0202,0.0243,1.0000
14.250,1.2604,0.05807,0.05227,-0.0187,0.0233,1.0000
14.500,1.2727,0.05925,0.05350,-0.0181,0.0230,1.0000
14.750,1.2845,0.06047,0.05476,-0.0176,0.0225,1.0000
15.000,1.2960,0.06172,0.05606,-0.0170,0.0220,1.0000
15.250,1.3064,0.06310,0.05748,-0.0164,0.0214,1.0000
15.500,1.3177,0.06442,0.05882,-0.0159,0.0208,1.0000
15.750,1.3258,0.06603,0.06047,-0.0152,0.0203,1.0000
16.000,1.3355,0.06748,0.06193,-0.0147,0.0198,1.0000
16.250,1.3340,0.07000,0.06450,-0.0136,0.0190,1.0000
16.500,1.3435,0.07153,0.06609,-0.0131,0.0188,1.0000
16.750,1.3540,0.07298,0.06760,-0.0127,0.0184,1.0000
17.000,1.3622,0.07465,0.06932,-0.0123,0.0181,1.0000
17.250,1.3699,0.07642,0.07115,-0.0119,0.0176,1.0000
17.500,1.3793,0.07801,0.07278,-0.0117,0.0171,1.0000
17.750,1.3861,0.07985,0.07467,-0.0113,0.0168,1.0000
18.000,1.3936,0.08169,0.07653,-0.0111,0.0163,1.0000
18.250,1.3975,0.08390,0.07878,-0.0107,0.0159,1.0000
18.500,1.3957,0.08671,0.08165,-0.0102,0.0154,1.0000
