Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-n63412-il-500000
Airfoil,n63412-il
Reynolds number,500000
Ncrit,9
Mach,0
Max Cl/Cd,99.7611
Max Cl/Cd alpha,5
Url,http://airfoiltools.com/polar/csv?polar=xf-n63412-il-500000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-10.500,-0.4722,0.08792,0.08560,-0.0423,1.0000,0.0281
-10.250,-0.6475,0.04785,0.04503,-0.0681,1.0000,0.0183
-10.000,-0.6706,0.04488,0.04194,-0.0661,1.0000,0.0182
-9.750,-0.6890,0.04136,0.03822,-0.0638,1.0000,0.0181
-9.500,-0.7076,0.03848,0.03516,-0.0597,1.0000,0.0180
-9.250,-0.6960,0.03218,0.02826,-0.0632,0.9947,0.0180
-9.000,-0.6719,0.02807,0.02359,-0.0659,0.9888,0.0185
-8.750,-0.6445,0.02423,0.01927,-0.0687,0.9845,0.0193
-8.500,-0.6128,0.02304,0.01801,-0.0708,0.9802,0.0201
-8.250,-0.5800,0.02191,0.01679,-0.0727,0.9756,0.0210
-8.000,-0.5458,0.02029,0.01496,-0.0748,0.9719,0.0218
-7.750,-0.5139,0.01894,0.01341,-0.0761,0.9653,0.0228
-7.500,-0.4805,0.01799,0.01227,-0.0776,0.9586,0.0236
-7.250,-0.4521,0.01622,0.01039,-0.0784,0.9500,0.0249
-7.000,-0.4217,0.01553,0.00968,-0.0793,0.9418,0.0262
-6.750,-0.3950,0.01489,0.00897,-0.0793,0.9310,0.0274
-6.500,-0.3686,0.01428,0.00826,-0.0792,0.9212,0.0286
-6.250,-0.3424,0.01380,0.00768,-0.0789,0.9116,0.0297
-6.000,-0.3192,0.01283,0.00664,-0.0784,0.9012,0.0316
-5.750,-0.2936,0.01235,0.00611,-0.0781,0.8923,0.0335
-5.500,-0.2679,0.01194,0.00564,-0.0778,0.8828,0.0354
-5.250,-0.2415,0.01160,0.00521,-0.0776,0.8741,0.0374
-5.000,-0.2159,0.01099,0.00454,-0.0774,0.8658,0.0408
-4.750,-0.1892,0.01067,0.00418,-0.0773,0.8571,0.0449
-4.500,-0.1622,0.01032,0.00375,-0.0772,0.8494,0.0498
-4.250,-0.1351,0.00998,0.00341,-0.0772,0.8409,0.0582
