Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-n64015a-il-200000
Airfoil,n64015a-il
Reynolds number,200000
Ncrit,9
Mach,0
Max Cl/Cd,49.9225
Max Cl/Cd alpha,5.75
Url,http://airfoiltools.com/polar/csv?polar=xf-n64015a-il-200000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-13.500,-0.8384,0.08370,0.07950,-0.0373,1.0000,0.0452
-13.250,-0.8593,0.07763,0.07333,-0.0394,1.0000,0.0445
-13.000,-0.8833,0.07183,0.06738,-0.0411,1.0000,0.0438
-12.750,-0.9096,0.06630,0.06164,-0.0419,1.0000,0.0429
-12.500,-1.0038,0.05676,0.05120,-0.0386,1.0000,0.0394
-12.250,-1.0205,0.05441,0.04855,-0.0354,1.0000,0.0390
-12.000,-1.0290,0.05232,0.04622,-0.0321,1.0000,0.0388
-11.750,-1.0299,0.04975,0.04339,-0.0297,1.0000,0.0387
-11.500,-1.0272,0.04641,0.03979,-0.0277,1.0000,0.0386
-11.250,-1.0232,0.04367,0.03677,-0.0255,1.0000,0.0386
-11.000,-1.0162,0.04102,0.03384,-0.0235,1.0000,0.0387
-10.750,-1.0008,0.03759,0.03017,-0.0228,1.0000,0.0391
-10.500,-0.9804,0.03515,0.02765,-0.0225,1.0000,0.0400
-10.250,-0.9627,0.03369,0.02612,-0.0217,1.0000,0.0411
-10.000,-0.9438,0.03229,0.02464,-0.0208,1.0000,0.0423
-9.750,-0.9239,0.03079,0.02299,-0.0199,1.0000,0.0434
-9.500,-0.9024,0.02930,0.02134,-0.0192,1.0000,0.0445
-9.250,-0.8812,0.02805,0.01992,-0.0183,1.0000,0.0456
-9.000,-0.8559,0.02639,0.01819,-0.0181,1.0000,0.0471
-8.750,-0.8351,0.02515,0.01704,-0.0174,1.0000,0.0492
-8.500,-0.8184,0.02433,0.01622,-0.0159,1.0000,0.0516
-8.250,-0.8025,0.02356,0.01538,-0.0141,1.0000,0.0541
