Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-n64212-il-500000
Airfoil,n64212-il
Reynolds number,500000
Ncrit,9
Mach,0
Max Cl/Cd,80.2509
Max Cl/Cd alpha,4.25
Url,http://airfoiltools.com/polar/csv?polar=xf-n64212-il-500000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-11.750,-0.4586,0.10346,0.10127,-0.0211,1.0000,0.0288
-11.500,-0.4642,0.09767,0.09550,-0.0237,1.0000,0.0295
-10.250,-0.7956,0.04463,0.04123,-0.0484,1.0000,0.0207
-10.000,-0.7957,0.04093,0.03730,-0.0467,1.0000,0.0193
-9.750,-0.8015,0.03680,0.03285,-0.0446,1.0000,0.0191
-9.500,-0.8003,0.03332,0.02902,-0.0426,1.0000,0.0191
-9.250,-0.7939,0.03043,0.02578,-0.0407,1.0000,0.0193
-9.000,-0.7837,0.02834,0.02341,-0.0387,1.0000,0.0196
-8.500,-0.7611,0.02370,0.01829,-0.0353,0.9981,0.0207
-8.250,-0.7282,0.02224,0.01673,-0.0374,0.9931,0.0214
-8.000,-0.6951,0.02086,0.01522,-0.0392,0.9878,0.0220
-7.750,-0.6602,0.01954,0.01378,-0.0413,0.9839,0.0227
-7.500,-0.6274,0.01837,0.01247,-0.0427,0.9770,0.0235
-7.250,-0.5924,0.01746,0.01145,-0.0446,0.9712,0.0246
-7.000,-0.5598,0.01703,0.01090,-0.0458,0.9619,0.0254
-6.750,-0.5338,0.01511,0.00893,-0.0461,0.9516,0.0267
-6.500,-0.5079,0.01441,0.00819,-0.0460,0.9402,0.0278
-6.250,-0.4844,0.01387,0.00759,-0.0453,0.9278,0.0290
-6.000,-0.4612,0.01339,0.00704,-0.0445,0.9158,0.0305
-5.750,-0.4370,0.01304,0.00662,-0.0439,0.9050,0.0319
-5.500,-0.4155,0.01223,0.00572,-0.0429,0.8946,0.0344
-5.250,-0.3914,0.01179,0.00524,-0.0424,0.8843,0.0371
