Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-naca63206-il-1000000
Airfoil,naca63206-il
Reynolds number,1000000
Ncrit,9
Mach,0
Max Cl/Cd,80.3368
Max Cl/Cd alpha,2
Url,http://airfoiltools.com/polar/csv?polar=xf-naca63206-il-1000000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-8.000,-0.5608,0.07767,0.07613,-0.0117,1.0000,0.0049
-7.750,-0.5664,0.07206,0.07056,-0.0175,1.0000,0.0051
-7.500,-0.5611,0.06632,0.06477,-0.0238,1.0000,0.0050
-7.250,-0.5561,0.06056,0.05894,-0.0283,1.0000,0.0051
-7.000,-0.5478,0.05537,0.05366,-0.0315,1.0000,0.0052
-6.750,-0.5364,0.05095,0.04913,-0.0337,1.0000,0.0054
-6.500,-0.5226,0.04752,0.04560,-0.0351,1.0000,0.0057
-6.250,-0.5065,0.04403,0.04198,-0.0362,1.0000,0.0061
-6.000,-0.4884,0.04034,0.03813,-0.0370,1.0000,0.0070
-4.000,-0.3055,0.01329,0.00878,-0.0340,0.9987,0.0082
-3.750,-0.2719,0.01082,0.00601,-0.0350,0.9967,0.0081
-3.250,-0.2050,0.00831,0.00322,-0.0376,0.9910,0.0112
-3.000,-0.1708,0.00783,0.00271,-0.0391,0.9872,0.0129
-2.750,-0.1357,0.00746,0.00230,-0.0407,0.9837,0.0158
-2.500,-0.1023,0.00725,0.00208,-0.0420,0.9780,0.0172
-2.250,-0.0690,0.00670,0.00139,-0.0432,0.9708,0.0208
-2.000,-0.0375,0.00637,0.00107,-0.0439,0.9612,0.0411
-1.750,-0.0087,0.00537,0.00083,-0.0448,0.9494,0.2793
-1.500,0.0179,0.00455,0.00071,-0.0450,0.9358,0.5087
-1.250,0.0441,0.00422,0.00067,-0.0448,0.9217,0.6174
-1.000,0.0699,0.00400,0.00067,-0.0443,0.9076,0.7027
-0.750,0.0959,0.00389,0.00067,-0.0437,0.8936,0.7564
-0.500,0.1215,0.00381,0.00069,-0.0431,0.8794,0.8038
-0.250,0.1475,0.00378,0.00069,-0.0425,0.8650,0.8322
0.000,0.1735,0.00378,0.00070,-0.0420,0.8493,0.8532
0.250,0.1993,0.00379,0.00070,-0.0414,0.8322,0.8737
0.500,0.2251,0.00381,0.00072,-0.0408,0.8144,0.8914
0.750,0.2503,0.00384,0.00074,-0.0400,0.7953,0.9090
1.000,0.2749,0.00389,0.00075,-0.0391,0.7700,0.9277
1.250,0.2980,0.00398,0.00074,-0.0379,0.7291,0.9483
1.500,0.3247,0.00410,0.00073,-0.0375,0.6844,0.9734
1.750,0.3550,0.00442,0.00077,-0.0382,0.6007,1.0000
2.000,0.3816,0.00475,0.00086,-0.0381,0.5315,1.0000
2.250,0.4066,0.00541,0.00102,-0.0379,0.3981,1.0000
2.500,0.4288,0.00677,0.00140,-0.0377,0.1453,1.0000
2.750,0.4542,0.00758,0.00175,-0.0376,0.0298,1.0000
3.000,0.4814,0.00798,0.00217,-0.0374,0.0198,1.0000
3.250,0.5088,0.00825,0.00249,-0.0374,0.0175,1.0000
3.500,0.5359,0.00863,0.00292,-0.0373,0.0149,1.0000
3.750,0.5624,0.00917,0.00352,-0.0370,0.0130,1.0000
4.000,0.5862,0.01049,0.00501,-0.0363,0.0115,1.0000
4.250,0.6125,0.01105,0.00562,-0.0360,0.0105,1.0000
4.500,0.6389,0.01162,0.00624,-0.0357,0.0094,1.0000
4.750,0.6648,0.01237,0.00709,-0.0354,0.0084,1.0000
5.000,0.6906,0.01323,0.00802,-0.0350,0.0077,1.0000
5.250,0.7165,0.01391,0.00877,-0.0348,0.0070,1.0000
5.750,0.7640,0.01841,0.01379,-0.0332,0.0051,1.0000
6.000,0.7846,0.02306,0.01898,-0.0315,0.0051,1.0000
6.250,0.8023,0.03126,0.02790,-0.0282,0.0072,1.0000
6.500,0.8206,0.03473,0.03164,-0.0272,0.0070,1.0000
6.750,0.8372,0.03813,0.03528,-0.0265,0.0067,1.0000
7.000,0.8520,0.04152,0.03888,-0.0259,0.0065,1.0000
7.250,0.8635,0.04557,0.04316,-0.0252,0.0063,1.0000
7.500,0.8710,0.05014,0.04799,-0.0248,0.0062,1.0000
7.750,0.8708,0.05597,0.05405,-0.0245,0.0060,1.0000
8.000,0.8625,0.06290,0.06116,-0.0247,0.0058,1.0000
8.250,0.8171,0.05909,0.05765,-0.0235,0.0060,1.0000
8.500,0.7984,0.06322,0.06184,-0.0230,0.0061,1.0000
8.750,0.7758,0.06954,0.06823,-0.0266,0.0062,1.0000
9.000,0.7515,0.08087,0.07960,-0.0358,0.0065,1.0000
