Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-naca644221-il-500000
Airfoil,naca644221-il
Reynolds number,500000
Ncrit,9
Mach,0
Max Cl/Cd,90.7239
Max Cl/Cd alpha,8.25
Url,http://airfoiltools.com/polar/csv?polar=xf-naca644221-il-500000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-19.750,-1.0626,0.08771,0.08267,-0.0510,1.0000,0.0296
-19.500,-1.0628,0.08438,0.07921,-0.0523,1.0000,0.0298
-19.250,-1.0551,0.08243,0.07723,-0.0526,1.0000,0.0301
-19.000,-1.0461,0.08072,0.07552,-0.0528,1.0000,0.0305
-18.750,-1.0388,0.07865,0.07343,-0.0534,1.0000,0.0309
-18.500,-1.0326,0.07638,0.07113,-0.0541,1.0000,0.0312
-18.250,-1.0266,0.07407,0.06878,-0.0548,1.0000,0.0316
-18.000,-1.0200,0.07190,0.06657,-0.0553,1.0000,0.0320
-17.750,-1.0134,0.06971,0.06432,-0.0559,1.0000,0.0325
-17.500,-1.0075,0.06746,0.06200,-0.0564,1.0000,0.0330
-17.250,-1.0001,0.06543,0.05990,-0.0569,1.0000,0.0334
-17.000,-0.9937,0.06321,0.05758,-0.0574,1.0000,0.0339
-16.750,-0.9848,0.06151,0.05585,-0.0575,1.0000,0.0343
-16.500,-0.9764,0.05987,0.05423,-0.0574,1.0000,0.0349
-16.250,-0.9679,0.05811,0.05247,-0.0576,1.0000,0.0354
-16.000,-0.9595,0.05632,0.05066,-0.0577,1.0000,0.0360
-15.750,-0.9512,0.05451,0.04882,-0.0579,1.0000,0.0366
-15.500,-0.9421,0.05281,0.04708,-0.0580,1.0000,0.0373
-15.250,-0.9327,0.05115,0.04536,-0.0581,1.0000,0.0380
-15.000,-0.9232,0.04952,0.04367,-0.0582,1.0000,0.0385
-14.750,-0.9172,0.04772,0.04189,-0.0580,1.0000,0.0394
-14.500,-0.9096,0.04602,0.04019,-0.0579,1.0000,0.0402
-14.250,-0.9015,0.04435,0.03852,-0.0578,1.0000,0.0409
-14.000,-0.8916,0.04285,0.03700,-0.0577,1.0000,0.0420
-13.750,-0.8814,0.04139,0.03550,-0.0576,1.0000,0.0430
-13.500,-0.8725,0.03986,0.03393,-0.0575,1.0000,0.0440
-13.250,-0.8670,0.03810,0.03220,-0.0572,1.0000,0.0451
-13.000,-0.8359,0.03619,0.03027,-0.0618,0.9537,0.0470
-12.750,-0.7973,0.03454,0.02849,-0.0674,0.9278,0.0491
-12.500,-0.7858,0.03280,0.02665,-0.0683,0.8982,0.0511
-12.250,-0.7782,0.03154,0.02529,-0.0674,0.8775,0.0528
-12.000,-0.7684,0.03051,0.02415,-0.0665,0.8619,0.0548
-11.750,-0.7649,0.02911,0.02267,-0.0652,0.8484,0.0571
-11.500,-0.7581,0.02788,0.02140,-0.0641,0.8364,0.0598
-11.250,-0.7499,0.02677,0.02022,-0.0630,0.8258,0.0629
-11.000,-0.7445,0.02549,0.01892,-0.0617,0.8154,0.0664
-10.750,-0.7371,0.02437,0.01774,-0.0604,0.8066,0.0708
-10.500,-0.7308,0.02318,0.01655,-0.0590,0.7974,0.0764
-10.250,-0.7255,0.02201,0.01534,-0.0575,0.7891,0.0826
-10.000,-0.7193,0.02085,0.01420,-0.0560,0.7808,0.0904
-9.750,-0.7136,0.01976,0.01310,-0.0543,0.7728,0.0997
-9.500,-0.7080,0.01869,0.01205,-0.0525,0.7654,0.1103
-9.250,-0.7037,0.01760,0.01100,-0.0505,0.7575,0.1233
-9.000,-0.7003,0.01658,0.00999,-0.0481,0.7503,0.1381
-8.750,-0.6981,0.01556,0.00904,-0.0455,0.7432,0.1558
-8.500,-0.6985,0.01463,0.00817,-0.0421,0.7359,0.1760
-8.250,-0.7016,0.01393,0.00751,-0.0379,0.7292,0.1991
-8.000,-0.6964,0.01309,0.00684,-0.0350,0.7228,0.2337
-7.750,-0.6892,0.01219,0.00615,-0.0325,0.7161,0.2809
