Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-naca747a415-il-500000
Airfoil,naca747a415-il
Reynolds number,500000
Ncrit,9
Mach,0
Max Cl/Cd,97.5427
Max Cl/Cd alpha,7.75
Url,http://airfoiltools.com/polar/csv?polar=xf-naca747a415-il-500000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-11.000,-0.4018,0.08636,0.08388,-0.0530,0.8724,0.0321
-10.750,-0.6396,0.04795,0.04458,-0.0657,0.8480,0.0250
-10.500,-0.6503,0.04597,0.04243,-0.0621,0.8332,0.0251
-10.250,-0.6560,0.04303,0.03929,-0.0591,0.8206,0.0240
-10.000,-0.6682,0.03938,0.03532,-0.0555,0.8092,0.0238
-9.750,-0.6782,0.03534,0.03083,-0.0517,0.7993,0.0237
-9.500,-0.6809,0.03152,0.02654,-0.0484,0.7896,0.0238
-9.250,-0.6745,0.02866,0.02323,-0.0458,0.7812,0.0240
-9.000,-0.6612,0.02686,0.02104,-0.0439,0.7725,0.0244
-8.750,-0.6466,0.02447,0.01828,-0.0424,0.7652,0.0248
-8.500,-0.6254,0.02318,0.01692,-0.0418,0.7573,0.0255
-8.000,-0.5800,0.02158,0.01510,-0.0406,0.7428,0.0267
-7.750,-0.5568,0.02049,0.01382,-0.0400,0.7359,0.0272
-7.500,-0.5326,0.01956,0.01272,-0.0394,0.7295,0.0279
-7.250,-0.5079,0.01872,0.01172,-0.0390,0.7226,0.0286
-7.000,-0.4832,0.01834,0.01115,-0.0384,0.7165,0.0292
-6.750,-0.4581,0.01691,0.00971,-0.0383,0.7102,0.0303
-6.500,-0.4331,0.01638,0.00914,-0.0379,0.7039,0.0312
-6.250,-0.4080,0.01588,0.00856,-0.0375,0.6981,0.0322
-6.000,-0.3826,0.01535,0.00798,-0.0371,0.6917,0.0333
-5.750,-0.3574,0.01491,0.00745,-0.0367,0.6858,0.0342
-5.500,-0.3337,0.01425,0.00673,-0.0361,0.6802,0.0356
-5.250,-0.3092,0.01379,0.00629,-0.0356,0.6743,0.0372
-5.000,-0.2842,0.01348,0.00593,-0.0352,0.6689,0.0390
-4.750,-0.2588,0.01318,0.00557,-0.0348,0.6638,0.0407
-4.500,-0.2353,0.01264,0.00502,-0.0341,0.6583,0.0431
-4.250,-0.2100,0.01236,0.00472,-0.0338,0.6532,0.0460
-4.000,-0.1843,0.01215,0.00444,-0.0334,0.6485,0.0495
-3.750,-0.1592,0.01179,0.00412,-0.0330,0.6434,0.0550
-3.500,-0.1339,0.01149,0.00381,-0.0327,0.6386,0.0621
-3.250,-0.1085,0.01124,0.00355,-0.0323,0.6343,0.0734
-3.000,-0.0834,0.01090,0.00333,-0.0319,0.6300,0.0984
-2.750,-0.0618,0.01023,0.00309,-0.0312,0.6256,0.1997
-2.500,-0.0446,0.00923,0.00282,-0.0299,0.6217,0.3905
-2.250,-0.0326,0.00801,0.00255,-0.0274,0.6180,0.6390
-2.000,-0.0108,0.00789,0.00283,-0.0257,0.6143,0.7644
