Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-nlf1015-il-50000
Airfoil,nlf1015-il
Reynolds number,50000
Ncrit,9
Mach,0
Max Cl/Cd,25.7773
Max Cl/Cd alpha,11.75
Url,http://airfoiltools.com/polar/csv?polar=xf-nlf1015-il-50000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-7.750,-0.4760,0.13180,0.12631,-0.0149,1.0000,0.2630
-7.500,-0.4517,0.12724,0.12170,-0.0129,1.0000,0.2719
-7.250,-0.4855,0.12677,0.12137,-0.0117,1.0000,0.2796
-7.000,-0.4678,0.12316,0.11773,-0.0097,1.0000,0.2912
-6.750,-0.4697,0.12046,0.11508,-0.0079,1.0000,0.2999
-6.500,-0.5142,0.12080,0.11557,-0.0054,1.0000,0.3100
-6.250,-0.4926,0.11687,0.11162,-0.0036,1.0000,0.3238
-6.000,-0.4849,0.11374,0.10850,-0.0018,1.0000,0.3341
-5.750,-0.4930,0.11151,0.10632,0.0007,1.0000,0.3469
-5.500,-0.5031,0.10952,0.10441,0.0034,1.0000,0.3609
-5.250,-0.5071,0.10735,0.10228,0.0062,1.0000,0.3768
-5.000,-0.5065,0.10511,0.10007,0.0090,1.0000,0.3947
-4.500,-0.5726,0.07625,0.07077,-0.0345,1.0000,0.2051
-4.250,-0.5100,0.05917,0.05181,-0.0555,1.0000,0.1227
-4.000,-0.4813,0.05489,0.04702,-0.0584,1.0000,0.1170
-3.750,-0.4494,0.05138,0.04284,-0.0613,1.0000,0.1151
-3.500,-0.4203,0.04891,0.03990,-0.0629,1.0000,0.1161
-3.250,-0.3911,0.04675,0.03727,-0.0641,1.0000,0.1166
-3.000,-0.3633,0.04505,0.03516,-0.0647,1.0000,0.1176
-2.750,-0.3366,0.04371,0.03348,-0.0647,1.0000,0.1207
-2.500,-0.3112,0.04271,0.03213,-0.0644,1.0000,0.1263
-2.250,-0.2890,0.04196,0.03142,-0.0636,1.0000,0.1378
-2.000,-0.2675,0.04129,0.03078,-0.0623,1.0000,0.1531
-1.750,-0.2430,0.04053,0.03022,-0.0617,1.0000,0.1865
-1.500,-0.2270,0.03901,0.03204,-0.0560,1.0000,0.6974
-1.250,-0.2424,0.03974,0.03281,-0.0443,1.0000,0.7744
-1.000,-0.2576,0.03985,0.03291,-0.0333,1.0000,0.8270
-0.750,-0.2696,0.03959,0.03257,-0.0237,1.0000,0.8777
-0.500,-0.2771,0.03892,0.03183,-0.0155,1.0000,0.9333
-0.250,-0.2308,0.03868,0.03124,-0.0195,1.0000,1.0000
0.000,-0.2175,0.03846,0.03075,-0.0195,1.0000,1.0000
0.250,-0.1983,0.03862,0.03062,-0.0205,1.0000,1.0000
0.500,-0.1755,0.03906,0.03078,-0.0222,1.0000,1.0000
0.750,-0.1505,0.03970,0.03117,-0.0242,1.0000,1.0000
1.000,-0.1245,0.04049,0.03170,-0.0264,1.0000,1.0000
1.250,-0.0979,0.04140,0.03239,-0.0287,1.0000,1.0000
1.500,-0.0711,0.04241,0.03320,-0.0310,1.0000,1.0000
1.750,-0.0444,0.04349,0.03410,-0.0332,1.0000,1.0000
2.000,-0.0179,0.04465,0.03508,-0.0355,1.0000,1.0000
2.250,0.0081,0.04587,0.03615,-0.0377,1.0000,1.0000
2.500,0.0337,0.04714,0.03729,-0.0398,1.0000,1.0000
2.750,0.0588,0.04847,0.03850,-0.0419,1.0000,1.0000
3.000,0.0833,0.04986,0.03979,-0.0439,1.0000,1.0000
3.250,0.1072,0.05130,0.04113,-0.0458,1.0000,1.0000
3.500,0.1397,0.05348,0.04320,-0.0493,0.9961,1.0000
3.750,0.1713,0.05561,0.04527,-0.0527,0.9900,1.0000
4.000,0.2088,0.05857,0.04813,-0.0572,0.9843,1.0000
4.250,0.2386,0.06055,0.05007,-0.0603,0.9751,1.0000
4.500,0.2648,0.06234,0.05184,-0.0628,0.9655,1.0000
