Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-nplx-il-1000000
Airfoil,nplx-il
Reynolds number,1000000
Ncrit,9
Mach,0
Max Cl/Cd,62.8463
Max Cl/Cd alpha,7.75
Url,http://airfoiltools.com/polar/csv?polar=xf-nplx-il-1000000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-13.250,-0.8123,0.07989,0.07778,-0.0357,1.0000,0.0105
-13.000,-0.8342,0.07031,0.06805,-0.0424,1.0000,0.0104
-12.750,-0.8592,0.06233,0.05990,-0.0476,1.0000,0.0104
-12.500,-0.8701,0.05753,0.05499,-0.0502,1.0000,0.0103
-12.250,-0.8808,0.05320,0.05054,-0.0523,1.0000,0.0103
-12.000,-0.8877,0.04972,0.04696,-0.0536,1.0000,0.0103
-11.750,-0.9325,0.04210,0.03906,-0.0551,1.0000,0.0101
-11.500,-0.9500,0.03836,0.03513,-0.0547,1.0000,0.0100
-11.250,-0.9700,0.03501,0.03158,-0.0527,1.0000,0.0100
-11.000,-0.9901,0.03270,0.02908,-0.0484,1.0000,0.0099
-10.750,-0.9986,0.03025,0.02641,-0.0449,1.0000,0.0099
-10.500,-0.9992,0.02812,0.02407,-0.0421,1.0000,0.0098
-10.250,-0.9951,0.02623,0.02199,-0.0396,1.0000,0.0098
-10.000,-0.9873,0.02457,0.02015,-0.0374,1.0000,0.0097
-9.750,-0.9771,0.02309,0.01851,-0.0354,1.0000,0.0097
-9.500,-0.9653,0.02169,0.01696,-0.0334,1.0000,0.0097
-9.250,-0.9516,0.02054,0.01569,-0.0316,1.0000,0.0096
-9.000,-0.9371,0.01943,0.01446,-0.0298,1.0000,0.0096
-8.750,-0.9213,0.01849,0.01342,-0.0282,1.0000,0.0096
-8.500,-0.9049,0.01762,0.01245,-0.0266,1.0000,0.0097
-8.250,-0.8830,0.01675,0.01150,-0.0261,0.9996,0.0097
-8.000,-0.8527,0.01591,0.01057,-0.0274,0.9984,0.0098
-7.750,-0.8218,0.01514,0.00973,-0.0286,0.9969,0.0098
-7.500,-0.7901,0.01446,0.00897,-0.0300,0.9955,0.0099
-7.250,-0.7577,0.01385,0.00831,-0.0315,0.9944,0.0100
