Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-prandtl-d-tip-ns-2000000
Airfoil,prandtl-d-tip-ns
Reynolds number,2000000
Ncrit,9
Mach,0
Max Cl/Cd,87.2727
Max Cl/Cd alpha,6.75
Url,http://airfoiltools.com/polar/csv?polar=xf-prandtl-d-tip-ns-2000000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-20.000,-0.6478,0.22807,0.22709,0.0693,1.0000,0.0033
-17.500,-0.8801,0.15788,0.15653,0.0308,1.0000,0.0022
-17.250,-0.9019,0.14784,0.14642,0.0262,1.0000,0.0021
-17.000,-0.9298,0.13696,0.13545,0.0211,1.0000,0.0021
-16.750,-0.9423,0.12990,0.12836,0.0179,1.0000,0.0020
-16.500,-0.9527,0.12349,0.12192,0.0150,1.0000,0.0020
-16.250,-0.9835,0.11288,0.11121,0.0099,1.0000,0.0020
-16.000,-0.9951,0.10646,0.10476,0.0070,1.0000,0.0020
-15.750,-1.0280,0.09608,0.09429,0.0018,1.0000,0.0020
-15.500,-1.0310,0.09154,0.08973,-0.0003,1.0000,0.0019
-15.250,-1.0685,0.08045,0.07852,-0.0061,1.0000,0.0019
-15.000,-1.0809,0.07401,0.07202,-0.0096,1.0000,0.0019
-14.750,-1.1032,0.06552,0.06341,-0.0147,1.0000,0.0019
-14.500,-1.1292,0.05625,0.05398,-0.0210,1.0000,0.0019
-14.250,-1.1345,0.05098,0.04862,-0.0248,1.0000,0.0019
-14.000,-1.1331,0.04709,0.04466,-0.0277,1.0000,0.0019
-13.750,-1.1681,0.03828,0.03556,-0.0336,1.0000,0.0019
-13.500,-1.1656,0.03571,0.03291,-0.0346,1.0000,0.0019
-13.250,-1.1749,0.03237,0.02940,-0.0348,1.0000,0.0019
-13.000,-1.1978,0.02866,0.02544,-0.0323,1.0000,0.0019
-12.750,-1.1864,0.02795,0.02470,-0.0308,1.0000,0.0019
-12.500,-1.1975,0.02596,0.02252,-0.0263,1.0000,0.0019
-12.250,-1.2053,0.02389,0.02025,-0.0218,1.0000,0.0019
-12.000,-1.2056,0.02189,0.01802,-0.0183,1.0000,0.0020
-11.750,-1.1918,0.02096,0.01700,-0.0165,1.0000,0.0019
-11.500,-1.1876,0.01907,0.01487,-0.0133,1.0000,0.0020
-11.250,-1.1741,0.01797,0.01363,-0.0113,1.0000,0.0021
-11.000,-1.1610,0.01676,0.01227,-0.0091,1.0000,0.0023
-10.750,-1.1433,0.01598,0.01141,-0.0075,1.0000,0.0024
-10.500,-1.1233,0.01544,0.01082,-0.0063,1.0000,0.0026
-10.250,-1.1035,0.01486,0.01018,-0.0051,1.0000,0.0028
-10.000,-1.0821,0.01444,0.00972,-0.0040,1.0000,0.0030
-9.750,-1.0618,0.01388,0.00910,-0.0027,1.0000,0.0031
-9.500,-1.0405,0.01343,0.00861,-0.0016,1.0000,0.0032
-9.250,-1.0188,0.01303,0.00817,-0.0005,1.0000,0.0034
-9.000,-0.9972,0.01264,0.00773,0.0006,1.0000,0.0035
-8.750,-0.9756,0.01223,0.00728,0.0018,1.0000,0.0036
-8.500,-0.9538,0.01187,0.00688,0.0029,1.0000,0.0036
-8.250,-0.9317,0.01155,0.00654,0.0040,1.0000,0.0037
-8.000,-0.9122,0.01096,0.00582,0.0056,1.0000,0.0040
-7.750,-0.8917,0.01050,0.00530,0.0071,1.0000,0.0048
-7.500,-0.8707,0.01014,0.00494,0.0085,1.0000,0.0056
-7.250,-0.8492,0.00986,0.00465,0.0098,1.0000,0.0067
-7.000,-0.8293,0.00945,0.00427,0.0114,1.0000,0.0106
-6.750,-0.8042,0.00922,0.00403,0.0119,0.9997,0.0121
-6.500,-0.7720,0.00888,0.00373,0.0108,0.9987,0.0169
-6.250,-0.7393,0.00862,0.00349,0.0096,0.9973,0.0209
-6.000,-0.7064,0.00831,0.00322,0.0084,0.9958,0.0282
-5.750,-0.6730,0.00802,0.00298,0.0070,0.9943,0.0375
-5.500,-0.6422,0.00775,0.00275,0.0063,0.9918,0.0477
-5.250,-0.6106,0.00745,0.00254,0.0054,0.9890,0.0620
-5.000,-0.5778,0.00719,0.00234,0.0042,0.9866,0.0759
-4.750,-0.5443,0.00689,0.00214,0.0029,0.9845,0.0969
-4.500,-0.5143,0.00660,0.00195,0.0023,0.9795,0.1211
-4.250,-0.4805,0.00635,0.00178,0.0010,0.9750,0.1414
-4.000,-0.4469,0.00610,0.00163,-0.0004,0.9684,0.1655
-3.750,-0.4129,0.00588,0.00149,-0.0017,0.9590,0.1887
-3.500,-0.3830,0.00571,0.00136,-0.0022,0.9450,0.2107
-3.250,-0.3559,0.00557,0.00125,-0.0019,0.9284,0.2311
-3.000,-0.3299,0.00544,0.00115,-0.0014,0.9084,0.2549
-2.750,-0.3047,0.00533,0.00105,-0.0008,0.8853,0.2797
-2.500,-0.2798,0.00525,0.00097,0.0000,0.8598,0.3027
-2.250,-0.2548,0.00518,0.00089,0.0007,0.8333,0.3275
-2.000,-0.2295,0.00513,0.00082,0.0013,0.8065,0.3503
-1.750,-0.2042,0.00509,0.00077,0.0019,0.7782,0.3735
-1.250,-0.1537,0.00495,0.00067,0.0031,0.7250,0.4364
-1.000,-0.1281,0.00491,0.00063,0.0037,0.6982,0.4651
-0.750,-0.1024,0.00488,0.00061,0.0042,0.6702,0.4916
-0.500,-0.0766,0.00486,0.00059,0.0047,0.6428,0.5186
-0.250,-0.0507,0.00484,0.00057,0.0052,0.6174,0.5467
0.000,-0.0249,0.00483,0.00057,0.0056,0.5891,0.5747
0.250,0.0007,0.00483,0.00057,0.0062,0.5592,0.6045
0.500,0.0265,0.00482,0.00057,0.0067,0.5346,0.6331
0.750,0.0524,0.00484,0.00059,0.0071,0.5077,0.6592
1.000,0.0779,0.00485,0.00061,0.0077,0.4802,0.6895
1.250,0.1032,0.00486,0.00063,0.0083,0.4533,0.7195
1.500,0.1285,0.00489,0.00067,0.0089,0.4265,0.7476
1.750,0.1535,0.00493,0.00071,0.0096,0.3976,0.7772
2.000,0.1780,0.00500,0.00076,0.0103,0.3657,0.8075
2.250,0.2027,0.00502,0.00082,0.0111,0.3437,0.8387
2.500,0.2273,0.00505,0.00089,0.0119,0.3222,0.8690
2.750,0.2525,0.00510,0.00096,0.0126,0.2980,0.8988
3.000,0.2804,0.00519,0.00105,0.0127,0.2731,0.9270
3.250,0.3168,0.00534,0.00117,0.0108,0.2467,0.9492
3.500,0.3600,0.00556,0.00130,0.0072,0.2179,0.9594
3.750,0.4024,0.00578,0.00144,0.0039,0.1936,0.9653
4.000,0.4350,0.00603,0.00158,0.0028,0.1681,0.9737
4.250,0.4670,0.00629,0.00175,0.0019,0.1440,0.9795
4.500,0.4960,0.00652,0.00190,0.0016,0.1268,0.9853
4.750,0.5302,0.00675,0.00207,0.0002,0.1087,0.9877
5.000,0.5625,0.00708,0.00228,-0.0009,0.0827,0.9903
5.250,0.5940,0.00739,0.00249,-0.0018,0.0647,0.9930
5.500,0.6260,0.00766,0.00270,-0.0028,0.0507,0.9947
5.750,0.6600,0.00794,0.00291,-0.0043,0.0383,0.9960
6.000,0.6935,0.00823,0.00314,-0.0057,0.0290,0.9974
6.250,0.7269,0.00848,0.00336,-0.0070,0.0234,0.9986
6.500,0.7597,0.00876,0.00363,-0.0082,0.0176,0.9996
6.750,0.7872,0.00902,0.00387,-0.0082,0.0147,1.0000
7.000,0.8095,0.00932,0.00415,-0.0072,0.0107,1.0000
7.250,0.8324,0.00957,0.00440,-0.0062,0.0091,1.0000
7.500,0.8543,0.00997,0.00478,-0.0050,0.0059,1.0000
7.750,0.8769,0.01030,0.00512,-0.0040,0.0050,1.0000
8.000,0.8991,0.01068,0.00551,-0.0029,0.0043,1.0000
8.250,0.9204,0.01120,0.00611,-0.0016,0.0037,1.0000
8.500,0.9409,0.01182,0.00686,-0.0002,0.0034,1.0000
8.750,0.9628,0.01224,0.00733,0.0009,0.0033,1.0000
9.000,0.9852,0.01259,0.00770,0.0018,0.0033,1.0000
9.250,1.0070,0.01300,0.00816,0.0029,0.0032,1.0000
9.500,1.0285,0.01344,0.00864,0.0040,0.0031,1.0000
9.750,1.0497,0.01391,0.00916,0.0051,0.0031,1.0000
10.000,1.0703,0.01444,0.00976,0.0063,0.0030,1.0000
10.250,1.0903,0.01503,0.01042,0.0076,0.0029,1.0000
10.500,1.1115,0.01546,0.01088,0.0086,0.0027,1.0000
10.750,1.1315,0.01601,0.01150,0.0099,0.0026,1.0000
11.000,1.1506,0.01663,0.01219,0.0112,0.0025,1.0000
11.250,1.1711,0.01708,0.01265,0.0123,0.0023,1.0000
11.500,1.1890,0.01778,0.01342,0.0137,0.0022,1.0000
11.750,1.2055,0.01861,0.01432,0.0153,0.0020,1.0000
12.000,1.2173,0.01986,0.01571,0.0174,0.0019,1.0000
12.250,1.2069,0.02300,0.01925,0.0222,0.0017,1.0000
12.500,1.2293,0.02311,0.01935,0.0229,0.0018,1.0000
12.750,1.2172,0.02588,0.02241,0.0275,0.0017,1.0000
13.000,1.2049,0.02790,0.02461,0.0321,0.0017,1.0000
13.250,1.2238,0.02809,0.02479,0.0330,0.0017,1.0000
13.500,1.2012,0.03159,0.02854,0.0358,0.0017,1.0000
13.750,1.1708,0.03710,0.03433,0.0354,0.0017,1.0000
14.000,1.1541,0.04254,0.03996,0.0324,0.0017,1.0000
14.250,1.1502,0.04689,0.04442,0.0294,0.0017,1.0000
14.500,1.1603,0.04921,0.04676,0.0278,0.0017,1.0000
14.750,1.1323,0.05855,0.05629,0.0210,0.0017,1.0000
15.000,1.1030,0.06844,0.06634,0.0146,0.0017,1.0000
15.250,1.0958,0.07402,0.07197,0.0115,0.0017,1.0000
15.500,1.1078,0.07594,0.07388,0.0106,0.0018,1.0000
15.750,1.0315,0.09441,0.09258,0.0005,0.0017,1.0000
16.000,1.0164,0.10138,0.09961,-0.0029,0.0017,1.0000
16.250,1.0232,0.10411,0.10233,-0.0040,0.0018,1.0000
16.500,1.0026,0.11234,0.11062,-0.0081,0.0018,1.0000
16.750,0.9696,0.12359,0.12195,-0.0137,0.0018,1.0000
17.000,0.9730,0.12704,0.12541,-0.0152,0.0019,1.0000
17.250,0.9145,0.14508,0.14360,-0.0241,0.0018,1.0000
17.500,0.9182,0.14856,0.14710,-0.0257,0.0020,1.0000
17.750,0.8781,0.16385,0.16249,-0.0330,0.0019,1.0000
18.750,0.5945,0.19989,0.19884,-0.0457,0.0037,1.0000
19.000,0.5994,0.20310,0.20206,-0.0476,0.0036,1.0000
19.250,0.5991,0.20880,0.20775,-0.0500,0.0034,1.0000
19.500,0.6041,0.21238,0.21134,-0.0520,0.0034,1.0000
19.750,0.6094,0.21576,0.21472,-0.0539,0.0034,1.0000
20.000,0.6144,0.21929,0.21826,-0.0558,0.0033,1.0000
