Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-pw75-pw-50000
Airfoil,pw75-pw
Reynolds number,50000
Ncrit,9
Mach,0
Max Cl/Cd,24.7113
Max Cl/Cd alpha,6.75
Url,http://airfoiltools.com/polar/csv?polar=xf-pw75-pw-50000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-20.000,-0.8916,0.26694,0.25975,0.1070,1.0000,0.0612
-19.750,-0.8822,0.26348,0.25629,0.1053,1.0000,0.0629
-19.500,-0.8731,0.26037,0.25318,0.1033,1.0000,0.0646
-19.250,-0.8643,0.25743,0.25025,0.1011,1.0000,0.0665
-19.000,-0.8559,0.25484,0.24766,0.0986,1.0000,0.0684
-18.750,-0.8487,0.25326,0.24610,0.0956,1.0000,0.0700
-18.500,-0.8441,0.25340,0.24626,0.0920,1.0000,0.0708
-18.250,-0.8421,0.25488,0.24778,0.0882,1.0000,0.0712
-18.000,-0.8255,0.24468,0.23759,0.0884,1.0000,0.0724
-17.750,-0.8129,0.23892,0.23182,0.0880,1.0000,0.0746
-17.500,-0.8034,0.23537,0.22827,0.0864,1.0000,0.0771
-17.250,-0.7948,0.23234,0.22525,0.0844,1.0000,0.0797
-17.000,-0.7878,0.23011,0.22304,0.0818,1.0000,0.0823
-16.750,-0.7851,0.23006,0.22303,0.0781,1.0000,0.0838
-16.500,-0.7863,0.23154,0.22456,0.0742,1.0000,0.0843
-16.250,-0.7636,0.21991,0.21292,0.0757,1.0000,0.0869
-16.000,-0.7532,0.21589,0.20890,0.0747,1.0000,0.0901
-15.750,-0.7454,0.21286,0.20589,0.0727,1.0000,0.0935
-15.500,-0.7430,0.21193,0.20500,0.0694,1.0000,0.0965
-15.250,-0.7480,0.21360,0.20673,0.0653,1.0000,0.0974
-15.000,-0.7220,0.20272,0.19571,0.0675,1.0000,0.1052
-14.750,-0.7212,0.20189,0.19493,0.0643,1.0000,0.1096
-14.500,-0.7288,0.20344,0.19654,0.0602,1.0000,0.1105
-14.250,-0.7003,0.19253,0.18560,0.0625,1.0000,0.1166
-14.000,-0.6954,0.18984,0.18294,0.0604,1.0000,0.1211
-13.750,-0.7009,0.18992,0.18307,0.0568,1.0000,0.1233
-13.500,-0.6834,0.18268,0.17584,0.0570,1.0000,0.1266
-13.250,-0.6737,0.17870,0.17186,0.0562,1.0000,0.1315
-13.000,-0.6750,0.17704,0.17024,0.0534,1.0000,0.1357
-12.750,-0.6865,0.17731,0.17059,0.0493,1.0000,0.1369
-12.500,-0.6559,0.16803,0.16126,0.0518,1.0000,0.1425
-12.250,-0.6536,0.16528,0.15853,0.0499,1.0000,0.1477
-12.000,-0.6662,0.16502,0.15835,0.0458,1.0000,0.1499
-11.750,-0.6403,0.15737,0.15066,0.0477,1.0000,0.1550
-11.500,-0.6382,0.15447,0.14778,0.0460,1.0000,0.1608
-11.250,-0.6550,0.15413,0.14754,0.0415,1.0000,0.1632
-11.000,-0.6250,0.14656,0.13991,0.0441,1.0000,0.1695
-10.750,-0.6315,0.14452,0.13793,0.0413,1.0000,0.1754
-10.500,-0.6202,0.13957,0.13299,0.0411,1.0000,0.1794
-10.250,-0.6151,0.13614,0.12958,0.0403,1.0000,0.1867
-10.000,-0.6181,0.13285,0.12636,0.0381,1.0000,0.1910
-9.750,-0.6060,0.12869,0.12219,0.0384,1.0000,0.1991
-9.500,-0.6093,0.12536,0.11894,0.0363,1.0000,0.2045
-9.250,-0.6014,0.12167,0.11525,0.0361,1.0000,0.2135
-8.750,-0.6108,0.11567,0.10939,0.0321,1.0000,0.2288
-8.500,-0.5877,0.11050,0.10420,0.0340,1.0000,0.2382
-8.250,-0.5841,0.10674,0.10049,0.0332,1.0000,0.2470
-7.750,-0.5897,0.10024,0.09414,0.0304,1.0000,0.2696
-7.250,-0.5811,0.09299,0.08681,0.0299,1.0000,0.2962
-7.000,-0.5706,0.08916,0.08301,0.0306,1.0000,0.3107
-6.750,-0.5610,0.08554,0.07943,0.0312,1.0000,0.3264
-5.750,-0.5347,0.05195,0.04430,-0.0106,1.0000,0.1194
-5.500,-0.5153,0.04654,0.03832,-0.0114,1.0000,0.1044
-5.250,-0.4940,0.04199,0.03302,-0.0114,1.0000,0.0947
-5.000,-0.4716,0.03829,0.02888,-0.0110,1.0000,0.0901
-4.750,-0.4463,0.03493,0.02457,-0.0100,1.0000,0.0850
-4.500,-0.4202,0.03231,0.02154,-0.0094,1.0000,0.0838
-4.250,-0.3933,0.02983,0.01872,-0.0088,1.0000,0.0838
-4.000,-0.3656,0.02751,0.01618,-0.0082,1.0000,0.0852
-3.750,-0.3380,0.02552,0.01418,-0.0077,1.0000,0.0893
-3.500,-0.3092,0.02390,0.01238,-0.0069,1.0000,0.0968
-3.250,-0.2818,0.02226,0.01084,-0.0063,1.0000,0.1128
-3.000,-0.1551,0.01683,0.00912,-0.0154,1.0000,1.0000
-2.750,-0.1331,0.01644,0.00838,-0.0156,1.0000,1.0000
-2.500,-0.1106,0.01615,0.00781,-0.0157,1.0000,1.0000
-2.250,-0.0883,0.01594,0.00738,-0.0156,1.0000,1.0000
-2.000,-0.0666,0.01579,0.00705,-0.0154,1.0000,1.0000
-1.750,-0.0464,0.01572,0.00670,-0.0150,1.0000,1.0000
-1.500,-0.0300,0.01573,0.00661,-0.0141,1.0000,1.0000
-1.250,-0.0220,0.01588,0.00667,-0.0119,1.0000,1.0000
-1.000,-0.0215,0.01617,0.00686,-0.0086,1.0000,1.0000
-0.750,-0.0213,0.01655,0.00712,-0.0055,1.0000,1.0000
-0.500,-0.0176,0.01698,0.00744,-0.0032,1.0000,1.0000
-0.250,-0.0103,0.01747,0.00782,-0.0017,1.0000,1.0000
0.000,0.0326,0.01812,0.00835,-0.0067,0.9872,1.0000
0.250,0.1135,0.01877,0.00894,-0.0181,0.9602,1.0000
0.500,0.1957,0.01918,0.00931,-0.0289,0.9329,1.0000
0.750,0.2579,0.01950,0.00964,-0.0353,0.9040,1.0000
1.000,0.3000,0.01985,0.00999,-0.0372,0.8755,1.0000
1.250,0.3283,0.02027,0.01037,-0.0365,0.8478,1.0000
1.500,0.3511,0.02071,0.01078,-0.0347,0.8213,1.0000
1.750,0.3722,0.02114,0.01117,-0.0325,0.7963,1.0000
2.000,0.3922,0.02160,0.01159,-0.0302,0.7713,1.0000
2.250,0.4121,0.02207,0.01209,-0.0280,0.7470,1.0000
2.500,0.4321,0.02254,0.01253,-0.0258,0.7235,1.0000
2.750,0.4525,0.02295,0.01290,-0.0234,0.7016,1.0000
3.000,0.4731,0.02337,0.01329,-0.0212,0.6796,1.0000
3.250,0.4942,0.02389,0.01381,-0.0194,0.6568,1.0000
3.500,0.5155,0.02434,0.01424,-0.0174,0.6356,1.0000
3.750,0.5372,0.02479,0.01467,-0.0155,0.6144,1.0000
4.000,0.5592,0.02538,0.01543,-0.0139,0.5921,1.0000
4.250,0.5814,0.02575,0.01574,-0.0118,0.5726,1.0000
4.500,0.6038,0.02642,0.01646,-0.0106,0.5502,1.0000
4.750,0.6262,0.02705,0.01710,-0.0092,0.5288,1.0000
5.000,0.6491,0.02751,0.01754,-0.0074,0.5088,1.0000
5.250,0.6716,0.02830,0.01840,-0.0063,0.4866,1.0000
5.500,0.6948,0.02879,0.01885,-0.0046,0.4671,1.0000
5.750,0.7173,0.02964,0.01978,-0.0035,0.4451,1.0000
6.000,0.7398,0.03047,0.02068,-0.0023,0.4240,1.0000
6.250,0.7631,0.03110,0.02130,-0.0008,0.4039,1.0000
6.500,0.7847,0.03222,0.02255,0.0001,0.3821,1.0000
6.750,0.8088,0.03273,0.02296,0.0018,0.3628,1.0000
7.000,0.8293,0.03408,0.02452,0.0026,0.3405,1.0000
7.250,0.8510,0.03520,0.02569,0.0038,0.3200,1.0000
7.500,0.8737,0.03594,0.02686,0.0052,0.2986,1.0000
7.750,0.8923,0.03774,0.02890,0.0061,0.2777,1.0000
8.000,0.9142,0.03842,0.02953,0.0076,0.2551,1.0000
8.250,0.9340,0.03980,0.03099,0.0088,0.2335,1.0000
8.500,0.9512,0.04101,0.03229,0.0101,0.2096,1.0000
8.750,0.9710,0.04267,0.03389,0.0113,0.1905,1.0000
9.000,0.9818,0.04529,0.03684,0.0122,0.1725,1.0000
9.250,1.0030,0.04581,0.03712,0.0135,0.1535,1.0000
9.500,1.0041,0.05058,0.04250,0.0138,0.1456,1.0000
9.750,1.0178,0.05375,0.04572,0.0145,0.1381,1.0000
10.000,1.0037,0.05996,0.05252,0.0139,0.1362,1.0000
10.250,0.9821,0.06661,0.05953,0.0124,0.1359,1.0000
10.500,0.9526,0.07372,0.06681,0.0096,0.1371,1.0000
10.750,0.9236,0.08160,0.07472,0.0051,0.1385,1.0000
11.000,0.8371,0.10460,0.09749,-0.0140,0.1533,1.0000
11.250,0.8333,0.11084,0.10370,-0.0159,0.1523,1.0000
11.500,0.7399,0.14126,0.13343,-0.0431,0.2850,1.0000
