Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-r1046-il-500000
Airfoil,r1046-il
Reynolds number,500000
Ncrit,9
Mach,0
Max Cl/Cd,101.391
Max Cl/Cd alpha,10
Url,http://airfoiltools.com/polar/csv?polar=xf-r1046-il-500000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-10.750,0.0602,0.09549,0.09108,-0.1140,0.6215,0.0227
-10.500,0.0405,0.08800,0.08366,-0.1190,0.6209,0.0237
-10.250,0.0439,0.08464,0.08033,-0.1202,0.6198,0.0237
-10.000,0.0556,0.08317,0.07887,-0.1199,0.6183,0.0240
-9.750,0.0636,0.08104,0.07676,-0.1205,0.6169,0.0243
-9.500,0.0699,0.07865,0.07438,-0.1214,0.6155,0.0247
-9.250,0.0732,0.07581,0.07156,-0.1225,0.6141,0.0250
-9.000,0.0739,0.07256,0.06833,-0.1240,0.6128,0.0252
-8.750,0.0712,0.06879,0.06459,-0.1259,0.6116,0.0264
-8.250,-0.1386,0.03279,0.02752,-0.1332,0.6115,0.0168
-8.000,-0.1353,0.02981,0.02428,-0.1314,0.6101,0.0167
-7.750,-0.1278,0.02720,0.02137,-0.1297,0.6087,0.0166
-7.500,-0.1169,0.02497,0.01872,-0.1279,0.6072,0.0167
-7.250,-0.1008,0.02335,0.01673,-0.1266,0.6055,0.0168
-7.000,-0.0831,0.02158,0.01469,-0.1255,0.6039,0.0170
-6.750,-0.0620,0.02033,0.01334,-0.1248,0.6028,0.0173
-6.500,-0.0387,0.01960,0.01253,-0.1244,0.6015,0.0177
-6.250,-0.0142,0.01911,0.01200,-0.1241,0.6001,0.0184
-6.000,0.0099,0.01839,0.01113,-0.1236,0.5987,0.0192
-5.750,0.0346,0.01775,0.01032,-0.1231,0.5974,0.0198
-5.500,0.0585,0.01685,0.00932,-0.1225,0.5960,0.0205
-5.250,0.0833,0.01629,0.00874,-0.1222,0.5947,0.0212
-5.000,0.1087,0.01587,0.00827,-0.1219,0.5935,0.0222
-4.750,0.1343,0.01548,0.00779,-0.1216,0.5922,0.0232
-4.500,0.1588,0.01497,0.00725,-0.1211,0.5909,0.0247
-4.250,0.1848,0.01474,0.00697,-0.1209,0.5895,0.0265
-4.000,0.2103,0.01450,0.00669,-0.1207,0.5878,0.0288
-3.750,0.2362,0.01426,0.00646,-0.1205,0.5869,0.0319
-3.500,0.2612,0.01392,0.00615,-0.1201,0.5859,0.0358
-3.250,0.2869,0.01366,0.00590,-0.1198,0.5848,0.0407
-3.000,0.3129,0.01346,0.00572,-0.1197,0.5836,0.0475
-2.750,0.3392,0.01329,0.00557,-0.1195,0.5824,0.0568
-2.500,0.3651,0.01306,0.00542,-0.1193,0.5812,0.0751
-2.250,0.3906,0.01279,0.00531,-0.1192,0.5800,0.1151
-2.000,0.4156,0.01245,0.00522,-0.1190,0.5788,0.1870
-1.750,0.4403,0.01210,0.00516,-0.1187,0.5775,0.2838
-1.500,0.4644,0.01173,0.00514,-0.1184,0.5763,0.3972
-1.250,0.4886,0.01145,0.00517,-0.1180,0.5752,0.5097
-1.000,0.5137,0.01132,0.00524,-0.1177,0.5742,0.5869
-0.750,0.5389,0.01127,0.00535,-0.1173,0.5730,0.6547
-0.500,0.5630,0.01132,0.00559,-0.1166,0.5717,0.7261
-0.250,0.5863,0.01120,0.00569,-0.1157,0.5709,0.7885
0.000,0.6106,0.01114,0.00580,-0.1148,0.5700,0.8492
0.250,0.6417,0.01119,0.00597,-0.1153,0.5689,0.9099
0.500,0.6810,0.01133,0.00612,-0.1176,0.5676,0.9484
0.750,0.7204,0.01150,0.00625,-0.1201,0.5663,0.9704
1.000,0.7686,0.01164,0.00635,-0.1246,0.5651,0.9773
1.250,0.8121,0.01178,0.00643,-0.1282,0.5640,0.9846
1.500,0.8588,0.01189,0.00650,-0.1325,0.5629,0.9901
1.750,0.9066,0.01199,0.00655,-0.1370,0.5618,0.9959
2.000,0.9515,0.01207,0.00658,-0.1410,0.5607,1.0000
2.250,0.9734,0.01218,0.00665,-0.1402,0.5597,1.0000
2.500,0.9962,0.01230,0.00673,-0.1396,0.5585,1.0000
2.750,1.0196,0.01247,0.00686,-0.1390,0.5574,1.0000
3.000,1.0428,0.01275,0.00710,-0.1385,0.5562,1.0000
3.250,1.0641,0.01302,0.00738,-0.1376,0.5551,1.0000
3.500,1.0844,0.01317,0.00757,-0.1365,0.5542,1.0000
3.750,1.1048,0.01335,0.00777,-0.1354,0.5531,1.0000
4.000,1.1251,0.01352,0.00797,-0.1343,0.5519,1.0000
4.250,1.1456,0.01369,0.00817,-0.1332,0.5504,1.0000
4.500,1.1667,0.01386,0.00836,-0.1322,0.5490,1.0000
4.750,1.1883,0.01405,0.00856,-0.1314,0.5478,1.0000
5.000,1.2106,0.01422,0.00876,-0.1307,0.5466,1.0000
5.250,1.2339,0.01437,0.00892,-0.1301,0.5454,1.0000
5.500,1.2582,0.01450,0.00905,-0.1298,0.5442,1.0000
5.750,1.2834,0.01464,0.00918,-0.1296,0.5430,1.0000
6.000,1.3090,0.01483,0.00936,-0.1296,0.5420,1.0000
6.250,1.3353,0.01509,0.00961,-0.1297,0.5408,1.0000
6.500,1.3579,0.01544,0.01000,-0.1292,0.5393,1.0000
6.750,1.3754,0.01559,0.01023,-0.1276,0.5377,1.0000
7.000,1.3937,0.01578,0.01049,-0.1263,0.5358,1.0000
7.250,1.4133,0.01598,0.01075,-0.1252,0.5340,1.0000
7.500,1.4344,0.01617,0.01099,-0.1243,0.5323,1.0000
7.750,1.4567,0.01630,0.01116,-0.1237,0.5307,1.0000
8.000,1.4813,0.01641,0.01129,-0.1236,0.5292,1.0000
8.250,1.5081,0.01648,0.01138,-0.1238,0.5278,1.0000
8.500,1.5385,0.01648,0.01137,-0.1246,0.5261,1.0000
8.750,1.5648,0.01663,0.01154,-0.1248,0.5237,1.0000
9.000,1.5730,0.01678,0.01181,-0.1216,0.5208,1.0000
9.250,1.5865,0.01686,0.01197,-0.1194,0.5178,1.0000
9.500,1.6073,0.01671,0.01185,-0.1184,0.5148,1.0000
9.750,1.6358,0.01644,0.01156,-0.1187,0.5118,1.0000
10.000,1.6618,0.01639,0.01150,-0.1188,0.5087,1.0000
10.250,1.6520,0.01662,0.01186,-0.1122,0.5050,1.0000
10.500,1.6578,0.01668,0.01199,-0.1086,0.5009,1.0000
10.750,1.6755,0.01655,0.01185,-0.1072,0.4969,1.0000
11.000,1.6880,0.01672,0.01206,-0.1050,0.4931,1.0000
11.250,1.6830,0.01735,0.01282,-0.1003,0.4887,1.0000
11.500,1.6901,0.01775,0.01329,-0.0977,0.4843,1.0000
11.750,1.7083,0.01791,0.01344,-0.0967,0.4805,1.0000
12.000,1.7006,0.01909,0.01476,-0.0925,0.4754,1.0000
12.250,1.7011,0.02012,0.01587,-0.0897,0.4699,1.0000
12.500,1.7084,0.02091,0.01668,-0.0878,0.4641,1.0000
12.750,1.6985,0.02283,0.01872,-0.0844,0.4567,1.0000
13.000,1.6990,0.02426,0.02019,-0.0822,0.4492,1.0000
13.250,1.6897,0.02651,0.02250,-0.0795,0.4397,1.0000
13.500,1.6773,0.02917,0.02521,-0.0767,0.4290,1.0000
13.750,1.6668,0.03179,0.02785,-0.0742,0.4175,1.0000
14.000,1.6528,0.03482,0.03087,-0.0717,0.4037,1.0000
14.250,1.6361,0.03817,0.03420,-0.0692,0.3879,1.0000
14.500,1.6207,0.04154,0.03753,-0.0669,0.3720,1.0000
14.750,1.6007,0.04538,0.04129,-0.0644,0.3530,1.0000
15.000,1.5825,0.04919,0.04501,-0.0623,0.3353,1.0000
15.250,1.5660,0.05298,0.04874,-0.0604,0.3167,1.0000
15.500,1.5506,0.05678,0.05246,-0.0588,0.2979,1.0000
15.750,1.5336,0.06085,0.05645,-0.0573,0.2802,1.0000
16.000,1.5188,0.06480,0.06032,-0.0559,0.2630,1.0000
16.250,1.5101,0.06820,0.06367,-0.0550,0.2480,1.0000
16.500,1.4963,0.07227,0.06765,-0.0540,0.2298,1.0000
16.750,1.4875,0.07585,0.07117,-0.0533,0.2137,1.0000
17.000,1.4778,0.07961,0.07487,-0.0527,0.1974,1.0000
17.250,1.4682,0.08344,0.07863,-0.0522,0.1809,1.0000
17.500,1.4609,0.08708,0.08220,-0.0519,0.1661,1.0000
