Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-raf31-il-100000
Airfoil,raf31-il
Reynolds number,100000
Ncrit,9
Mach,0
Max Cl/Cd,52.9543
Max Cl/Cd alpha,6.75
Url,http://airfoiltools.com/polar/csv?polar=xf-raf31-il-100000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-9.500,-0.4213,0.09671,0.09145,-0.0354,1.0000,0.1761
-9.250,-0.4751,0.09277,0.08776,-0.0407,1.0000,0.1851
-9.000,-0.6444,0.06198,0.05675,-0.0550,1.0000,0.0945
-8.750,-0.6559,0.05866,0.05340,-0.0522,1.0000,0.0929
-8.500,-0.6748,0.05526,0.04988,-0.0486,1.0000,0.0913
-8.250,-0.6945,0.05151,0.04587,-0.0449,1.0000,0.0893
-8.000,-0.7119,0.04726,0.04118,-0.0411,1.0000,0.0868
-7.750,-0.7270,0.04313,0.03627,-0.0370,1.0000,0.0844
-7.500,-0.7234,0.04066,0.03340,-0.0342,1.0000,0.0838
-7.250,-0.7160,0.03837,0.03074,-0.0317,1.0000,0.0835
-7.000,-0.7059,0.03614,0.02819,-0.0296,1.0000,0.0835
-6.750,-0.6937,0.03396,0.02575,-0.0278,1.0000,0.0840
-6.500,-0.6795,0.03220,0.02385,-0.0262,1.0000,0.0856
-6.250,-0.6638,0.03092,0.02244,-0.0247,1.0000,0.0878
-6.000,-0.6475,0.02968,0.02101,-0.0232,1.0000,0.0898
-5.750,-0.6301,0.02841,0.01951,-0.0217,1.0000,0.0915
-5.500,-0.6120,0.02728,0.01816,-0.0202,1.0000,0.0933
-5.250,-0.5935,0.02635,0.01699,-0.0188,1.0000,0.0955
-5.000,-0.5751,0.02510,0.01576,-0.0176,1.0000,0.0989
-4.750,-0.5434,0.02430,0.01499,-0.0189,0.9962,0.1061
-4.500,-0.5098,0.02334,0.01406,-0.0203,0.9914,0.1143
-4.250,-0.4784,0.02239,0.01325,-0.0215,0.9862,0.1300
-4.000,-0.4492,0.02136,0.01257,-0.0223,0.9814,0.1734
-3.750,-0.4213,0.02043,0.01217,-0.0232,0.9751,0.2521
-3.500,-0.3903,0.02005,0.01225,-0.0244,0.9687,0.3578
-3.250,-0.3594,0.01994,0.01238,-0.0253,0.9612,0.4313
-3.000,-0.3284,0.01994,0.01254,-0.0261,0.9534,0.4882
-2.750,-0.2920,0.02004,0.01278,-0.0276,0.9456,0.5443
-2.500,-0.2639,0.02007,0.01290,-0.0275,0.9364,0.5879
-2.250,-0.2233,0.02015,0.01305,-0.0295,0.9299,0.6338
-2.000,-0.2016,0.02017,0.01316,-0.0282,0.9209,0.6692
-1.750,-0.1663,0.02026,0.01333,-0.0291,0.9155,0.7120
-1.500,-0.1461,0.02034,0.01351,-0.0273,0.9076,0.7500
-1.250,-0.1133,0.02036,0.01361,-0.0276,0.9015,0.7949
-1.000,-0.0811,0.02038,0.01372,-0.0278,0.8950,0.8385
-0.750,-0.0371,0.02042,0.01383,-0.0303,0.8887,0.8862
-0.500,0.0410,0.02061,0.01398,-0.0395,0.8860,0.9268
-0.250,0.1291,0.02081,0.01407,-0.0507,0.8846,0.9553
0.000,0.2169,0.02077,0.01393,-0.0621,0.8835,0.9717
0.250,0.2861,0.02070,0.01380,-0.0707,0.8765,0.9905
0.500,0.3638,0.02019,0.01324,-0.0804,0.8723,1.0000
0.750,0.3794,0.02005,0.01306,-0.0791,0.8604,1.0000
1.000,0.4208,0.01960,0.01258,-0.0817,0.8531,1.0000
1.250,0.4278,0.01966,0.01259,-0.0784,0.8397,1.0000
1.500,0.4439,0.01967,0.01257,-0.0765,0.8277,1.0000
1.750,0.4859,0.01928,0.01216,-0.0786,0.8209,1.0000
2.000,0.5016,0.01935,0.01220,-0.0763,0.8077,1.0000
2.250,0.5238,0.01931,0.01214,-0.0749,0.7956,1.0000
2.500,0.5655,0.01886,0.01169,-0.0766,0.7887,1.0000
