Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-rc1064c-il-100000
Airfoil,rc1064c-il
Reynolds number,100000
Ncrit,9
Mach,0
Max Cl/Cd,45.4041
Max Cl/Cd alpha,4.25
Url,http://airfoiltools.com/polar/csv?polar=xf-rc1064c-il-100000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-10.750,-0.5552,0.11847,0.11313,-0.0104,1.0000,0.1086
-10.500,-0.5689,0.11467,0.10940,-0.0152,1.0000,0.1130
-10.250,-0.6031,0.11016,0.10503,-0.0247,1.0000,0.1142
-10.000,-0.5671,0.10569,0.10049,-0.0172,1.0000,0.1171
-9.750,-0.5565,0.10263,0.09743,-0.0162,1.0000,0.1218
-9.500,-0.5684,0.09837,0.09324,-0.0202,1.0000,0.1270
-9.250,-0.6054,0.09275,0.08772,-0.0289,1.0000,0.1286
-9.000,-0.5711,0.08991,0.08486,-0.0223,1.0000,0.1343
-8.750,-0.5770,0.08589,0.08089,-0.0243,1.0000,0.1393
-8.500,-0.6099,0.08145,0.07649,-0.0275,1.0000,0.1423
-8.250,-0.6586,0.07874,0.07352,-0.0284,1.0000,0.1441
-8.000,-0.6112,0.07405,0.06910,-0.0258,1.0000,0.1508
-7.750,-0.6608,0.07219,0.06685,-0.0252,1.0000,0.1581
-7.500,-0.6272,0.06704,0.06201,-0.0239,1.0000,0.1622
-7.250,-0.6456,0.06439,0.05912,-0.0221,1.0000,0.1720
-7.000,-0.6304,0.06081,0.05566,-0.0203,1.0000,0.1759
-6.750,-0.6581,0.04917,0.04229,-0.0168,1.0000,0.0998
-6.500,-0.6469,0.04217,0.03499,-0.0145,1.0000,0.0825
-6.250,-0.6368,0.03856,0.03109,-0.0120,1.0000,0.0796
-6.000,-0.6249,0.03538,0.02748,-0.0093,1.0000,0.0784
-5.750,-0.6103,0.03292,0.02463,-0.0070,1.0000,0.0796
-5.500,-0.5934,0.03051,0.02180,-0.0049,1.0000,0.0801
-5.250,-0.5742,0.02826,0.01916,-0.0030,1.0000,0.0806
-5.000,-0.5532,0.02640,0.01693,-0.0014,1.0000,0.0822
-4.750,-0.5315,0.02505,0.01522,0.0001,1.0000,0.0851
-4.500,-0.5095,0.02340,0.01363,0.0009,1.0000,0.0912
-4.250,-0.4864,0.02226,0.01232,0.0021,1.0000,0.0974
-4.000,-0.4634,0.02090,0.01102,0.0030,1.0000,0.1055
-3.750,-0.4416,0.01992,0.01010,0.0042,1.0000,0.1197
-3.500,-0.4201,0.01906,0.00933,0.0053,1.0000,0.1399
-3.250,-0.3991,0.01870,0.00904,0.0065,1.0000,0.1691
-3.000,-0.3792,0.01733,0.00796,0.0077,1.0000,0.2143
-2.750,-0.3612,0.01572,0.00730,0.0090,1.0000,0.3330
-2.500,-0.3353,0.01456,0.00845,0.0136,1.0000,0.8835
-2.250,-0.2057,0.01608,0.00945,-0.0028,1.0000,0.9701
-2.000,-0.0601,0.01612,0.00900,-0.0253,1.0000,1.0000
-1.750,-0.0571,0.01604,0.00885,-0.0218,1.0000,1.0000
-1.500,-0.0558,0.01600,0.00876,-0.0179,1.0000,1.0000
-1.250,-0.0554,0.01600,0.00871,-0.0139,1.0000,1.0000
-1.000,-0.0551,0.01603,0.00870,-0.0099,1.0000,1.0000
