Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-rhodesg32-il-50000
Airfoil,rhodesg32-il
Reynolds number,50000
Ncrit,9
Mach,0
Max Cl/Cd,24.2971
Max Cl/Cd alpha,1
Url,http://airfoiltools.com/polar/csv?polar=xf-rhodesg32-il-50000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-10.000,-0.3400,0.10574,0.09908,-0.0248,1.0000,0.2625
-9.750,-0.3057,0.09997,0.09326,-0.0229,1.0000,0.2744
-9.500,-0.3461,0.10127,0.09478,-0.0204,1.0000,0.2795
-9.250,-0.3182,0.09641,0.08990,-0.0186,1.0000,0.2920
-9.000,-0.3630,0.09778,0.09150,-0.0147,1.0000,0.2966
-8.750,-0.3374,0.09333,0.08704,-0.0129,1.0000,0.3095
-8.500,-0.3875,0.09474,0.08868,-0.0080,1.0000,0.3138
-8.250,-0.3645,0.09068,0.08461,-0.0062,1.0000,0.3274
-8.000,-0.4248,0.09232,0.08649,-0.0023,1.0000,0.3318
-7.750,-0.4020,0.08850,0.08268,0.0011,1.0000,0.3466
-7.500,-0.3994,0.08597,0.08021,0.0041,1.0000,0.3591
-7.250,-0.4108,0.08428,0.07861,0.0073,1.0000,0.3729
-7.000,-0.4180,0.08252,0.07693,0.0107,1.0000,0.3905
-6.750,-0.4228,0.08080,0.07528,0.0144,1.0000,0.4116
-6.500,-0.4467,0.08001,0.07460,0.0178,1.0000,0.4350
-6.250,-0.4286,0.07724,0.07187,0.0227,1.0000,0.4635
-6.000,-0.4270,0.07543,0.07012,0.0277,1.0000,0.4982
-5.750,-0.4332,0.07414,0.06892,0.0333,1.0000,0.5378
-5.500,-0.3735,0.07075,0.06548,0.0368,1.0000,0.6196
-5.250,-0.0609,0.05692,0.05103,0.0047,1.0000,0.9297
-5.000,-0.1051,0.05782,0.05210,0.0138,1.0000,0.9066
-4.750,-0.3498,0.04892,0.04150,-0.0230,1.0000,0.2303
-4.500,-0.3233,0.04573,0.03772,-0.0249,1.0000,0.2097
-4.250,-0.3034,0.04339,0.03518,-0.0251,1.0000,0.2022
-4.000,-0.2498,0.04103,0.03198,-0.0309,0.9885,0.1922
-3.750,-0.1967,0.03951,0.02992,-0.0362,0.9737,0.1929
-3.500,-0.1454,0.03820,0.02815,-0.0408,0.9585,0.1934
-3.250,-0.0939,0.03708,0.02664,-0.0451,0.9424,0.1951
-3.000,-0.0433,0.03608,0.02562,-0.0493,0.9256,0.2037
-2.750,0.0115,0.03526,0.02447,-0.0536,0.9081,0.2123
-2.500,0.0567,0.03439,0.02361,-0.0561,0.8885,0.2233
-2.250,0.1088,0.03355,0.02274,-0.0596,0.8677,0.2464
-2.000,0.1644,0.03214,0.02166,-0.0632,0.8475,0.2932
-1.750,0.2687,0.02839,0.01993,-0.0737,0.8303,1.0000
