Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-s4083-il-100000
Airfoil,s4083-il
Reynolds number,100000
Ncrit,9
Mach,0
Max Cl/Cd,51.8017
Max Cl/Cd alpha,8.5
Url,http://airfoiltools.com/polar/csv?polar=xf-s4083-il-100000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-7.250,-0.3693,0.09162,0.08695,-0.0183,1.0000,0.0755
-7.000,-0.3745,0.08944,0.08487,-0.0191,1.0000,0.0780
-6.750,-0.3771,0.08722,0.08275,-0.0278,1.0000,0.0801
-6.500,-0.3726,0.08284,0.07842,-0.0323,1.0000,0.0811
-6.250,-0.3651,0.07946,0.07511,-0.0241,1.0000,0.0838
-6.000,-0.3576,0.07664,0.07233,-0.0238,1.0000,0.0879
-5.750,-0.3416,0.07275,0.06828,-0.0396,1.0000,0.0943
-5.500,-0.3400,0.06900,0.06474,-0.0321,1.0000,0.0970
-5.250,-0.3307,0.06646,0.06223,-0.0307,1.0000,0.1033
-5.000,-0.3145,0.06189,0.05758,-0.0374,1.0000,0.1106
-4.750,-0.3049,0.05941,0.05517,-0.0350,1.0000,0.1165
-4.500,-0.2866,0.05533,0.05099,-0.0394,1.0000,0.1257
-4.250,-0.2665,0.05186,0.04738,-0.0428,1.0000,0.1385
-4.000,-0.2551,0.04945,0.04504,-0.0405,1.0000,0.1450
-3.750,-0.2370,0.04644,0.04198,-0.0417,1.0000,0.1578
-3.500,-0.2186,0.04374,0.03921,-0.0425,1.0000,0.1732
-3.250,-0.1982,0.04114,0.03649,-0.0440,1.0000,0.1966
-3.000,-0.1275,0.03007,0.02361,-0.0531,1.0000,0.0786
-2.750,-0.0976,0.02645,0.01934,-0.0532,1.0000,0.0647
-2.500,-0.0722,0.02407,0.01660,-0.0529,1.0000,0.0612
-2.250,-0.0474,0.02246,0.01461,-0.0524,1.0000,0.0611
-2.000,-0.0252,0.02147,0.01332,-0.0515,1.0000,0.0644
-1.750,0.0259,0.01994,0.01137,-0.0555,0.9905,0.0669
-1.500,0.0776,0.01809,0.00955,-0.0598,0.9785,0.0795
-1.250,0.1280,0.01625,0.00813,-0.0640,0.9648,0.1462
