Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-s7012-il-500000
Airfoil,s7012-il
Reynolds number,500000
Ncrit,9
Mach,0
Max Cl/Cd,94.1231
Max Cl/Cd alpha,5
Url,http://airfoiltools.com/polar/csv?polar=xf-s7012-il-500000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-8.500,-0.4693,0.08323,0.08102,-0.0211,1.0000,0.0178
-8.250,-0.4702,0.07923,0.07705,-0.0232,1.0000,0.0182
-8.000,-0.4736,0.07510,0.07297,-0.0254,1.0000,0.0185
-7.750,-0.4809,0.07091,0.06883,-0.0279,1.0000,0.0187
-7.500,-0.4839,0.06452,0.06244,-0.0354,1.0000,0.0188
-7.250,-0.4837,0.05862,0.05648,-0.0400,1.0000,0.0190
-7.000,-0.4810,0.05302,0.05075,-0.0430,1.0000,0.0197
-6.750,-0.4742,0.04781,0.04536,-0.0446,1.0000,0.0206
-6.500,-0.4580,0.04507,0.04232,-0.0445,1.0000,0.0220
-6.250,-0.4485,0.04196,0.03895,-0.0439,1.0000,0.0221
-6.000,-0.4515,0.03370,0.03023,-0.0440,1.0000,0.0231
-5.750,-0.4390,0.03082,0.02726,-0.0432,1.0000,0.0239
-5.500,-0.4209,0.02887,0.02521,-0.0428,0.9996,0.0248
-5.250,-0.3855,0.02632,0.02242,-0.0456,0.9967,0.0268
-5.000,-0.3481,0.02401,0.01977,-0.0480,0.9939,0.0296
-4.750,-0.3121,0.01624,0.01092,-0.0479,0.9907,0.0142
-4.500,-0.2764,0.01418,0.00858,-0.0494,0.9871,0.0141
-4.250,-0.2389,0.01285,0.00710,-0.0513,0.9840,0.0144
-4.000,-0.2045,0.01195,0.00610,-0.0526,0.9786,0.0149
-3.750,-0.1684,0.01066,0.00472,-0.0545,0.9738,0.0163
-3.500,-0.1298,0.00989,0.00389,-0.0567,0.9700,0.0173
-3.250,-0.0960,0.00936,0.00328,-0.0578,0.9610,0.0185
-3.000,-0.0604,0.00893,0.00277,-0.0593,0.9523,0.0216
-2.750,-0.0268,0.00789,0.00219,-0.0607,0.9410,0.1365
-2.500,0.0036,0.00723,0.00195,-0.0616,0.9255,0.2610
-2.250,0.0316,0.00655,0.00178,-0.0619,0.9066,0.4189
-2.000,0.0579,0.00599,0.00169,-0.0616,0.8863,0.5710
-1.750,0.0834,0.00580,0.00170,-0.0608,0.8642,0.6714
-1.500,0.1096,0.00578,0.00165,-0.0601,0.8420,0.7076
-1.250,0.1357,0.00579,0.00161,-0.0594,0.8191,0.7360
-1.000,0.1619,0.00583,0.00158,-0.0587,0.7967,0.7598
-0.750,0.1879,0.00587,0.00155,-0.0581,0.7743,0.7791
-0.500,0.2140,0.00592,0.00153,-0.0574,0.7522,0.7975
0.000,0.2659,0.00603,0.00151,-0.0562,0.7091,0.8325
0.250,0.2914,0.00608,0.00151,-0.0554,0.6886,0.8499
0.500,0.3167,0.00613,0.00152,-0.0547,0.6686,0.8682
0.750,0.3415,0.00617,0.00153,-0.0538,0.6496,0.8878
1.000,0.3650,0.00621,0.00154,-0.0526,0.6320,0.9103
1.250,0.3884,0.00622,0.00154,-0.0513,0.6147,0.9391
1.500,0.4205,0.00625,0.00153,-0.0521,0.5963,0.9738
1.750,0.4543,0.00635,0.00154,-0.0534,0.5782,1.0000
2.000,0.4823,0.00649,0.00159,-0.0536,0.5620,1.0000
2.250,0.5101,0.00664,0.00165,-0.0536,0.5465,1.0000
2.500,0.5380,0.00677,0.00174,-0.0537,0.5311,1.0000
2.750,0.5657,0.00691,0.00183,-0.0537,0.5159,1.0000
3.000,0.5933,0.00706,0.00192,-0.0537,0.4999,1.0000
3.250,0.6209,0.00721,0.00203,-0.0537,0.4840,1.0000
