Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-s808-nr-100000
Airfoil,s808-nr
Reynolds number,100000
Ncrit,9
Mach,0
Max Cl/Cd,36.5456
Max Cl/Cd alpha,9
Url,http://airfoiltools.com/polar/csv?polar=xf-s808-nr-100000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-8.500,-0.2423,0.10409,0.09743,-0.0165,1.0000,0.3642
-8.250,-0.2277,0.10250,0.09587,-0.0154,1.0000,0.3680
-8.000,-0.3004,0.10469,0.09817,-0.0123,1.0000,0.3790
-7.750,-0.2678,0.10098,0.09446,-0.0118,1.0000,0.3800
-7.500,-0.2426,0.09848,0.09199,-0.0109,1.0000,0.3817
-7.250,-0.2259,0.09691,0.09047,-0.0094,1.0000,0.3845
-7.000,-0.2207,0.09597,0.08959,-0.0073,1.0000,0.3887
-6.750,-0.3114,0.09868,0.09247,-0.0009,1.0000,0.3983
-6.500,-0.2912,0.09633,0.09017,0.0007,1.0000,0.3993
-6.250,-0.2667,0.09436,0.08824,0.0007,0.9984,0.4008
-6.000,-0.2138,0.09145,0.08531,-0.0049,0.9923,0.4046
-5.750,-0.2270,0.09044,0.08424,-0.0124,0.9788,0.4178
-5.500,-0.1707,0.08643,0.08022,-0.0166,0.9716,0.4192
-5.250,-0.1148,0.08314,0.07691,-0.0219,0.9658,0.4217
-5.000,-0.0713,0.08064,0.07441,-0.0261,0.9554,0.4264
-4.750,-0.0834,0.07925,0.07299,-0.0306,0.9380,0.4381
-4.500,-0.0216,0.07547,0.06920,-0.0359,0.9336,0.4400
-4.250,0.0218,0.07281,0.06655,-0.0391,0.9211,0.4430
-4.000,0.0600,0.07041,0.06414,-0.0428,0.9096,0.4483
-3.750,-0.0656,0.05754,0.05093,-0.0533,0.8823,0.3976
-3.500,-0.0006,0.05997,0.05346,-0.0523,0.8719,0.4179
-3.250,0.0591,0.05721,0.05067,-0.0577,0.8657,0.4190
-3.000,0.1012,0.05445,0.04786,-0.0615,0.8520,0.4131
-2.750,0.1202,0.05138,0.04471,-0.0645,0.8365,0.4112
-2.500,0.1291,0.04780,0.04102,-0.0679,0.8203,0.4092
-2.250,0.1280,0.04324,0.03628,-0.0724,0.8042,0.4092
-2.000,0.1014,0.03426,0.02680,-0.0823,0.7869,0.4189
-1.750,0.1300,0.03440,0.02698,-0.0810,0.7705,0.4208
-1.500,0.1581,0.03420,0.02676,-0.0805,0.7551,0.4235
-1.250,0.1859,0.03309,0.02552,-0.0818,0.7410,0.4277
-1.000,0.2092,0.02982,0.02182,-0.0872,0.7268,0.4376
-0.750,0.2323,0.02994,0.02202,-0.0854,0.7116,0.4400
-0.500,0.2590,0.03003,0.02211,-0.0844,0.6979,0.4430
-0.250,0.2880,0.02965,0.02163,-0.0846,0.6851,0.4473
0.000,0.3119,0.02857,0.02041,-0.0860,0.6707,0.4536
0.250,0.3406,0.02777,0.01944,-0.0873,0.6582,0.4591
0.500,0.3662,0.02787,0.01956,-0.0862,0.6457,0.4625
0.750,0.3893,0.02789,0.01961,-0.0852,0.6327,0.4669
1.000,0.4225,0.02732,0.01881,-0.0870,0.6218,0.4741
1.250,0.4466,0.02689,0.01835,-0.0871,0.6085,0.4793
1.500,0.4724,0.02695,0.01842,-0.0863,0.5975,0.4830
1.750,0.4980,0.02695,0.01842,-0.0858,0.5859,0.4879
2.000,0.5263,0.02672,0.01808,-0.0866,0.5743,0.4955
2.250,0.5550,0.02656,0.01785,-0.0867,0.5639,0.5008
2.500,0.5770,0.02673,0.01812,-0.0855,0.5525,0.5053
2.750,0.6076,0.02665,0.01793,-0.0859,0.5428,0.5115
3.000,0.6339,0.02656,0.01781,-0.0864,0.5312,0.5191
3.250,0.6619,0.02664,0.01786,-0.0858,0.5223,0.5240
3.500,0.6828,0.02686,0.01820,-0.0847,0.5111,0.5301
3.750,0.7182,0.02675,0.01784,-0.0864,0.5021,0.5392
4.000,0.7367,0.02698,0.01829,-0.0846,0.4915,0.5436
4.250,0.7663,0.02706,0.01829,-0.0846,0.4829,0.5505
