Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-sc21010-il-1000000
Airfoil,sc21010-il
Reynolds number,1000000
Ncrit,9
Mach,0
Max Cl/Cd,115.254
Max Cl/Cd alpha,-1.5
Url,http://airfoiltools.com/polar/csv?polar=xf-sc21010-il-1000000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-17.250,-0.8842,0.07398,0.07159,-0.0572,0.9999,0.0148
-17.000,-0.9250,0.06216,0.05957,-0.0654,0.9999,0.0147
-16.750,-0.9487,0.05422,0.05146,-0.0711,0.9999,0.0147
-16.500,-0.9657,0.04806,0.04514,-0.0755,0.9999,0.0147
-16.250,-0.9782,0.04336,0.04031,-0.0783,0.9999,0.0148
-16.000,-0.9899,0.03971,0.03655,-0.0794,0.9999,0.0149
-15.750,-1.0068,0.03695,0.03369,-0.0781,0.9999,0.0149
-15.500,-1.0320,0.03498,0.03166,-0.0740,0.9999,0.0149
-15.250,-1.0384,0.03275,0.02933,-0.0735,0.9999,0.0150
-15.000,-1.0223,0.03060,0.02702,-0.0767,0.9992,0.0151
-14.750,-0.9929,0.02860,0.02484,-0.0816,0.9979,0.0153
-14.500,-0.9681,0.02467,0.02059,-0.0873,0.9965,0.0156
-14.250,-0.9384,0.02266,0.01843,-0.0910,0.9956,0.0160
-14.000,-0.9069,0.02148,0.01716,-0.0938,0.9949,0.0163
-13.750,-0.8747,0.02053,0.01614,-0.0963,0.9943,0.0166
-13.500,-0.8423,0.01966,0.01519,-0.0987,0.9938,0.0170
-13.250,-0.8120,0.01882,0.01427,-0.1005,0.9924,0.0174
-13.000,-0.7804,0.01802,0.01337,-0.1025,0.9912,0.0178
-12.750,-0.7479,0.01727,0.01254,-0.1045,0.9901,0.0182
-12.500,-0.7150,0.01661,0.01180,-0.1065,0.9890,0.0186
-12.250,-0.6818,0.01610,0.01121,-0.1084,0.9881,0.0189
-12.000,-0.6474,0.01475,0.00978,-0.1113,0.9875,0.0198
-11.750,-0.6135,0.01422,0.00922,-0.1134,0.9868,0.0205
-11.500,-0.5793,0.01373,0.00870,-0.1154,0.9861,0.0212
-11.250,-0.5448,0.01326,0.00819,-0.1174,0.9856,0.0219
-11.000,-0.5101,0.01284,0.00772,-0.1194,0.9850,0.0227
-10.750,-0.4748,0.01226,0.00707,-0.1217,0.9846,0.0235
-10.500,-0.4393,0.01169,0.00649,-0.1240,0.9843,0.0249
-10.250,-0.4044,0.01136,0.00616,-0.1259,0.9839,0.0262
-10.000,-0.3695,0.01109,0.00586,-0.1278,0.9835,0.0275
-9.750,-0.3354,0.01060,0.00535,-0.1297,0.9825,0.0295
-9.500,-0.3038,0.01030,0.00506,-0.1308,0.9804,0.0313
-9.250,-0.2705,0.01006,0.00479,-0.1323,0.9790,0.0331
-9.000,-0.2362,0.00968,0.00439,-0.1340,0.9778,0.0355
-8.750,-0.2022,0.00938,0.00411,-0.1357,0.9766,0.0382
-8.500,-0.1685,0.00917,0.00388,-0.1372,0.9753,0.0405
