Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-sd7080-il-1000000
Airfoil,sd7080-il
Reynolds number,1000000
Ncrit,9
Mach,0
Max Cl/Cd,107.541
Max Cl/Cd alpha,4.5
Url,http://airfoiltools.com/polar/csv?polar=xf-sd7080-il-1000000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-9.000,-0.4359,0.08221,0.08061,-0.0319,1.0000,0.0128
-8.750,-0.4386,0.07828,0.07670,-0.0336,1.0000,0.0131
-8.500,-0.4438,0.07436,0.07281,-0.0352,1.0000,0.0134
-8.250,-0.4587,0.07061,0.06912,-0.0356,1.0000,0.0137
-8.000,-0.4776,0.06707,0.06563,-0.0366,0.9990,0.0136
-7.750,-0.4587,0.05267,0.05107,-0.0573,0.9935,0.0142
-7.500,-0.4403,0.04027,0.03818,-0.0674,0.9881,0.0151
-7.250,-0.4178,0.03452,0.03198,-0.0725,0.9854,0.0152
-7.000,-0.4075,0.02555,0.02242,-0.0762,0.9803,0.0162
-6.750,-0.3811,0.02386,0.02061,-0.0771,0.9766,0.0166
-6.500,-0.3540,0.02253,0.01915,-0.0780,0.9732,0.0173
-6.250,-0.3381,0.01605,0.01179,-0.0761,0.9663,0.0134
-6.000,-0.3145,0.01452,0.01002,-0.0753,0.9612,0.0134
-5.750,-0.2901,0.01350,0.00884,-0.0746,0.9567,0.0136
-5.500,-0.2665,0.01260,0.00782,-0.0737,0.9508,0.0137
-5.250,-0.2424,0.01182,0.00693,-0.0728,0.9457,0.0139
-5.000,-0.2177,0.01112,0.00615,-0.0721,0.9405,0.0140
-4.750,-0.1929,0.01050,0.00546,-0.0713,0.9347,0.0142
-4.500,-0.1676,0.01005,0.00494,-0.0706,0.9295,0.0146
-4.250,-0.1417,0.00959,0.00442,-0.0701,0.9236,0.0149
-4.000,-0.1159,0.00916,0.00393,-0.0695,0.9175,0.0151
-3.750,-0.0902,0.00860,0.00329,-0.0690,0.9115,0.0156
-3.500,-0.0640,0.00811,0.00272,-0.0685,0.9043,0.0166
-3.250,-0.0373,0.00783,0.00239,-0.0681,0.8976,0.0175
-3.000,-0.0101,0.00760,0.00212,-0.0678,0.8894,0.0185
-2.750,0.0171,0.00741,0.00189,-0.0675,0.8814,0.0197
-2.500,0.0444,0.00722,0.00165,-0.0672,0.8722,0.0227
-2.250,0.0712,0.00680,0.00143,-0.0669,0.8620,0.0728
-2.000,0.0978,0.00645,0.00128,-0.0667,0.8511,0.1407
-1.750,0.1245,0.00614,0.00116,-0.0665,0.8386,0.2107
-1.500,0.1513,0.00586,0.00107,-0.0663,0.8244,0.2847
-1.250,0.1779,0.00559,0.00099,-0.0661,0.8081,0.3684
-1.000,0.2038,0.00524,0.00095,-0.0659,0.7894,0.4866
-0.750,0.2298,0.00503,0.00092,-0.0655,0.7690,0.5807
-0.500,0.2556,0.00484,0.00092,-0.0650,0.7465,0.6709
-0.250,0.2811,0.00475,0.00094,-0.0643,0.7233,0.7419
0.000,0.3067,0.00472,0.00097,-0.0637,0.6993,0.7923
0.250,0.3321,0.00473,0.00099,-0.0630,0.6758,0.8332
0.750,0.3802,0.00477,0.00107,-0.0608,0.6288,0.9172
1.000,0.4064,0.00484,0.00110,-0.0602,0.6052,0.9570
1.250,0.4436,0.00496,0.00111,-0.0622,0.5791,0.9846
1.500,0.4809,0.00510,0.00114,-0.0643,0.5524,1.0000
1.750,0.5065,0.00526,0.00119,-0.0638,0.5291,1.0000
2.000,0.5323,0.00544,0.00125,-0.0634,0.5051,1.0000
2.250,0.5586,0.00560,0.00131,-0.0631,0.4822,1.0000
2.500,0.5848,0.00578,0.00140,-0.0628,0.4591,1.0000
2.750,0.6111,0.00596,0.00148,-0.0625,0.4363,1.0000
3.000,0.6375,0.00615,0.00157,-0.0622,0.4147,1.0000
3.250,0.6639,0.00635,0.00167,-0.0620,0.3925,1.0000
3.500,0.6903,0.00655,0.00179,-0.0617,0.3717,1.0000
3.750,0.7168,0.00675,0.00191,-0.0615,0.3509,1.0000
4.250,0.7694,0.00719,0.00218,-0.0610,0.3111,1.0000
4.500,0.7958,0.00740,0.00234,-0.0607,0.2937,1.0000
4.750,0.8219,0.00765,0.00251,-0.0605,0.2741,1.0000
5.000,0.8480,0.00789,0.00268,-0.0602,0.2570,1.0000
5.250,0.8740,0.00814,0.00287,-0.0599,0.2372,1.0000
5.500,0.8994,0.00846,0.00308,-0.0596,0.2149,1.0000
5.750,0.9252,0.00873,0.00329,-0.0593,0.1983,1.0000
6.000,0.9506,0.00904,0.00352,-0.0590,0.1795,1.0000
6.250,0.9755,0.00940,0.00379,-0.0586,0.1592,1.0000
6.500,1.0007,0.00972,0.00405,-0.0582,0.1426,1.0000
6.750,1.0255,0.01009,0.00433,-0.0578,0.1247,1.0000
7.000,1.0501,0.01047,0.00464,-0.0573,0.1092,1.0000
7.250,1.0745,0.01086,0.00496,-0.0569,0.0952,1.0000
7.500,1.0984,0.01129,0.00532,-0.0564,0.0796,1.0000
7.750,1.1222,0.01174,0.00570,-0.0558,0.0653,1.0000
8.000,1.1456,0.01221,0.00610,-0.0552,0.0525,1.0000
8.250,1.1685,0.01272,0.00656,-0.0546,0.0406,1.0000
8.500,1.1902,0.01335,0.00709,-0.0538,0.0281,1.0000
8.750,1.2092,0.01427,0.00788,-0.0526,0.0120,1.0000
9.000,1.2310,0.01487,0.00849,-0.0517,0.0095,1.0000
9.250,1.2520,0.01552,0.00920,-0.0507,0.0081,1.0000
9.500,1.2737,0.01607,0.00983,-0.0498,0.0076,1.0000
9.750,1.2945,0.01668,0.01050,-0.0488,0.0071,1.0000
10.000,1.3146,0.01733,0.01122,-0.0478,0.0067,1.0000
10.250,1.3332,0.01808,0.01202,-0.0465,0.0063,1.0000
10.500,1.3448,0.01943,0.01352,-0.0442,0.0058,1.0000
10.750,1.3623,0.02012,0.01429,-0.0429,0.0057,1.0000
11.000,1.3779,0.02092,0.01517,-0.0412,0.0056,1.0000
11.250,1.3911,0.02180,0.01615,-0.0392,0.0055,1.0000
11.500,1.4004,0.02268,0.01712,-0.0366,0.0054,1.0000
11.750,1.4080,0.02362,0.01815,-0.0338,0.0053,1.0000
12.000,1.4126,0.02479,0.01942,-0.0309,0.0052,1.0000
12.250,1.4187,0.02591,0.02064,-0.0284,0.0051,1.0000
12.500,1.4213,0.02733,0.02217,-0.0258,0.0050,1.0000
12.750,1.4246,0.02879,0.02373,-0.0235,0.0049,1.0000
13.000,1.4249,0.03057,0.02562,-0.0213,0.0049,1.0000
13.250,1.4264,0.03238,0.02754,-0.0196,0.0048,1.0000
13.500,1.4250,0.03457,0.02985,-0.0180,0.0048,1.0000
13.750,1.4232,0.03699,0.03238,-0.0169,0.0047,1.0000
14.000,1.4216,0.03957,0.03509,-0.0163,0.0046,1.0000
14.250,1.4122,0.04326,0.03893,-0.0160,0.0047,1.0000
14.500,1.4102,0.04636,0.04213,-0.0163,0.0046,1.0000
14.750,1.4026,0.05043,0.04633,-0.0172,0.0046,1.0000
15.000,1.3958,0.05465,0.05067,-0.0185,0.0045,1.0000
15.250,1.3876,0.05935,0.05550,-0.0203,0.0045,1.0000
15.500,1.3757,0.06488,0.06116,-0.0226,0.0045,1.0000
15.750,1.3640,0.07063,0.06705,-0.0253,0.0044,1.0000
16.000,1.3505,0.07694,0.07350,-0.0284,0.0044,1.0000
16.250,1.3349,0.08382,0.08053,-0.0319,0.0045,1.0000
16.500,1.3235,0.09027,0.08707,-0.0354,0.0044,1.0000
16.750,1.3080,0.09761,0.09456,-0.0392,0.0044,1.0000
