Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-sp4721la-po-1000000
Airfoil,sp4721la-po
Reynolds number,1000000
Ncrit,9
Mach,0
Max Cl/Cd,110.319
Max Cl/Cd alpha,5.5
Url,http://airfoiltools.com/polar/csv?polar=xf-sp4721la-po-1000000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-18.250,-0.6836,0.12058,0.11778,-0.0637,1.0004,0.0040
-18.000,-0.7147,0.10943,0.10646,-0.0697,1.0001,0.0040
-17.750,-0.7442,0.09874,0.09558,-0.0757,0.9997,0.0040
-17.500,-0.7625,0.09092,0.08760,-0.0804,0.9991,0.0040
-17.250,-0.7741,0.08463,0.08118,-0.0842,0.9984,0.0040
-17.000,-0.7816,0.07917,0.07560,-0.0876,0.9977,0.0039
-16.750,-0.7851,0.07445,0.07077,-0.0907,0.9969,0.0039
-16.500,-0.7865,0.07014,0.06634,-0.0935,0.9961,0.0039
-16.250,-0.7850,0.06622,0.06233,-0.0963,0.9954,0.0039
-16.000,-0.7812,0.06264,0.05865,-0.0989,0.9947,0.0039
-15.750,-0.7743,0.05951,0.05543,-0.1014,0.9941,0.0039
-15.500,-0.7665,0.05649,0.05232,-0.1039,0.9936,0.0039
-15.250,-0.7578,0.05393,0.04969,-0.1057,0.9926,0.0039
-15.000,-0.7521,0.05150,0.04719,-0.1067,0.9905,0.0039
-14.750,-0.7414,0.04928,0.04489,-0.1082,0.9889,0.0039
-14.500,-0.7288,0.04711,0.04265,-0.1100,0.9875,0.0039
-14.250,-0.7137,0.04511,0.04058,-0.1119,0.9863,0.0039
-14.000,-0.6964,0.04325,0.03866,-0.1140,0.9852,0.0039
-13.750,-0.6781,0.04145,0.03681,-0.1162,0.9843,0.0039
-13.500,-0.6569,0.03974,0.03504,-0.1187,0.9835,0.0039
-13.250,-0.6324,0.03816,0.03341,-0.1214,0.9828,0.0039
-13.000,-0.6053,0.03663,0.03182,-0.1246,0.9822,0.0039
-12.750,-0.5765,0.03519,0.03035,-0.1279,0.9816,0.0039
-12.500,-0.5622,0.03405,0.02917,-0.1278,0.9776,0.0040
-12.250,-0.5418,0.03285,0.02793,-0.1290,0.9748,0.0040
-12.000,-0.5197,0.03179,0.02685,-0.1302,0.9726,0.0040
-11.750,-0.4985,0.03080,0.02583,-0.1311,0.9705,0.0040
-11.500,-0.4781,0.02989,0.02489,-0.1318,0.9683,0.0040
-11.250,-0.4662,0.02907,0.02406,-0.1306,0.9630,0.0040
-11.000,-0.4512,0.02815,0.02311,-0.1301,0.9587,0.0041
-10.750,-0.4360,0.02724,0.02216,-0.1295,0.9552,0.0041
-10.500,-0.4228,0.02644,0.02134,-0.1285,0.9496,0.0041
-10.250,-0.4086,0.02562,0.02049,-0.1277,0.9443,0.0041
-10.000,-0.3931,0.02480,0.01964,-0.1270,0.9403,0.0041
-9.750,-0.3786,0.02406,0.01889,-0.1263,0.9329,0.0041
-9.500,-0.3631,0.02325,0.01804,-0.1256,0.9267,0.0042
-9.250,-0.3489,0.02250,0.01726,-0.1249,0.9172,0.0042
-9.000,-0.3347,0.02172,0.01644,-0.1241,0.9078,0.0042
