Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-stcyr24-il-100000
Airfoil,stcyr24-il
Reynolds number,100000
Ncrit,9
Mach,0
Max Cl/Cd,56.8386
Max Cl/Cd alpha,4.75
Url,http://airfoiltools.com/polar/csv?polar=xf-stcyr24-il-100000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-8.750,-0.3038,0.11015,0.10563,-0.0298,0.9803,0.1026
-8.500,-0.3221,0.10939,0.10491,-0.0318,0.9739,0.1047
-8.250,-0.3468,0.10832,0.10381,-0.0440,0.9652,0.1058
-8.000,-0.3200,0.10331,0.09887,-0.0359,0.9630,0.1073
-7.750,-0.2986,0.10022,0.09579,-0.0355,0.9587,0.1098
-7.500,-0.2847,0.09748,0.09304,-0.0381,0.9536,0.1130
-7.250,-0.2864,0.09517,0.09074,-0.0400,0.9463,0.1161
-7.000,-0.2698,0.09023,0.08570,-0.0533,0.9397,0.1204
-6.750,-0.2695,0.08810,0.08363,-0.0488,0.9329,0.1216
-6.500,-0.2513,0.08551,0.08105,-0.0489,0.9273,0.1243
-6.250,-0.2283,0.08247,0.07794,-0.0537,0.9213,0.1301
-6.000,-0.2184,0.07855,0.07389,-0.0604,0.9123,0.1355
-5.750,-0.1927,0.07594,0.07132,-0.0602,0.9076,0.1388
-5.500,-0.1741,0.07306,0.06820,-0.0674,0.8982,0.1503
-5.250,-0.1553,0.07049,0.06573,-0.0656,0.8923,0.1532
-5.000,-0.1176,0.06750,0.06250,-0.0730,0.8859,0.1669
-4.750,-0.1099,0.06552,0.06061,-0.0702,0.8772,0.1693
-4.500,-0.0671,0.06262,0.05750,-0.0766,0.8718,0.1843
-4.250,-0.0578,0.06098,0.05593,-0.0742,0.8626,0.1881
-4.000,-0.0232,0.05852,0.05331,-0.0780,0.8558,0.2032
-3.750,0.0211,0.05600,0.05069,-0.0822,0.8519,0.2215
-3.500,0.0296,0.05505,0.04964,-0.0809,0.8397,0.2373
-3.250,0.0673,0.05264,0.04722,-0.0832,0.8350,0.2573
-3.000,0.1591,0.04165,0.03380,-0.0961,0.8339,0.1183
-2.750,0.1718,0.04089,0.03277,-0.0938,0.8221,0.1188
-2.500,0.2152,0.03917,0.03067,-0.0959,0.8173,0.1189
-2.250,0.2377,0.03833,0.02959,-0.0950,0.8077,0.1197
-2.000,0.2723,0.03722,0.02848,-0.0960,0.8008,0.1245
-1.750,0.3204,0.03609,0.02714,-0.0985,0.7972,0.1314
-1.500,0.3332,0.03598,0.02689,-0.0960,0.7843,0.1347
-1.250,0.3777,0.03500,0.02597,-0.0981,0.7801,0.1461
-1.000,0.3940,0.03493,0.02593,-0.0962,0.7683,0.1532
-0.750,0.4356,0.03414,0.02521,-0.0976,0.7632,0.1700
-0.500,0.4584,0.03404,0.02519,-0.0966,0.7530,0.1868
-0.250,0.4955,0.03332,0.02459,-0.0974,0.7466,0.2191
0.000,0.5455,0.03153,0.02343,-0.1000,0.7438,0.3485
0.250,0.6232,0.02878,0.02190,-0.1069,0.7426,1.0000
0.500,0.6353,0.02908,0.02208,-0.1040,0.7281,1.0000
0.750,0.7005,0.02709,0.01988,-0.1079,0.7259,1.0000
1.000,0.7204,0.02678,0.01947,-0.1057,0.7124,1.0000
1.250,0.7846,0.02481,0.01736,-0.1097,0.7092,1.0000
1.500,0.8016,0.02472,0.01721,-0.1072,0.6963,1.0000
1.750,0.8549,0.02344,0.01583,-0.1101,0.6921,1.0000
2.000,0.8735,0.02337,0.01572,-0.1080,0.6793,1.0000
2.250,0.9275,0.02206,0.01432,-0.1112,0.6740,1.0000
2.500,0.9466,0.02197,0.01421,-0.1091,0.6602,1.0000
2.750,0.9742,0.02164,0.01384,-0.1084,0.6478,1.0000
3.000,1.0141,0.02095,0.01306,-0.1096,0.6366,1.0000
3.250,1.0483,0.02048,0.01251,-0.1100,0.6228,1.0000
3.500,1.0744,0.02031,0.01226,-0.1091,0.6063,1.0000
3.750,1.1026,0.02015,0.01200,-0.1086,0.5886,1.0000
4.000,1.1258,0.02019,0.01194,-0.1074,0.5688,1.0000
4.250,1.1465,0.02037,0.01201,-0.1058,0.5476,1.0000
4.500,1.1677,0.02062,0.01213,-0.1044,0.5254,1.0000
4.750,1.1902,0.02094,0.01225,-0.1032,0.5026,1.0000
5.000,1.2065,0.02144,0.01260,-0.1011,0.4787,1.0000
5.250,1.2196,0.02202,0.01306,-0.0985,0.4545,1.0000
5.500,1.2352,0.02264,0.01345,-0.0964,0.4310,1.0000
5.750,1.2478,0.02335,0.01399,-0.0938,0.4090,1.0000
6.000,1.2610,0.02411,0.01462,-0.0915,0.3893,1.0000
6.250,1.2779,0.02491,0.01527,-0.0899,0.3724,1.0000
